County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR Comm School District,5,30,35,85.7
39,Guthrie,11,18,Adair-Casey Comm School District,6,12,18,66.7
25,Dallas,11,27,Adel DeSoto Minburn Comm School District,14,108,122,88.5
75,Plymouth,12,63,Akron Westfield Comm School District,10,23,33,69.7
11,Buena Vista,5,72,Albert City-Truesdale Comm School District,0,0,0,
68,Monroe,15,81,Albia Comm School District,22,66,88,75
57,Linn,10,99,Alburnett Comm School District,15,30,45,66.7
42,Hardin,7,108,Alden Comm School District,0,0,0,
55,Kossuth,5,126,Algona Comm School District,23,72,95,75.8
3,Allamakee,1,135,Allamakee Comm School District,21,95,116,81.9
12,Butler,7,153,North Butler Comm School District,7,29,36,80.6
11,Buena Vista,5,171,Alta Comm School District,0,0,0,
85,Story,11,225,Ames Comm School District,26,247,273,90.5
53,Jones,10,234,Anamosa Comm School District,32,68,100,68
49,Jackson,9,243,Andrew Comm School District,4,10,14,71.4
77,Polk,11,261,Ankeny Comm School District,97,674,771,87.4
12,Butler,7,279,Aplington-Parkersburg Comm School District,14,39,53,73.6
32,Emmet,5,333,North Union Comm School District,0,0,0,
24,Crawford,12,355,Ar-We-Va Comm School District,0,16,16,100
15,Cass,13,387,Atlantic Comm School District,21,91,112,81.3
5,Audubon,11,414,Audubon Comm School District,6,31,37,83.8
18,Cherokee,12,423,Aurelia Comm School District,11,39,50,78
78,Pottawattamie,13,441,AHSTW Comm School District,9,36,45,80
85,Story,11,472,Ballard Comm School District,26,104,130,80
47,Ida,12,504,Battle Creek-Ida Grove Comm School District,0,0,0,
50,Jasper,11,513,Baxter Comm School District,1,26,27,96.3
38,Grundy,7,540,BCLUW Comm School District,6,31,37,83.8
87,Taylor,13,549,Bedford Comm School District,6,21,27,77.8
6,Benton,10,576,Belle Plaine Comm School District,8,26,34,76.5
49,Jackson,9,585,Bellevue Comm School District,17,26,43,60.5
99,Wright,7,594,Belmond-Klemme Comm School District,15,40,55,72.7
16,Cedar,9,603,Bennett Comm School District,0,0,0,
6,Benton,10,609,Benton Comm School District,17,92,109,84.4
82,Scott,9,621,Bettendorf Comm School District,64,278,342,81.3
