County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
95,Winnebago,7,2295,Forest City,13,56,69,81.2
94,Webster,5,2313,Fort Dodge,104,137,241,56.8
56,Lee,15,2322,Fort Madison,44,80,124,64.5
36,Fremont,13,2369,Fremont-Mills,6,24,30,80
47,Ida,12,2376,Galva-Holstein,0,0,0,
41,Hancock,7,2403,Garner-Hayfield-Ventura,23,46,69,66.7
60,Lyon,12,2457,George-Little Rock,10,17,27,63
85,Story,11,2466,Gilbert,12,102,114,89.5
46,Humboldt,5,2493,Gilmore City-Bradgate,0,0,0,
38,Grundy,7,2502,Gladbrook-Reinbeck,0,28,28,100
65,Mills,13,2511,Glenwood,10,121,131,92.4
14,Carroll,11,2520,Glidden-Ralston,6,14,20,70
74,Palo Alto,5,2556,Graettinger-Terril,7,14,21,66.7
1,Adair,13,2673,Nodaway Valley,12,33,45,73.3
86,Tama,7,2682,GMG,9,32,41,78
79,Poweshiek,7,2709,Grinnell-Newburg,12,95,107,88.8
15,Cass,13,2718,Griswold,9,28,37,75.7
38,Grundy,7,2727,Grundy Center,3,52,55,94.5
39,Guthrie,11,2754,Guthrie Center,0,0,0,
22,Clayton,1,2763,Clayton Ridge,12,32,44,72.7
48,Iowa,10,2766,H-L-V,3,17,20,85
48,Iowa,13,2772,Hamburg,2,11,13,84.6
35,Franklin,7,2781,Hampton-Dumont,21,76,97,78.4
83,Shelby,13,2826,Harlan,9,111,120,92.5
89,Van Buren,15,2834,Harmony,0,0,0,
30,Dickinson,5,2846,Harris-Lake Park,5,18,23,78.3
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,4,28,32,87.5
92,Washington,10,2977,Highland,11,33,44,75
75,Plymouth,12,2988,Hinton,0,0,0,
45,Howard,1,3029,Howard-Winneshiek,19,79,98,80.6
42,Hardin,7,3033,Hubbard-Radcliffe,17,40,57,70.2
7,Black Hawk,7,3042,Hudson,13,41,54,75.9
46,Humboldt,5,3060,Humboldt,21,103,124,83.1
10,Buchanan,7,3105,Independence,14,81,95,85.3
91,Warren,11,3114,Indianola,49,204,253,80.6
61,Madison,11,3119,Interstate 35,12,50,62,80.6
52,Johnson,10,3141,Iowa City,245,685,930,73.7
42,Hardin,7,3150,Iowa Falls,21,68,89,76.4
48,Iowa,10,3154,Iowa Valley,5,39,44,88.6
14,Carroll,13,3168,IKM-Manning,13,42,55,76.4
9,Bremer,7,3186,Janesville Consolidated,5,22,27,81.5
37,Greene,5,3195,Greene County,16,52,68,76.5
10,Buchanan,7,3204,Jesup,16,62,78,79.5
77,Polk,11,3231,Johnston,50,466,516,90.3
56,Lee,15,3312,Keokuk,38,80,118,67.8
54,Keokuk,15,3330,Keota,small N,small N,small N,small N
75,Plymouth,12,3348,Kingsley-Pierson,4,21,25,84
63,Marion,11,3375,Knoxville,23,89,112,79.5
95,Winnebago,7,3420,Lake Mills,4,27,31,87.1
27,Decatur,13,3465,Lamoni,5,22,27,81.5
76,Pocahontas,5,3537,Laurens-Marathon,1,9,10,90
97,Woodbury,12,3555,Lawton-Bronson,10,39,49,79.6
75,Plymouth,12,3600,Le Mars,12,125,137,91.2
87,Taylor,13,3609,Lenox,6,31,37,83.8
78,Pottawattamie,13,3645,Lewis Central,58,158,216,73.1
16,Cedar,10,3691,North Cedar,15,31,46,67.4
57,Linn,10,3715,Linn-Mar,74,450,524,85.9
57,Linn,10,3744,Lisbon,5,32,37,86.5
43,Harrison,13,3798,Logan-Magnolia,2,41,43,95.3
52,Johnson,10,3816,Lone Tree,13,26,39,66.7
58,Louisa,9,3841,Louisa-Muscatine,14,49,63,77.8
55,Kossuth,5,3897,LuVerne,0,0,0,
50,Jasper,11,3906,Lynnville-Sully,3,30,33,90.9
8,Boone,11,3942,Madrid,11,28,39,71.8
65,Mills,13,3978,East Mills,7,25,32,78.1
13,Calhoun,5,4023,Manson Northwest Webster,14,41,55,74.5
67,Monona,12,4033,Maple Valley-Anthon Oto,13,25,38,65.8
49,Jackson,9,4041,Maquoketa,26,70,96,72.9
28,Delaware,1,4043,Maquoketa Valley,0,47,47,100
18,Cherokee,12,4068,Marcus-Meriden-Cleghorn,0,0,0,
57,Linn,10,4086,Marion Independent,24,110,134,82.1
64,Marshall,7,4104,Marshalltown,128,200,328,61
91,Warren,11,4122,Martensdale-St Marys,14,23,37,62.2
17,Cerro Gordo,7,4131,Mason City,91,166,257,64.6
84,Sioux,12,4149,MOC-Floyd Valley,6,92,98,93.9
29,Des Moines,15,4203,Mediapolis,8,46,54,85.2
63,Marion,11,4212,Melcher-Dallas,8,15,23,65.2
53,Jones,10,4269,Midland,11,19,30,63.3
92,Washington,10,4271,Mid-Prairie,33,71,104,68.3
43,Harrison,13,4356,Missouri Valley,17,34,51,66.7
22,Clayton,1,4419,MFL MarMac,9,41,50,82
79,Poweshiek,7,4437,Montezuma,6,28,34,82.4
53,Jones,10,4446,Monticello,28,62,90,68.9
4,Appanoose,15,4491,Moravia,8,13,21,61.9
93,Wayne,13,4505,Mormon Trail,6,10,16,62.5
58,Louisa,15,4509,Morning Sun,0,0,0,
4,Appanoose,15,4518,Moulton-Udell,3,9,12,75
80,Ringgold,13,4527,Mount Ayr,5,32,37,86.5
44,Henry,15,4536,Mount Pleasant,49,76,125,60.8
57,Linn,10,4554,Mount Vernon,9,84,93,90.3
20,Clarke,13,4572,Murray,2,18,20,90
70,Muscatine,9,4581,Muscatine,121,210,331,63.4
19,Chickasaw,7,4599,Nashua-Plainfield,10,32,42,76.2
85,Story,11,4617,Nevada,21,77,98,78.6
11,Buena Vista,5,4644,Newell-Fonda,13,24,37,64.9
19,Chickasaw,1,4662,New Hampton,10,41,51,80.4
44,Henry,15,4689,New London,11,27,38,71.1
50,Jasper,11,4725,Newton,48,150,198,75.8
98,Worth,7,4772,Central Springs,5,64,69,92.8
23,Clinton,9,4773,Northeast,0,54,54,100
33,Fayette,1,4774,North Fayette,0,0,0,
40,Hamilton,5,4775,Northeast Hamilton,0,0,0,
62,Mahaska,15,4776,North Mahaska,4,35,39,89.7
57,Linn,10,4777,North Linn,7,45,52,86.5
55,Kossuth,5,4778,North Kossuth,9,39,48,81.3
77,Polk,11,4779,North Polk,5,103,108,95.4
82,Scott,9,4784,North Scott,40,174,214,81.3
86,Tama,7,4785,North Tama County,16,21,37,56.8
96,Winneshiek,1,4787,North Winneshiek,0,0,0,
98,Worth,7,4788,Northwood-Kensett,8,29,37,78.4
91,Warren,11,4797,Norwalk,31,179,210,85.2
81,Sac,5,4860,Odebolt-Arthur,5,60,65,92.3
33,Fayette,1,4869,Oelwein,33,49,82,59.8
8,Boone,11,4878,Ogden,6,36,42,85.7
30,Dickinson,5,4890,Okoboji,14,60,74,81.1
53,Jones,10,4905,Olin Consolidated,0,0,0,
1,Adair,13,4978,Orient-Macksburg,small N,small N,small N,small N
66,Mitchell,7,4995,Osage,10,45,55,81.8
62,Mahaska,15,5013,Oskaloosa,40,98,138,71
90,Wapello,15,5049,Ottumwa,97,186,283,65.7
39,Guthrie,11,5121,Panorama,20,44,64,68.8
37,Greene,5,5139,Paton-Churdan,6,13,19,68.4
50,Jasper,11,5160,PCM,13,49,62,79
54,Keokuk,15,5163,Pekin,5,39,44,88.6
63,Marion,11,5166,Pella,11,137,148,92.6
25,Dallas,11,5184,Perry,43,81,124,65.3
82,Scott,9,5250,Pleasant Valley,27,318,345,92.2
63,Marion,11,5256,Pleasantville,12,41,53,77.4
76,Pocahontas,5,5283,Pocahontas Area,10,46,56,82.1
3,Allamakee,1,5310,Postville,29,23,52,44.2
94,Webster,5,5325,Prairie Valley,0,0,0,
69,Montgomery,13,5463,Red Oak,25,56,81,69.1
75,Plymouth,12,5486,Remsen-Union,10,27,37,73
45,Howard,1,5508,Riceville,4,19,23,82.6
78,Pottawattamie,13,5510,Riverside,10,17,27,63
84,Sioux,12,5607,Rock Valley,12,40,52,76.9
85,Story,11,5643,Roland-Story,12,54,66,81.8
34,Floyd,7,5697,Rudd-Rockford-Marble Rk,7,25,32,78.1
74,Palo Alto,5,5724,Ruthven-Ayrshire,small N,small N,small N,small N
66,Mitchell,7,5751,St Ansgar,3,34,37,91.9
77,Polk,11,5805,Saydel,38,53,91,58.2
81,Sac,5,5823,Schaller-Crestland,11,44,55,80
24,Crawford,12,5832,Schleswig,small N,small N,small N,small N
97,Woodbury,12,5877,Sergeant Bluff-Luton,17,96,113,85
93,Wayne,15,5895,Seymour,0,18,18,100
17,Cerro Gordo,7,5922,West Fork CSD,16,32,48,66.7
71,O'Brien,12,5949,Sheldon,7,67,74,90.5
73,Page,13,5976,Shenandoah,25,52,77,67.5
