Co,County Name,AEA,Dist,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
32,Emmet,5,2124,Estherville Lincoln,25,74,99,74.7
5,Audubon,11,2151,Exira,7,18,25,72
51,Jefferson,15,2169,Fairfield,21,91,112,81.3
36,Fremont,13,2205,Farragut,,,,
95,Winnebago,7,2295,Forest City,11,81,92,88
94,Webster,5,2313,Fort Dodge,100,148,248,59.7
56,Lee,15,2322,Fort Madison,25,102,127,80.3
19,Chickasaw,1,2349,Fredericksburg,6,39,45,86.7
36,Fremont,13,2369,Fremont-Mills,10,20,30,66.7
47,Ida,12,2376,Galva-Holstein,,,,
41,Hancock,7,2403,Garner-Hayfield,,,,
60,Lyon,12,2457,George-Little Rock,8,24,32,75
85,Story,11,2466,Gilbert,3,96,99,97
46,Humboldt,5,2493,Gilmore City-Bradgate,,,,
38,Grundy,7,2502,Gladbrook-Reinbeck,9,35,44,79.5
65,Mills,13,2511,Glenwood,23,100,123,81.3
14,Carroll,11,2520,Glidden-Ralston,7,11,18,61.1
74,Palo Alto,5,2556,Graettinger-Terril,3,15,18,83.3
1,Adair,13,2673,Nodaway Valley,10,25,35,71.4
86,Tama,7,2682,GMG,3,30,33,90.9
79,Poweshiek,7,2709,Grinnell-Newburg,14,119,133,89.5
15,Cass,13,2718,Griswold,9,32,41,78
38,Grundy,7,2727,Grundy Center,4,38,42,90.5
39,Guthrie,11,2754,Guthrie Center,5,33,38,86.8
22,Clayton,1,2763,Clayton Ridge,11,26,37,70.3
48,Iowa,10,2766,H-L-V,6,14,20,70
36,Fremont,13,2772,Hamburg,4,14,18,77.8
35,Franklin,7,2781,Hampton-Dumont,8,51,59,86.4
83,Shelby,13,2826,Harlan,25,100,125,80
89,Van Buren,15,2834,Harmony,5,14,19,73.7
30,Dickinson,5,2846,Harris-Lake Park,2,18,20,90
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,11,23,34,67.6
92,Washington,10,2977,Highland,17,31,48,64.6
75,Plymouth,12,2988,Hinton,7,38,45,84.4
45,Howard,1,3029,Howard-Winneshiek,22,76,98,77.6
42,Hardin,7,3033,Hubbard-Radcliffe,14,44,58,75.9
7,Black Hawk,7,3042,Hudson,5,45,50,90
46,Humboldt,5,3060,Humboldt,12,89,101,88.1
10,Buchanan,7,3105,Independence,13,82,95,86.3
91,Warren,11,3114,Indianola,44,212,256,82.8
61,Madison,11,3119,Interstate 35,12,55,67,82.1
52,Johnson,10,3141,Iowa City,204,653,857,76.2
42,Hardin,7,3150,Iowa Falls,35,71,106,67
48,Iowa,10,3154,Iowa Valley,4,24,28,85.7
24,Crawford,13,3168,IKM-Manning,10,33,43,76.7
9,Bremer,7,3186,Janesville Consolidated,7,22,29,75.9
37,Greene,5,3195,Jefferson-Scranton,18,86,104,82.7
10,Buchanan,7,3204,Jesup,12,45,57,78.9
77,Polk,11,3231,Johnston,29,438,467,93.8
56,Lee,15,3312,Keokuk,48,86,134,64.2
54,Keokuk,15,3330,Keota,5,18,23,78.3
75,Plymouth,12,3348,Kingsley-Pierson,10,30,40,75
63,Marion,11,3375,Knoxville,16,98,114,86
95,Winnebago,7,3420,Lake Mills,10,40,50,80
27,Decatur,13,3465,Lamoni,15,12,27,44.4
76,Pocahontas,5,3537,Laurens-Marathon,5,10,15,66.7
97,Woodbury,12,3555,Lawton-Bronson,11,34,45,75.6
75,Plymouth,12,3600,Le Mars,13,139,152,91.4
87,Taylor,13,3609,Lenox,6,25,31,80.6
78,Pottawattamie,13,3645,Lewis Central,73,154,227,67.8
16,Cedar,10,3691,North Cedar,17,40,57,70.2
57,Linn,10,3715,Linn-Mar,111,408,519,78.6
57,Linn,10,3744,Lisbon,7,40,47,85.1
43,Harrison,13,3798,Logan-Magnolia,14,42,56,75
52,Johnson,10,3816,Lone Tree,9,27,36,75
58,Louisa,9,3841,Louisa-Muscatine,23,36,59,61
55,Kossuth,5,3897,LuVerne,,,,
50,Jasper,11,3906,Lynnville-Sully,,32,32,100
8,Boone,11,3942,Madrid,6,41,47,87.2
65,Mills,13,3978,East Mills,4,23,27,85.2
13,Calhoun,5,4023,Manson Northwest Webster,6,37,43,86
67,Monona,12,4033,Maple Valley-Anthon Oto,16,33,49,67.3
49,Jackson,9,4041,Maquoketa,27,69,96,71.9
28,Delaware,1,4043,Maquoketa Valley,10,42,52,80.8
18,Cherokee,12,4068,Marcus-Meriden-Cleghorn,8,20,28,71.4
57,Linn,10,4086,Marion Independent,30,126,156,80.8
64,Marshall,7,4104,Marshalltown,129,209,338,61.8
91,Warren,11,4122,Martensdale-St Marys,10,36,46,78.3
17,Cerro Gordo,7,4131,Mason City,72,179,251,71.3
84,Sioux,12,4149,MOC-Floyd Valley,14,84,98,85.7
29,Des Moines,15,4203,Mediapolis,6,50,56,89.3
63,Marion,11,4212,Melcher-Dallas,6,12,18,66.7
53,Jones,10,4269,Midland,10,19,29,65.5
92,Washington,10,4271,Mid-Prairie,14,75,89,84.3
43,Harrison,13,4356,Missouri Valley,22,50,72,69.4
22,Clayton,1,4419,MFL MarMac,4,40,44,90.9
79,Poweshiek,7,4437,Montezuma,6,34,40,85
53,Jones,10,4446,Monticello,10,72,82,87.8
4,Appanoose,15,4491,Moravia,5,17,22,77.3
93,Wayne,13,4505,Mormon Trail,2,9,11,81.8
58,Louisa,15,4509,Morning Sun,4,13,17,76.5
4,Appanoose,15,4518,Moulton-Udell,small N,small N,small N,small N
80,Ringgold,13,4527,Mount Ayr,6,39,45,86.7
44,Henry,15,4536,Mount Pleasant,25,118,143,82.5
57,Linn,10,4554,Mount Vernon,14,83,97,85.6
20,Clarke,13,4572,Murray,4,25,29,86.2
70,Muscatine,9,4581,Muscatine,163,219,382,57.3
19,Chickasaw,7,4599,Nashua-Plainfield,8,43,51,84.3
85,Story,11,4617,Nevada,26,78,104,75
11,Buena Vista,5,4644,Newell-Fonda,9,36,45,80
19,Chickasaw,1,4662,New Hampton,11,48,59,81.4
44,Henry,15,4689,New London,5,31,36,86.1
50,Jasper,11,4725,Newton,56,144,200,72
98,Worth,7,4772,Central Springs,8,36,44,81.8
23,Clinton,9,4773,Northeast,2,71,73,97.3
33,Fayette,1,4774,North Fayette,,,,
40,Hamilton,5,4775,Northeast Hamilton,4,12,16,75
62,Mahaska,15,4776,North Mahaska,16,28,44,63.6
57,Linn,10,4777,North Linn,7,37,44,84.1
55,Kossuth,5,4778,North Kossuth,12,30,42,71.4
77,Polk,11,4779,North Polk,16,81,97,83.5
82,Scott,9,4784,North Scott,38,192,230,83.5
86,Tama,7,4785,North Tama County,12,22,34,64.7
96,Winneshiek,1,4787,North Winneshiek,3,8,11,72.7
98,Worth,7,4788,Northwood-Kensett,8,33,41,80.5
91,Warren,11,4797,Norwalk,20,176,196,89.8
81,Sac,5,4860,Odebolt-Arthur,8,50,58,86.2
33,Fayette,1,4869,Oelwein,18,48,66,72.7
8,Boone,11,4878,Ogden,,48,48,100
30,Dickinson,5,4890,Okoboji,14,41,55,74.5
53,Jones,10,4905,Olin Consolidated,,,,
1,Adair,13,4978,Orient-Macksburg,4,8,12,66.7
66,Mitchell,7,4995,Osage,5,69,74,93.2
62,Mahaska,15,5013,Oskaloosa,66,114,180,63.3
90,Wapello,15,5049,Ottumwa,72,208,280,74.3
39,Guthrie,11,5121,Panorama,7,47,54,87
37,Greene,5,5139,Paton-Churdan,5,8,13,61.5
50,Jasper,11,5160,PCM,7,61,68,89.7
54,Keokuk,15,5163,Pekin,13,48,61,78.7
63,Marion,11,5166,Pella,21,130,151,86.1
25,Dallas,11,5184,Perry,43,89,132,67.4
82,Scott,9,5250,Pleasant Valley,40,281,321,87.5
63,Marion,11,5256,Pleasantville,17,51,68,75
76,Pocahontas,5,5283,Pocahontas Area,10,37,47,78.7
3,Allamakee,1,5310,Postville,17,22,39,56.4
94,Webster,5,5325,Prairie Valley,11,29,40,72.5
2,Adams,13,5328,Prescott,,,,
69,Montgomery,13,5463,Red Oak,21,54,75,72
75,Plymouth,12,5486,Remsen-Union,3,21,24,87.5
45,Howard,1,5508,Riceville,14,11,25,44
78,Pottawattamie,13,5510,Riverside,7,27,34,79.4
84,Sioux,12,5607,Rock Valley,5,39,44,88.6
13,Calhoun,5,5625,Rockwell City-Lytton,10,54,64,84.4
85,Story,11,5643,Roland-Story,14,64,78,82.1
34,Floyd,7,5697,Rudd-Rockford-Marble Rk,10,35,45,77.8
74,Palo Alto,5,5724,Ruthven-Ayrshire,2,9,11,81.8
66,Mitchell,7,5751,St Ansgar,6,42,48,87.5
77,Polk,11,5805,Saydel,38,56,94,59.6
81,Sac,5,5823,Schaller-Crestland,14,42,56,75
24,Crawford,12,5832,Schleswig,3,7,10,70
55,Kossuth,5,5868,Sentral,,,,
97,Woodbury,12,5877,Sergeant Bluff-Luton,22,83,105,79
93,Wayne,15,5895,Seymour,1,11,12,91.7
17,Cerro Gordo,7,5922,West Fork CSD,16,35,51,68.6
71,O'Brien,12,5949,Sheldon,8,66,74,89.2
73,Page,13,5976,Shenandoah,17,50,67,74.6
72,Osceola,12,5994,Sibley-Ocheyedan,14,45,59,76.3
36,Fremont,13,6003,Sidney,2,20,22,90.9
54,Keokuk,15,6012,Sigourney,9,32,41,78
84,Sioux,12,6030,Sioux Center,12,69,81,85.2
11,Buena Vista,5,6035,Sioux Central,9,46,55,83.6
97,Woodbury,12,6039,Sioux City,294,601,895,67.2
13,Calhoun,5,6091,Southern Cal,,,,
52,Johnson,10,6093,Solon,15,84,99,84.8
91,Warren,11,6094,Southeast Warren,10,34,44,77.3
40,Hamilton,5,6095,South Hamilton,11,41,52,78.8
94,Webster,5,6096,Southeast Webster Grand,11,29,40,72.5
73,Page,13,6097,South Page,5,6,11,54.5
86,Tama,7,6098,South Tama County,29,72,101,71.3
71,O'Brien,12,6099,South O'Brien,6,37,43,86
96,Winneshiek,1,6100,South Winneshiek,5,27,32,84.4
77,Polk,11,6101,Southeast Polk,118,342,460,74.3
21,Clay,5,6102,Spencer,23,121,144,84
30,Dickinson,5,6120,Spirit Lake,13,76,89,85.4
57,Linn,10,6138,Springville,9,19,28,67.9
69,Montgomery,13,6165,Stanton,1,9,10,90
33,Fayette,1,6175,Starmont,9,41,50,82
11,Buena Vista,5,6219,Storm Lake,43,80,123,65
40,Hamilton,5,6246,Stratford,,,,
39,Guthrie,11,6264,West Central Valley,9,44,53,83
9,Bremer,7,6273,Sumner,,,,
16,Cedar,10,6408,Tipton,6,58,64,90.6
78,Pottawattamie,13,6453,Treynor,4,42,46,91.3
78,Pottawattamie,13,6460,Tri-Center,10,41,51,80.4
54,Keokuk,15,6462,Tri-County,6,17,23,73.9
9,Bremer,7,6471,Tripoli,9,25,34,73.5
96,Winneshiek,1,6509,Turkey Valley,,33,33,100
63,Marion,11,6512,Twin Cedars,4,14,18,77.8
46,Humboldt,5,6516,Twin Rivers,,,,
78,Pottawattamie,13,6534,Underwood,9,49,58,84.5
7,Black Hawk,7,6536,Union,19,71,90,78.9
8,Boone,11,6561,United,,,,
77,Polk,11,6579,Urbandale,,,,
