County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,3,36,39,92.3
39,Guthrie,11,18,Adair-Casey,8,14,22,63.6
25,Dallas,11,27,Adel DeSoto Minburn,11,95,106,89.6
75,Plymouth,12,63,Akron Westfield,5,22,27,81.5
11,Buena Vista,5,72,Albert City-Truesdale,0,0,0,
68,Monroe,15,81,Albia,22,51,73,69.9
57,Linn,10,99,Alburnett,8,39,47,83
42,Hardin,7,108,Alden,0,0,0,
55,Kossuth,5,126,Algona,13,81,94,86.2
3,Allamakee,1,135,Allamakee,10,70,80,87.5
12,Butler,7,153,North Butler,7,38,45,84.4
11,Buena Vista,5,171,Alta,0,0,0,
85,Story,11,225,Ames,34,251,285,88.1
53,Jones,10,234,Anamosa,15,76,91,83.5
49,Jackson,9,243,Andrew,4,11,15,73.3
77,Polk,11,261,Ankeny,64,620,684,90.6
12,Butler,7,279,Aplington-Parkersburg,11,42,53,79.2
32,Emmet,5,333,North Union,0,0,0,
24,Crawford,12,355,Ar-We-Va,0,12,12,100
15,Cass,13,387,Atlantic,11,87,98,88.8
5,Audubon,11,414,Audubon,2,25,27,92.6
18,Cherokee,12,423,Aurelia,12,41,53,77.4
78,Pottawattamie,13,441,A-H-S-T,11,26,37,70.3
85,Story,11,472,Ballard,26,86,112,76.8
47,Ida,12,504,Battle Creek-Ida Grove,small N,small N,small N,small N
50,Jasper,11,513,Baxter,3,27,30,90
38,Grundy,7,540,BCLUW,8,44,52,84.6
87,Taylor,13,549,Bedford,3,23,26,88.5
6,Benton,10,576,Belle Plaine,9,37,46,80.4
49,Jackson,9,585,Bellevue,5,50,55,90.9
99,Wright,7,594,Belmond-Klemme,7,31,38,81.6
16,Cedar,9,603,Bennett,0,0,0,
6,Benton,10,609,Benton,21,79,100,79
82,Scott,9,621,Bettendorf,69,266,335,79.4
90,Wapello,15,657,Eddyville-Blakesburg-,16,62,78,79.5
77,Polk,11,720,Bondurant-Farrar,26,91,117,77.8
8,Boone,11,729,Boone,33,103,136,75.7
84,Sioux,12,747,Boyden-Hull,7,37,44,84.1
41,Hancock,7,819,West Hancock,5,31,36,86.1
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,5,39,44,88.6
95,Winnebago,7,873,North Iowa,12,20,32,62.5
29,Des Moines,15,882,Burlington,107,127,234,54.3
15,Cass,13,914,CAM,14,32,46,69.6
35,Franklin,7,916,CAL,5,8,13,61.5
23,Clinton,9,918,Calamus-Wheatland,5,41,46,89.1
23,Clinton,9,936,Camanche,7,56,63,88.9
90,Wapello,15,977,Cardinal,18,26,44,59.1
91,Warren,11,981,Carlisle,22,143,165,86.7
14,Carroll,11,999,Carroll,11,79,90,87.8
7,Black Hawk,7,1044,Cedar Falls,49,311,360,86.4
57,Linn,10,1053,Cedar Rapids,337,750,1087,69
57,Linn,10,1062,Center Point-Urbana,2,95,97,97.9
4,Appanoose,15,1071,Centerville,27,55,82,67.1
56,Lee,15,1079,Central Lee,17,63,80,78.8
22,Clayton,1,1080,Central,8,22,30,73.3
23,Clinton,9,1082,Central DeWitt,17,84,101,83.2
57,Linn,10,1089,Central City,9,27,36,75
27,Decatur,13,1093,Central Decatur,19,26,45,57.8
60,Lyon,12,1095,Central Lyon,5,37,42,88.1
59,Lucas,15,1107,Chariton,27,68,95,71.6
34,Floyd,7,1116,Charles City,27,88,115,76.5
24,Crawford,12,1134,Charter Oak-Ute,6,8,14,57.1
18,Cherokee,12,1152,Cherokee,5,63,68,92.6
73,Page,13,1197,Clarinda,12,55,67,82.1
99,Wright,5,1206,Clarion-Goldfield-Dows,10,59,69,85.5
20,Clarke,13,1211,Clarke,21,64,85,75.3
12,Butler,7,1215,Clarksville,3,17,20,85
21,Clay,5,1218,Clay Central-Everly,4,22,26,84.6
52,Johnson,10,1221,Clear Creek Amana,16,108,124,87.1
17,Cerro Gordo,7,1233,Clear Lake,16,68,84,81
23,Clinton,9,1278,Clinton,78,150,228,65.8
50,Jasper,11,1332,Colfax-Mingo,10,39,49,79.6
57,Linn,10,1337,College,80,273,353,77.3
85,Story,11,1350,Collins-Maxwell,7,26,33,78.8
85,Story,11,1359,Colo-NESCO School,8,24,32,75
58,Louisa,9,1368,Columbus,21,28,49,57.1
14,Carroll,11,1413,Coon Rapids-Bayard,8,16,24,66.7
2,Adams,13,1431,Corning,0,0,0,
41,Hancock,7,1449,Corwith-Wesley,1,9,10,90
78,Pottawattamie,13,1476,Council Bluffs,171,348,519,67.1
88,Union,13,1503,Creston,15,66,81,81.5
25,Dallas,11,1576,Dallas Center-Grimes,23,136,159,85.5
29,Des Moines,15,1602,Danville,8,43,51,84.3
82,Scott,9,1611,Davenport,361,610,971,62.8
26,Davis,15,1619,Davis County,16,70,86,81.4
96,Winneshiek,1,1638,Decorah Community,5,98,103,95.1
23,Clinton,9,1675,Delwood,0,0,0,
24,Crawford,12,1701,Denison,33,99,132,75
9,Bremer,7,1719,Denver,1,54,55,98.2
77,Polk,11,1737,Des Moines Independent,802,1172,1974,59.4
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N
38,Grundy,7,1791,Dike-New Hartford,5,55,60,91.7
31,Dubuque,1,1863,Dubuque,183,534,717,74.5
7,Black Hawk,7,1908,Dunkerton,10,21,31,67.7
43,Harrison,13,1917,Boyer Valley,9,24,33,72.7
16,Cedar,9,1926,Durant,12,37,49,75.5
99,Wright,5,1944,Eagle Grove,12,38,50,76
61,Madison,11,1953,Earlham,6,35,41,85.4
10,Buchanan,7,1963,East Buchanan,5,31,36,86.1
49,Jackson,9,1965,Easton Valley,11,29,40,72.5
64,Marshall,7,1968,East Marshall,12,53,65,81.5
88,Union,13,1970,East Union,10,17,27,63
3,Allamakee,1,1972,Eastern Allamakee,4,23,27,85.2
97,Woodbury,12,1975,River Valley,6,27,33,81.8
28,Delaware,1,1989,Edgewood-Colesburg,5,34,39,87.2
42,Hardin,7,2007,Eldora-New Providence,small N,small N,small N,small N
74,Palo Alto,5,2088,Emmetsburg,9,32,41,78
48,Iowa,10,2097,English Valleys,7,27,34,79.4
73,Page,13,2113,Essex,1,15,16,93.8
32,Emmet,5,2124,Estherville Lincoln,21,59,80,73.8
83,Shelby,11,2151,Exira-Elk Horn-,0,18,18,100
51,Jefferson,15,2169,Fairfield,19,93,112,83
36,Fremont,13,2205,Farragut,0,0,0,
95,Winnebago,7,2295,Forest City,19,69,88,78.4
94,Webster,5,2313,Fort Dodge,102,128,230,55.7
56,Lee,15,2322,Fort Madison,48,84,132,63.6
36,Fremont,13,2369,Fremont-Mills,1,24,25,96
47,Ida,12,2376,Galva-Holstein,0,0,0,
41,Hancock,7,2403,Garner-Hayfield,0,0,0,
60,Lyon,12,2457,George-Little Rock,10,27,37,73
85,Story,11,2466,Gilbert,3,100,103,97.1
46,Humboldt,5,2493,Gilmore City-Bradgate,0,0,0,
38,Grundy,7,2502,Gladbrook-Reinbeck,17,28,45,62.2
65,Mills,13,2511,Glenwood,29,120,149,80.5
14,Carroll,11,2520,Glidden-Ralston,3,24,27,88.9
74,Palo Alto,5,2556,Graettinger-Terril,6,20,26,76.9
1,Adair,13,2673,Nodaway Valley,12,47,59,79.7
86,Tama,7,2682,GMG,1,40,41,97.6
79,Poweshiek,7,2709,Grinnell-Newburg,21,104,125,83.2
15,Cass,13,2718,Griswold,13,29,42,69
38,Grundy,7,2727,Grundy Center,4,46,50,92
39,Guthrie,11,2754,Guthrie Center,3,32,35,91.4
22,Clayton,1,2763,Clayton Ridge,12,36,48,75
48,Iowa,10,2766,H-L-V,6,18,24,75
36,Fremont,13,2772,Hamburg,7,19,26,73.1
35,Franklin,7,2781,Hampton-Dumont,13,79,92,85.9
83,Shelby,13,2826,Harlan,18,93,111,83.8
89,Van Buren,15,2834,Harmony,6,7,13,53.8
30,Dickinson,5,2846,Harris-Lake Park,0,22,22,100
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,4,45,49,91.8
92,Washington,10,2977,Highland,6,40,46,87
75,Plymouth,12,2988,Hinton,10,46,56,82.1
45,Howard,1,3029,Howard-Winneshiek,20,72,92,78.3
42,Hardin,7,3033,Hubbard-Radcliffe,15,57,72,79.2
7,Black Hawk,7,3042,Hudson,5,37,42,88.1
46,Humboldt,5,3060,Humboldt,14,92,106,86.8
10,Buchanan,7,3105,Independence,12,75,87,86.2
91,Warren,11,3114,Indianola,32,225,257,87.5
61,Madison,11,3119,Interstate 35,18,53,71,74.6
52,Johnson,10,3141,Iowa City,232,659,891,74
42,Hardin,7,3150,Iowa Falls,25,76,101,75.2
48,Iowa,10,3154,Iowa Valley,2,32,34,94.1
24,Crawford,13,3168,IKM-Manning,5,49,54,90.7
9,Bremer,7,3186,Janesville Consolidated,3,23,26,88.5
37,Greene,5,3195,Greene County,9,64,73,87.7
10,Buchanan,7,3204,Jesup,17,51,68,75
77,Polk,11,3231,Johnston,30,448,478,93.7
56,Lee,15,3312,Keokuk,46,79,125,63.2
54,Keokuk,15,3330,Keota,2,16,18,88.9
75,Plymouth,12,3348,Kingsley-Pierson,5,27,32,84.4
63,Marion,11,3375,Knoxville,15,98,113,86.7
95,Winnebago,7,3420,Lake Mills,4,32,36,88.9
27,Decatur,13,3465,Lamoni,4,14,18,77.8
76,Pocahontas,5,3537,Laurens-Marathon,3,12,15,80
97,Woodbury,12,3555,Lawton-Bronson,6,40,46,87
75,Plymouth,12,3600,Le Mars,19,115,134,85.8
87,Taylor,13,3609,Lenox,6,24,30,80
78,Pottawattamie,13,3645,Lewis Central,70,147,217,67.7
16,Cedar,10,3691,North Cedar,30,40,70,57.1
57,Linn,10,3715,Linn-Mar,79,391,470,83.2
57,Linn,10,3744,Lisbon,5,34,39,87.2
43,Harrison,13,3798,Logan-Magnolia,7,39,46,84.8
52,Johnson,10,3816,Lone Tree,11,27,38,71.1
58,Louisa,9,3841,Louisa-Muscatine,22,33,55,60
55,Kossuth,5,3897,LuVerne,0,0,0,
50,Jasper,11,3906,Lynnville-Sully,4,37,41,90.2
8,Boone,11,3942,Madrid,12,40,52,76.9
65,Mills,13,3978,East Mills,6,25,31,80.6
13,Calhoun,5,4023,Manson Northwest Webster,13,28,41,68.3
67,Monona,12,4033,Maple Valley-Anthon Oto,17,27,44,61.4
49,Jackson,9,4041,Maquoketa,43,75,118,63.6
28,Delaware,1,4043,Maquoketa Valley,8,41,49,83.7
18,Cherokee,12,4068,Marcus-Meriden-Cleghorn,2,17,19,89.5
57,Linn,10,4086,Marion Independent,18,119,137,86.9
64,Marshall,7,4104,Marshalltown,108,193,301,64.1
