County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,8,31,39,79.5
39,Guthrie,11,18,Adair-Casey,9,13,22,59.1
25,Dallas,11,27,Adel DeSoto Minburn,8,98,106,92.5
75,Plymouth,12,63,Akron Westfield,6,21,27,77.8
11,Buena Vista,5,72,Albert City-Truesdale,0,0,0,
68,Monroe,15,81,Albia,17,55,72,76.4
57,Linn,10,99,Alburnett,10,37,47,78.7
42,Hardin,7,108,Alden,0,0,0,
55,Kossuth,5,126,Algona,25,69,94,73.4
3,Allamakee,1,135,Allamakee,16,64,80,80
12,Butler,7,153,North Butler,9,36,45,80
11,Buena Vista,5,171,Alta,0,0,0,
85,Story,11,225,Ames,42,243,285,85.3
53,Jones,10,234,Anamosa,17,74,91,81.3
49,Jackson,9,243,Andrew,5,10,15,66.7
77,Polk,11,261,Ankeny,77,608,685,88.8
12,Butler,7,279,Aplington-Parkersburg,15,38,53,71.7
32,Emmet,5,333,North Union,0,0,0,
24,Crawford,12,355,Ar-We-Va,1,11,12,91.7
15,Cass,13,387,Atlantic,22,76,98,77.6
5,Audubon,11,414,Audubon,6,21,27,77.8
18,Cherokee,12,423,Aurelia,12,41,53,77.4
78,Pottawattamie,13,441,A-H-S-T,12,25,37,67.6
85,Story,11,472,Ballard,19,94,113,83.2
47,Ida,12,504,Battle Creek-Ida Grove,small N,small N,small N,small N
50,Jasper,11,513,Baxter,4,26,30,86.7
38,Grundy,7,540,BCLUW,10,42,52,80.8
87,Taylor,13,549,Bedford,3,23,26,88.5
6,Benton,10,576,Belle Plaine,11,35,46,76.1
49,Jackson,9,585,Bellevue,11,44,55,80
99,Wright,7,594,Belmond-Klemme,7,31,38,81.6
16,Cedar,9,603,Bennett,0,0,0,
6,Benton,10,609,Benton,11,89,100,89
82,Scott,9,621,Bettendorf,76,260,336,77.4
90,Wapello,15,657,Eddyville-Blakesburg-,15,63,78,80.8
77,Polk,11,720,Bondurant-Farrar,16,101,117,86.3
8,Boone,11,729,Boone,30,106,136,77.9
84,Sioux,12,747,Boyden-Hull,7,37,44,84.1
41,Hancock,7,819,West Hancock,6,30,36,83.3
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,12,32,44,72.7
95,Winnebago,7,873,North Iowa,10,22,32,68.8
29,Des Moines,15,882,Burlington,94,139,233,59.7
15,Cass,13,914,CAM,15,31,46,67.4
35,Franklin,7,916,CAL,4,9,13,69.2
23,Clinton,9,918,Calamus-Wheatland,11,35,46,76.1
23,Clinton,9,936,Camanche,8,55,63,87.3
90,Wapello,15,977,Cardinal,9,35,44,79.5
91,Warren,11,981,Carlisle,23,142,165,86.1
14,Carroll,11,999,Carroll,9,81,90,90
7,Black Hawk,7,1044,Cedar Falls,68,292,360,81.1
57,Linn,10,1053,Cedar Rapids,308,778,1086,71.6
57,Linn,10,1062,Center Point-Urbana,15,82,97,84.5
4,Appanoose,15,1071,Centerville,22,60,82,73.2
56,Lee,15,1079,Central Lee,14,66,80,82.5
22,Clayton,1,1080,Central,7,23,30,76.7
23,Clinton,9,1082,Central DeWitt,20,81,101,80.2
57,Linn,10,1089,Central City,8,28,36,77.8
27,Decatur,13,1093,Central Decatur,14,32,46,69.6
60,Lyon,12,1095,Central Lyon,7,34,41,82.9
59,Lucas,15,1107,Chariton,22,73,95,76.8
34,Floyd,7,1116,Charles City,23,92,115,80
24,Crawford,12,1134,Charter Oak-Ute,6,8,14,57.1
18,Cherokee,12,1152,Cherokee,8,60,68,88.2
73,Page,13,1197,Clarinda,19,48,67,71.6
99,Wright,5,1206,Clarion-Goldfield-Dows,9,60,69,87
20,Clarke,13,1211,Clarke,21,64,85,75.3
12,Butler,7,1215,Clarksville,6,14,20,70
21,Clay,5,1218,Clay Central-Everly,5,21,26,80.8
52,Johnson,10,1221,Clear Creek Amana,26,98,124,79
17,Cerro Gordo,7,1233,Clear Lake,15,69,84,82.1
23,Clinton,9,1278,Clinton,70,159,229,69.4
50,Jasper,11,1332,Colfax-Mingo,12,37,49,75.5
57,Linn,10,1337,College,85,268,353,75.9
