County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
75,Plymouth,12,2988,Hinton,0,0,0,
45,Howard,1,3029,Howard-Winneshiek,17,81,98,82.7
42,Hardin,7,3033,Hubbard-Radcliffe,17,40,57,70.2
7,Black Hawk,7,3042,Hudson,9,45,54,83.3
46,Humboldt,5,3060,Humboldt,19,105,124,84.7
10,Buchanan,7,3105,Independence,27,68,95,71.6
91,Warren,11,3114,Indianola,51,201,252,79.8
61,Madison,11,3119,Interstate 35,17,45,62,72.6
52,Johnson,10,3141,Iowa City,222,709,931,76.2
42,Hardin,7,3150,Iowa Falls,17,72,89,80.9
48,Iowa,10,3154,Iowa Valley,12,32,44,72.7
14,Carroll,13,3168,IKM-Manning,10,45,55,81.8
9,Bremer,7,3186,Janesville Consolidated,5,22,27,81.5
37,Greene,5,3195,Greene County,11,59,70,84.3
10,Buchanan,7,3204,Jesup,17,61,78,78.2
77,Polk,11,3231,Johnston,63,454,517,87.8
56,Lee,15,3312,Keokuk,35,83,118,70.3
54,Keokuk,15,3330,Keota,small N,small N,small N,small N
75,Plymouth,12,3348,Kingsley-Pierson,7,18,25,72
63,Marion,11,3375,Knoxville,26,86,112,76.8
95,Winnebago,7,3420,Lake Mills,10,21,31,67.7
27,Decatur,13,3465,Lamoni,5,22,27,81.5
76,Pocahontas,5,3537,Laurens-Marathon,3,7,10,70
97,Woodbury,12,3555,Lawton-Bronson,10,39,49,79.6
75,Plymouth,12,3600,Le Mars,17,120,137,87.6
87,Taylor,13,3609,Lenox,14,23,37,62.2
78,Pottawattamie,13,3645,Lewis Central,56,160,216,74.1
16,Cedar,10,3691,North Cedar,10,36,46,78.3
57,Linn,10,3715,Linn-Mar,80,446,526,84.8
57,Linn,10,3744,Lisbon,4,33,37,89.2
43,Harrison,13,3798,Logan-Magnolia,6,37,43,86
52,Johnson,10,3816,Lone Tree,17,22,39,56.4
58,Louisa,9,3841,Louisa-Muscatine,13,50,63,79.4
55,Kossuth,5,3897,LuVerne,0,0,0,
50,Jasper,11,3906,Lynnville-Sully,5,28,33,84.8
8,Boone,11,3942,Madrid,6,33,39,84.6
65,Mills,13,3978,East Mills,9,23,32,71.9
13,Calhoun,5,4023,Manson Northwest Webster,18,37,55,67.3
67,Monona,12,4033,Maple Valley-Anthon Oto,7,31,38,81.6
49,Jackson,9,4041,Maquoketa,27,69,96,71.9
28,Delaware,1,4043,Maquoketa Valley,4,43,47,91.5
18,Cherokee,12,4068,Marcus-Meriden-Cleghorn,0,0,0,
57,Linn,10,4086,Marion Independent,28,106,134,79.1
64,Marshall,7,4104,Marshalltown,107,221,328,67.4
91,Warren,11,4122,Martensdale-St Marys,17,20,37,54.1
17,Cerro Gordo,7,4131,Mason City,102,154,256,60.2
84,Sioux,12,4149,MOC-Floyd Valley,8,90,98,91.8
29,Des Moines,15,4203,Mediapolis,6,48,54,88.9
63,Marion,11,4212,Melcher-Dallas,7,16,23,69.6
53,Jones,10,4269,Midland,8,22,30,73.3
92,Washington,10,4271,Mid-Prairie,26,78,104,75
43,Harrison,13,4356,Missouri Valley,11,40,51,78.4
22,Clayton,1,4419,MFL MarMac,9,41,50,82
79,Poweshiek,7,4437,Montezuma,6,27,33,81.8
53,Jones,10,4446,Monticello,31,59,90,65.6
4,Appanoose,15,4491,Moravia,7,14,21,66.7
93,Wayne,13,4505,Mormon Trail,7,9,16,56.3
58,Louisa,15,4509,Morning Sun,0,0,0,
4,Appanoose,15,4518,Moulton-Udell,5,7,12,58.3
80,Ringgold,13,4527,Mount Ayr,5,32,37,86.5
44,Henry,15,4536,Mount Pleasant,40,85,125,68
57,Linn,10,4554,Mount Vernon,13,80,93,86
20,Clarke,13,4572,Murray,3,17,20,85
70,Muscatine,9,4581,Muscatine,91,241,332,72.6
19,Chickasaw,7,4599,Nashua-Plainfield,11,31,42,73.8
85,Story,11,4617,Nevada,15,83,98,84.7
11,Buena Vista,5,4644,Newell-Fonda,8,29,37,78.4
19,Chickasaw,1,4662,New Hampton,12,39,51,76.5
44,Henry,15,4689,New London,11,27,38,71.1
50,Jasper,11,4725,Newton,41,160,201,79.6
98,Worth,7,4772,Central Springs,15,54,69,78.3
23,Clinton,9,4773,Northeast,7,47,54,87
33,Fayette,1,4774,North Fayette,0,0,0,
40,Hamilton,5,4775,Northeast Hamilton,0,0,0,
62,Mahaska,15,4776,North Mahaska,10,29,39,74.4
57,Linn,10,4777,North Linn,7,45,52,86.5
55,Kossuth,5,4778,North Kossuth,18,30,48,62.5
77,Polk,11,4779,North Polk,10,98,108,90.7
82,Scott,9,4784,North Scott,27,187,214,87.4
86,Tama,7,4785,North Tama County,14,23,37,62.2
96,Winneshiek,1,4787,North Winneshiek,0,0,0,
98,Worth,7,4788,Northwood-Kensett,8,29,37,78.4
91,Warren,11,4797,Norwalk,27,183,210,87.1
81,Sac,5,4860,Odebolt-Arthur,11,54,65,83.1
33,Fayette,1,4869,Oelwein,30,52,82,63.4
8,Boone,11,4878,Ogden,8,34,42,81
30,Dickinson,5,4890,Okoboji,16,58,74,78.4
53,Jones,10,4905,Olin Consolidated,0,0,0,
1,Adair,13,4978,Orient-Macksburg,small N,small N,small N,small N
66,Mitchell,7,4995,Osage,11,44,55,80
62,Mahaska,15,5013,Oskaloosa,36,102,138,73.9
90,Wapello,15,5049,Ottumwa,114,169,283,59.7
39,Guthrie,11,5121,Panorama,25,39,64,60.9
37,Greene,5,5139,Paton-Churdan,3,16,19,84.2
50,Jasper,11,5160,PCM,12,50,62,80.6
54,Keokuk,15,5163,Pekin,5,39,44,88.6
63,Marion,11,5166,Pella,13,134,147,91.2
25,Dallas,11,5184,Perry,41,83,124,66.9
82,Scott,9,5250,Pleasant Valley,32,313,345,90.7
63,Marion,11,5256,Pleasantville,14,39,53,73.6
76,Pocahontas,5,5283,Pocahontas Area,11,45,56,80.4
3,Allamakee,1,5310,Postville,26,26,52,50
94,Webster,5,5325,Prairie Valley,0,0,0,
69,Montgomery,13,5463,Red Oak,25,56,81,69.1
75,Plymouth,12,5486,Remsen-Union,4,33,37,89.2
45,Howard,1,5508,Riceville,12,11,23,47.8
78,Pottawattamie,13,5510,Riverside,8,19,27,70.4
84,Sioux,12,5607,Rock Valley,11,41,52,78.8
85,Story,11,5643,Roland-Story,13,53,66,80.3
34,Floyd,7,5697,Rudd-Rockford-Marble Rk,16,16,32,50
74,Palo Alto,5,5724,Ruthven-Ayrshire,small N,small N,small N,small N
66,Mitchell,7,5751,St Ansgar,4,33,37,89.2
77,Polk,11,5805,Saydel,44,47,91,51.6
81,Sac,5,5823,Schaller-Crestland,11,44,55,80
24,Crawford,12,5832,Schleswig,small N,small N,small N,small N
97,Woodbury,12,5877,Sergeant Bluff-Luton,23,88,111,79.3
93,Wayne,15,5895,Seymour,4,14,18,77.8
17,Cerro Gordo,7,5922,West Fork CSD,13,35,48,72.9
71,O'Brien,12,5949,Sheldon,13,61,74,82.4
73,Page,13,5976,Shenandoah,23,54,77,70.1
72,Osceola,12,5994,Sibley-Ocheyedan,10,46,56,82.1
36,Fremont,13,6003,Sidney,5,21,26,80.8
54,Keokuk,15,6012,Sigourney,5,36,41,87.8
84,Sioux,12,6030,Sioux Center,20,59,79,74.7
11,Buena Vista,5,6035,Sioux Central,11,34,45,75.6
97,Woodbury,12,6039,Sioux City,263,665,928,71.7
13,Calhoun,5,6091,South Central Calhoun,7,47,54,87
52,Johnson,10,6093,Solon,12,111,123,90.2
91,Warren,11,6094,Southeast Warren,6,28,34,82.4
40,Hamilton,5,6095,South Hamilton,8,45,53,84.9
94,Webster,5,6096,Southeast Webster Grand,26,61,87,70.1
73,Page,13,6097,South Page,small N,small N,small N,small N
86,Tama,7,6098,South Tama County,45,60,105,57.1
71,O'Brien,12,6099,South O'Brien,11,25,36,69.4
96,Winneshiek,1,6100,South Winneshiek,10,24,34,70.6
77,Polk,11,6101,Southeast Polk,77,371,448,82.8
21,Clay,5,6102,Spencer,23,147,170,86.5
30,Dickinson,5,6120,Spirit Lake,9,59,68,86.8
57,Linn,10,6138,Springville,7,23,30,76.7
69,Montgomery,13,6165,Stanton,1,13,14,92.9
33,Fayette,1,6175,Starmont,18,34,52,65.4
11,Buena Vista,5,6219,Storm Lake,48,109,157,69.4
40,Hamilton,5,6246,Stratford,0,0,0,
39,Guthrie,11,6264,West Central Valley,9,44,53,83
9,Bremer,7,6273,Sumner-Fredericksburg,10,46,56,82.1
16,Cedar,10,6408,Tipton,24,56,80,70
78,Pottawattamie,13,6453,Treynor,5,55,60,91.7
78,Pottawattamie,13,6460,Tri-Center,9,35,44,79.5
54,Keokuk,15,6462,Tri-County,4,10,14,71.4
9,Bremer,7,6471,Tripoli,4,17,21,81
96,Winneshiek,1,6509,Turkey Valley,4,25,29,86.2
63,Marion,11,6512,Twin Cedars,7,12,19,63.2
46,Humboldt,5,6516,Twin Rivers,0,0,0,
78,Pottawattamie,13,6534,Underwood,19,53,72,73.6
7,Black Hawk,7,6536,Union,24,68,92,73.9
8,Boone,11,6561,United,0,0,0,
77,Polk,11,6579,Urbandale,62,239,301,79.4
33,Fayette,1,6591,Valley,13,57,70,81.4
89,Van Buren,15,6592,Van Buren,19,26,45,57.8
25,Dallas,11,6615,Van Meter,7,47,54,87
69,Montgomery,13,6651,Villisca,14,33,47,70.2
6,Benton,10,6660,Vinton-Shellsburg,25,86,111,77.5
44,Henry,15,6700,Waco,5,20,25,80
81,Sac,5,6741,East Sac County,12,46,58,79.3
58,Louisa,15,6759,Wapello,15,22,37,59.5
9,Bremer,7,6762,Wapsie Valley,11,43,54,79.6
92,Washington,10,6768,Washington,40,75,115,65.2
7,Black Hawk,7,6795,Waterloo,214,426,640,66.6
25,Dallas,11,6822,Waukee,83,587,670,87.6
9,Bremer,7,6840,Waverly-Shell Rock,35,126,161,78.3
93,Wayne,15,6854,Wayne,7,34,41,82.9
40,Hamilton,5,6867,Webster City,45,95,140,67.9
74,Palo Alto,5,6921,West Bend-Mallard,5,15,20,75
16,Cedar,10,6930,West Branch,8,46,54,85.2
29,Des Moines,15,6937,West Burlington Ind,18,42,60,70
33,Fayette,1,6943,West Central,9,14,23,60.9
28,Delaware,1,6950,West Delaware County,19,91,110,82.7
77,Polk,11,6957,West Des Moines,108,473,581,81.4
31,Dubuque,1,6961,Western Dubuque,41,168,209,80.4
43,Harrison,13,6969,West Harrison,6,19,25,76
70,Muscatine,9,6975,West Liberty,32,66,98,67.3
60,Lyon,12,6983,West Lyon,16,60,76,78.9
64,Marshall,7,6985,West Marshall,9,58,67,86.6
67,Monona,12,6987,West Monona,10,36,46,78.3
84,Sioux,12,6990,West Sioux,12,41,53,77.4
97,Woodbury,12,6992,Westwood,8,30,38,78.9
67,Monona,12,7002,Whiting,7,6,13,46.2
48,Iowa,10,7029,Williamsburg,14,61,75,81.3
70,Muscatine,9,7038,Wilton,10,46,56,82.1
44,Henry,15,7047,Winfield-Mt Union,9,24,33,72.7
61,Madison,11,7056,Winterset,25,105,130,80.8
43,Harrison,13,7092,Woodbine,4,30,34,88.2
97,Woodbury,12,7098,Woodbury Central,6,34,40,85
25,Dallas,11,7110,Woodward-Granger,14,42,56,75
,,,,,,,,
,,,,State,"7,897","24,877","32,774",75.9
