County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
42,Hardin,7,9,AGWSR,7,30,37,81.1
39,Guthrie,11,18,Adair-Casey,6,55,61,90.2
25,Dallas,11,27,Adel DeSoto Minburn,11,99,110,90
75,Plymouth,12,63,Akron Westfield,11,25,36,69.4
11,Buena Vista,5,72,Albert City-Truesdale,0,0,0,
68,Monroe,15,81,Albia,19,71,90,78.9
57,Linn,10,99,Alburnett,13,33,46,71.7
42,Hardin,7,108,Alden,0,0,0,
55,Kossuth,5,126,Algona,25,72,97,74.2
3,Allamakee,1,135,Allamakee,15,61,76,80.3
12,Butler,7,153,North Butler,9,40,49,81.6
11,Buena Vista,5,171,Alta,0,0,0,
85,Story,11,225,Ames,49,277,326,85
53,Jones,10,234,Anamosa,25,72,97,74.2
49,Jackson,9,243,Andrew,5,7,12,58.3
77,Polk,11,261,Ankeny,107,702,809,86.8
12,Butler,7,279,Aplington-Parkersburg,12,39,51,76.5
32,Emmet,5,333,North Union,0,0,0,
24,Crawford,12,355,Ar-We-Va,2,11,13,84.6
15,Cass,13,387,Atlantic,19,61,80,76.3
5,Audubon,11,414,Audubon,2,32,34,94.1
18,Cherokee,12,423,Aurelia,7,38,45,84.4
78,Pottawattamie,13,441,AHSTW,11,31,42,73.8
85,Story,11,472,Ballard,25,87,112,77.7
47,Ida,12,504,Battle Creek-Ida Grove,0,0,0,
50,Jasper,11,513,Baxter,3,16,19,84.2
38,Grundy,7,540,BCLUW,13,33,46,71.7
87,Taylor,13,549,Bedford,4,22,26,84.6
6,Benton,10,576,Belle Plaine,13,32,45,71.1
49,Jackson,9,585,Bellevue,13,34,47,72.3
99,Wright,7,594,Belmond-Klemme,11,46,57,80.7
16,Cedar,9,603,Bennett,0,0,0,
6,Benton,10,609,Benton,25,91,116,78.4
82,Scott,9,621,Bettendorf,67,275,342,80.4
90,Wapello,15,657,Eddyville-Blakesburg-,19,52,71,73.2
77,Polk,11,720,Bondurant-Farrar,16,116,132,87.9
8,Boone,11,729,Boone,37,99,136,72.8
84,Sioux,12,747,Boyden-Hull,10,39,49,79.6
41,Hancock,7,819,West Hancock,12,29,41,70.7
79,Poweshiek,7,846,Brooklyn-Guernsey-Malcom,9,26,35,74.3
95,Winnebago,7,873,North Iowa,11,19,30,63.3
29,Des Moines,15,882,Burlington,77,146,223,65.5
15,Cass,13,914,CAM,12,43,55,78.2
35,Franklin,7,916,CAL,5,10,15,66.7
23,Clinton,9,918,Calamus-Wheatland,6,22,28,78.6
23,Clinton,9,936,Camanche,15,52,67,77.6
90,Wapello,15,977,Cardinal,0,0,0,
91,Warren,11,981,Carlisle,23,112,135,83
14,Carroll,11,999,Carroll,19,93,112,83
7,Black Hawk,7,1044,Cedar Falls,60,341,401,85
57,Linn,10,1053,Cedar Rapids,291,672,963,69.8
57,Linn,10,1062,Center Point-Urbana,16,90,106,84.9
4,Appanoose,15,1071,Centerville,22,66,88,75
56,Lee,15,1079,Central Lee,27,50,77,64.9
22,Clayton,1,1080,Central,4,27,31,87.1
23,Clinton,9,1082,Central DeWitt,21,82,103,79.6
57,Linn,10,1089,Central City,6,24,30,80
27,Decatur,13,1093,Central Decatur,8,44,52,84.6
60,Lyon,12,1095,Central Lyon,6,41,47,87.2
59,Lucas,15,1107,Chariton,25,57,82,69.5
34,Floyd,7,1116,Charles City,35,75,110,68.2
24,Crawford,12,1134,Charter Oak-Ute,6,10,16,62.5
18,Cherokee,12,1152,Cherokee,18,56,74,75.7
73,Page,13,1197,Clarinda,19,47,66,71.2
99,Wright,5,1206,Clarion-Goldfield-Dows,12,48,60,80
20,Clarke,13,1211,Clarke,21,69,90,76.7
12,Butler,7,1215,Clarksville,3,17,20,85
21,Clay,5,1218,Clay Central-Everly,5,19,24,79.2
52,Johnson,10,1221,Clear Creek Amana,39,110,149,73.8
17,Cerro Gordo,7,1233,Clear Lake,16,68,84,81
23,Clinton,9,1278,Clinton,74,123,197,62.4
50,Jasper,11,1332,Colfax-Mingo,14,31,45,68.9
57,Linn,10,1337,College,87,321,408,78.7
85,Story,11,1350,Collins-Maxwell,4,22,26,84.6
85,Story,11,1359,Colo-NESCO,12,26,38,68.4
58,Louisa,9,1368,Columbus,17,25,42,59.5
14,Carroll,11,1413,Coon Rapids-Bayard,6,25,31,80.6
2,Adams,13,1431,Corning,0,0,0,
78,Pottawattamie,13,1476,Council Bluffs,155,382,537,71.1
88,Union,13,1503,Creston,22,66,88,75
25,Dallas,11,1576,Dallas Center-Grimes,22,161,183,88
29,Des Moines,15,1602,Danville,5,38,43,88.4
82,Scott,9,1611,Davenport,315,603,918,65.7
26,Davis,15,1619,Davis County,26,56,82,68.3
96,Winneshiek,1,1638,Decorah Community,17,116,133,87.2
23,Clinton,9,1675,Delwood,0,0,0,
24,Crawford,12,1701,Denison,36,128,164,78
9,Bremer,7,1719,Denver,3,56,59,94.9
77,Polk,11,1737,Des Moines Independent,771,"1,220","1,991",61.3
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N
38,Grundy,7,1791,Dike-New Hartford,13,50,63,79.4
31,Dubuque,1,1863,Dubuque,220,462,682,67.7
7,Black Hawk,7,1908,Dunkerton,12,25,37,67.6
43,Harrison,13,1917,Boyer Valley,12,16,28,57.1
16,Cedar,9,1926,Durant,14,46,60,76.7
99,Wright,5,1944,Eagle Grove,13,39,52,75
61,Madison,11,1953,Earlham,14,35,49,71.4
10,Buchanan,7,1963,East Buchanan,10,28,38,73.7
49,Jackson,9,1965,Easton Valley,7,33,40,82.5
64,Marshall,7,1968,East Marshall,10,52,62,83.9
88,Union,13,1970,East Union,20,19,39,48.7
3,Allamakee,1,1972,Eastern Allamakee,3,29,32,90.6
97,Woodbury,12,1975,River Valley,8,21,29,72.4
28,Delaware,1,1989,Edgewood-Colesburg,11,36,47,76.6
42,Hardin,7,2007,Eldora-New Providence,0,0,0,
74,Palo Alto,5,2088,Emmetsburg,18,36,54,66.7
48,Iowa,10,2097,English Valleys,7,35,42,83.3
73,Page,13,2113,Essex,3,9,12,75
32,Emmet,5,2124,Estherville Lincoln,31,78,109,71.6
83,Shelby,11,2151,Exira-Elk Horn-,10,14,24,58.3
51,Jefferson,15,2169,Fairfield,16,86,102,84.3
95,Winnebago,7,2295,Forest City,8,61,69,88.4
94,Webster,5,2313,Fort Dodge,90,151,241,62.7
56,Lee,15,2322,Fort Madison,27,98,125,78.4
36,Fremont,13,2369,Fremont-Mills,10,20,30,66.7
47,Ida,12,2376,Galva-Holstein,0,0,0,
41,Hancock,7,2403,Garner-Hayfield-Ventura,12,57,69,82.6
60,Lyon,12,2457,George-Little Rock,8,19,27,70.4
85,Story,11,2466,Gilbert,15,99,114,86.8
46,Humboldt,5,2493,Gilmore City-Bradgate,0,0,0,
38,Grundy,7,2502,Gladbrook-Reinbeck,1,27,28,96.4
65,Mills,13,2511,Glenwood,15,116,131,88.5
14,Carroll,11,2520,Glidden-Ralston,3,17,20,85
74,Palo Alto,5,2556,Graettinger-Terril,4,17,21,81
1,Adair,13,2673,Nodaway Valley,11,34,45,75.6
86,Tama,7,2682,GMG,11,30,41,73.2
79,Poweshiek,7,2709,Grinnell-Newburg,23,84,107,78.5
15,Cass,13,2718,Griswold,11,26,37,70.3
38,Grundy,7,2727,Grundy Center,7,48,55,87.3
39,Guthrie,11,2754,Guthrie Center,0,0,0,
22,Clayton,1,2763,Clayton Ridge,11,33,44,75
48,Iowa,10,2766,H-L-V,4,16,20,80
48,Iowa,13,2772,Hamburg,4,9,13,69.2
35,Franklin,7,2781,Hampton-Dumont,21,76,97,78.4
83,Shelby,13,2826,Harlan,17,103,120,85.8
89,Van Buren,15,2834,Harmony,0,0,0,
30,Dickinson,5,2846,Harris-Lake Park,6,17,23,73.9
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,4,28,32,87.5
92,Washington,10,2977,Highland,11,33,44,75
