County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
36,Fremont,13,2205,Farragut,0,0,0,
95,Winnebago,7,2295,Forest City,9,77,86,89.5
94,Webster,5,2313,Fort Dodge,89,153,242,63.2
56,Lee,15,2322,Fort Madison,25,106,131,80.9
36,Fremont,13,2369,Fremont-Mills,10,24,34,70.6
47,Ida,12,2376,Galva-Holstein,0,0,0,
41,Hancock,7,2403,Garner-Hayfield-Ventura,17,50,67,74.6
60,Lyon,12,2457,George-Little Rock,6,22,28,78.6
85,Story,11,2466,Gilbert,5,93,98,94.9
46,Humboldt,5,2493,Gilmore City-Bradgate,0,0,0,
38,Grundy,7,2502,Gladbrook-Reinbeck,7,22,29,75.9
65,Mills,13,2511,Glenwood,26,121,147,82.3
14,Carroll,11,2520,Glidden-Ralston,3,21,24,87.5
74,Palo Alto,5,2556,Graettinger-Terril,4,17,21,81
1,Adair,13,2673,Nodaway Valley,12,35,47,74.5
86,Tama,7,2682,GMG,15,24,39,61.5
79,Poweshiek,7,2709,Grinnell-Newburg,21,91,112,81.3
15,Cass,13,2718,Griswold,7,17,24,70.8
38,Grundy,7,2727,Grundy Center,2,40,42,95.2
39,Guthrie,11,2754,Guthrie Center,4,30,34,88.2
22,Clayton,1,2763,Clayton Ridge,13,37,50,74
48,Iowa,10,2766,H-L-V,1,24,25,96
36,Fremont,13,2772,Hamburg,0,0,0,
35,Franklin,7,2781,Hampton-Dumont,25,56,81,69.1
83,Shelby,13,2826,Harlan,20,85,105,81
89,Van Buren,15,2834,Harmony,7,9,16,56.3
30,Dickinson,5,2846,Harris-Lake Park,3,19,22,86.4
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,12,28,40,70
92,Washington,10,2977,Highland,17,28,45,62.2
75,Plymouth,12,2988,Hinton,8,40,48,83.3
45,Howard,1,3029,Howard-Winneshiek,29,71,100,71
42,Hardin,7,3033,Hubbard-Radcliffe,8,48,56,85.7
7,Black Hawk,7,3042,Hudson,11,38,49,77.6
46,Humboldt,5,3060,Humboldt,18,98,116,84.5
10,Buchanan,7,3105,Independence,29,74,103,71.8
91,Warren,11,3114,Indianola,50,196,246,79.7
61,Madison,11,3119,Interstate 35,8,49,57,86
52,Johnson,10,3141,Iowa City,226,644,870,74
42,Hardin,7,3150,Iowa Falls,21,81,102,79.4
48,Iowa,10,3154,Iowa Valley,6,37,43,86
24,Crawford,13,3168,IKM-Manning,7,33,40,82.5
9,Bremer,7,3186,Janesville Consolidated,8,14,22,63.6
37,Greene,5,3195,Greene County,13,70,83,84.3
10,Buchanan,7,3204,Jesup,14,64,78,82.1
77,Polk,11,3231,Johnston,46,419,465,90.1
56,Lee,15,3312,Keokuk,34,92,126,73
54,Keokuk,15,3330,Keota,6,18,24,75
75,Plymouth,12,3348,Kingsley-Pierson,5,19,24,79.2
63,Marion,11,3375,Knoxville,23,97,120,80.8
95,Winnebago,7,3420,Lake Mills,11,39,50,78
27,Decatur,13,3465,Lamoni,4,17,21,81
76,Pocahontas,5,3537,Laurens-Marathon,7,11,18,61.1
97,Woodbury,12,3555,Lawton-Bronson,5,40,45,88.9
75,Plymouth,12,3600,Le Mars,27,121,148,81.8
87,Taylor,13,3609,Lenox,9,21,30,70
78,Pottawattamie,13,3645,Lewis Central,80,154,234,65.8
16,Cedar,10,3691,North Cedar,14,41,55,74.5
57,Linn,10,3715,Linn-Mar,81,424,505,84
57,Linn,10,3744,Lisbon,10,27,37,73
43,Harrison,13,3798,Logan-Magnolia,11,42,53,79.2
52,Johnson,10,3816,Lone Tree,3,26,29,89.7
58,Louisa,9,3841,Louisa-Muscatine,14,50,64,78.1
55,Kossuth,5,3897,LuVerne,0,0,0,
50,Jasper,11,3906,Lynnville-Sully,2,24,26,92.3
8,Boone,11,3942,Madrid,7,35,42,83.3
65,Mills,13,3978,East Mills,8,24,32,75
13,Calhoun,5,4023,Manson Northwest Webster,11,38,49,77.6
67,Monona,12,4033,Maple Valley-Anthon Oto,6,41,47,87.2
49,Jackson,9,4041,Maquoketa,31,78,109,71.6
28,Delaware,1,4043,Maquoketa Valley,4,41,45,91.1
18,Cherokee,12,4068,Marcus-Meriden-Cleghorn,5,15,20,75
57,Linn,10,4086,Marion Independent,28,105,133,78.9
64,Marshall,7,4104,Marshalltown,124,210,334,62.9
91,Warren,11,4122,Martensdale-St Marys,10,31,41,75.6
17,Cerro Gordo,7,4131,Mason City,73,179,252,71
84,Sioux,12,4149,MOC-Floyd Valley,13,80,93,86
29,Des Moines,15,4203,Mediapolis,11,35,46,76.1
63,Marion,11,4212,Melcher-Dallas,6,12,18,66.7
53,Jones,10,4269,Midland,12,21,33,63.6
92,Washington,10,4271,Mid-Prairie,17,72,89,80.9
43,Harrison,13,4356,Missouri Valley,16,35,51,68.6
22,Clayton,1,4419,MFL MarMac,6,36,42,85.7
79,Poweshiek,7,4437,Montezuma,6,25,31,80.6
53,Jones,10,4446,Monticello,23,59,82,72
4,Appanoose,15,4491,Moravia,9,16,25,64
93,Wayne,13,4505,Mormon Trail,2,11,13,84.6
58,Louisa,15,4509,Morning Sun,8,11,19,57.9
4,Appanoose,15,4518,Moulton-Udell,small N,small N,small N,small N
80,Ringgold,13,4527,Mount Ayr,8,41,49,83.7
44,Henry,15,4536,Mount Pleasant,34,104,138,75.4
57,Linn,10,4554,Mount Vernon,10,89,99,89.9
20,Clarke,13,4572,Murray,1,15,16,93.8
70,Muscatine,9,4581,Muscatine,112,257,369,69.6
9,Bremer,7,4599,Nashua-Plainfield,9,26,35,74.3
85,Story,11,4617,Nevada,16,79,95,83.2
11,Buena Vista,5,4644,Newell-Fonda,8,16,24,66.7
19,Chickasaw,1,4662,New Hampton,14,49,63,77.8
44,Henry,15,4689,New London,10,29,39,74.4
50,Jasper,11,4725,Newton,47,164,211,77.7
98,Worth,7,4772,Central Springs,9,41,50,82
23,Clinton,9,4773,Northeast,12,47,59,79.7
33,Fayette,1,4774,North Fayette,0,0,0,
40,Hamilton,5,4775,Northeast Hamilton,0,0,0,
62,Mahaska,15,4776,North Mahaska,7,30,37,81.1
57,Linn,10,4777,North Linn,11,39,50,78
55,Kossuth,5,4778,North Kossuth,7,40,47,85.1
77,Polk,11,4779,North Polk,10,84,94,89.4
82,Scott,9,4784,North Scott,22,200,222,90.1
86,Tama,7,4785,North Tama County,9,30,39,76.9
96,Winneshiek,1,4787,North Winneshiek,2,8,10,80
98,Worth,7,4788,Northwood-Kensett,8,24,32,75
91,Warren,11,4797,Norwalk,32,176,208,84.6
81,Sac,5,4860,Odebolt-Arthur,17,68,85,80
33,Fayette,1,4869,Oelwein,19,62,81,76.5
8,Boone,11,4878,Ogden,8,48,56,85.7
30,Dickinson,5,4890,Okoboji,8,51,59,86.4
53,Jones,10,4905,Olin Consolidated,0,0,0,
1,Adair,13,4978,Orient-Macksburg,3,7,10,70
66,Mitchell,7,4995,Osage,19,51,70,72.9
62,Mahaska,15,5013,Oskaloosa,63,89,152,58.6
90,Wapello,15,5049,Ottumwa,102,184,286,64.3
39,Guthrie,11,5121,Panorama,12,39,51,76.5
37,Greene,5,5139,Paton-Churdan,1,12,13,92.3
50,Jasper,11,5160,PCM,10,71,81,87.7
54,Keokuk,15,5163,Pekin,21,28,49,57.1
63,Marion,11,5166,Pella,19,133,152,87.5
25,Dallas,11,5184,Perry,44,99,143,69.2
82,Scott,9,5250,Pleasant Valley,37,272,309,88
63,Marion,11,5256,Pleasantville,11,43,54,79.6
76,Pocahontas,5,5283,Pocahontas Area,10,37,47,78.7
3,Allamakee,1,5310,Postville,17,19,36,52.8
94,Webster,5,5325,Prairie Valley,0,0,0,
2,Adams,13,5328,Prescott,0,0,0,
69,Montgomery,13,5463,Red Oak,21,50,71,70.4
75,Plymouth,12,5486,Remsen-Union,0,17,17,100
45,Howard,1,5508,Riceville,10,12,22,54.5
78,Pottawattamie,13,5510,Riverside,8,35,43,81.4
84,Sioux,12,5607,Rock Valley,9,46,55,83.6
85,Story,11,5643,Roland-Story,17,56,73,76.7
34,Floyd,7,5697,Rudd-Rockford-Marble Rk,8,20,28,71.4
74,Palo Alto,5,5724,Ruthven-Ayrshire,5,8,13,61.5
66,Mitchell,7,5751,St Ansgar,5,37,42,88.1
77,Polk,11,5805,Saydel,29,58,87,66.7
81,Sac,5,5823,Schaller-Crestland,6,36,42,85.7
24,Crawford,12,5832,Schleswig,4,10,14,71.4
97,Woodbury,12,5877,Sergeant Bluff-Luton,13,114,127,89.8
93,Wayne,15,5895,Seymour,7,13,20,65
17,Cerro Gordo,7,5922,West Fork CSD,11,28,39,71.8
71,O'Brien,12,5949,Sheldon,11,48,59,81.4
73,Page,13,5976,Shenandoah,11,51,62,82.3
72,Osceola,12,5994,Sibley-Ocheyedan,10,33,43,76.7
36,Fremont,13,6003,Sidney,4,25,29,86.2
54,Keokuk,15,6012,Sigourney,9,28,37,75.7
84,Sioux,12,6030,Sioux Center,24,57,81,70.4
11,Buena Vista,5,6035,Sioux Central,11,34,45,75.6
97,Woodbury,12,6039,Sioux City,250,626,876,71.5
13,Calhoun,5,6091,South Central Calhoun,14,53,67,79.1
52,Johnson,10,6093,Solon,6,89,95,93.7
91,Warren,11,6094,Southeast Warren,8,21,29,72.4
40,Hamilton,5,6095,South Hamilton,10,44,54,81.5
94,Webster,5,6096,Southeast Webster Grand,15,61,76,80.3
73,Page,13,6097,South Page,small N,small N,small N,small N
86,Tama,7,6098,South Tama County,30,62,92,67.4
71,O'Brien,12,6099,South O'Brien,5,38,43,88.4
96,Winneshiek,1,6100,South Winneshiek,7,21,28,75
77,Polk,11,6101,Southeast Polk,109,349,458,76.2
21,Clay,5,6102,Spencer,28,103,131,78.6
30,Dickinson,5,6120,Spirit Lake,9,71,80,88.8
57,Linn,10,6138,Springville,6,15,21,71.4
69,Montgomery,13,6165,Stanton,5,11,16,68.8
33,Fayette,1,6175,Starmont,15,27,42,64.3
11,Buena Vista,5,6219,Storm Lake,54,96,150,64
40,Hamilton,5,6246,Stratford,0,0,0,
39,Guthrie,11,6264,West Central Valley,6,54,60,90
9,Bremer,7,6273,Sumner-Fredericksburg,17,31,48,64.6
16,Cedar,10,6408,Tipton,13,61,74,82.4
78,Pottawattamie,13,6453,Treynor,6,49,55,89.1
78,Pottawattamie,13,6460,Tri-Center,9,36,45,80
54,Keokuk,15,6462,Tri-County,5,11,16,68.8
9,Bremer,7,6471,Tripoli,8,28,36,77.8
96,Winneshiek,1,6509,Turkey Valley,8,28,36,77.8
63,Marion,11,6512,Twin Cedars,11,11,22,50
46,Humboldt,5,6516,Twin Rivers,0,0,0,
78,Pottawattamie,13,6534,Underwood,14,45,59,76.3
