,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,,,,
37,Greene,05,5139,Paton-Churdan,2,18,20,90.0,,0,19,19,100.0,,1,11,12,91.7,,1,10,11,90.9,,1,11,12,91.7,,6,13,19,68.4,,0,14,14,100,,1,15,16,93.8,,,,,,,,
50,Jasper,11,5160,PCM,13,63,76,82.9,,14,71,85,83.5,,22,55,77,71.4,,22,48,70,68.6,,7,65,72,90.3,,13,49,62,79.0,,9,77,86,89.5,,7,84,91,92.3,,,,,,,,
54,Keokuk,15,5163,Pekin,4,49,53,92.5,,6,46,52,88.5,,5,28,33,84.8,,9,28,37,75.7,,3,49,52,94.2,,5,39,44,88.6,,8,38,46,82.6,,5,36,41,87.8,,,,,,,,
63,Marion,11,5166,Pella,15,145,160,90.6,,37,142,179,79.3,,24,134,158,84.8,,16,158,174,90.8,,11,163,174,93.7,,11,137,148,92.6,,22,132,154,85.7,,11,143,154,92.9,,,,,,,,
25,Dallas,11,5184,Perry,30,63,93,67.7,,26,85,111,76.6,,32,90,122,73.8,,29,92,121,76.0,,26,69,95,72.6,,43,81,124,65.3,,35,126,161,78.3,,18,96,114,84.2,,,,,,,,
82,Scott,09,5250,Pleasant Valley,24,287,311,92.3,,18,295,313,94.2,,31,320,351,91.2,,22,333,355,93.8,,21,320,341,93.8,,27,318,345,92.2,,14,304,318,95.6,,16,303,319,95.0,,,,,,,,
63,Marion,11,5256,Pleasantville,1,34,35,97.1,,6,40,46,87.0,,6,47,53,88.7,,6,50,56,89.3,,6,40,46,87.0,,12,41,53,77.4,,13,47,60,78.3,,8,48,56,85.7,,,,,,,,
76,Pocahontas,05,5283,Pocahontas Area,3,19,22,86.4,,6,28,34,82.4,,7,35,42,83.3,,6,33,39,84.6,,10,44,54,81.5,,10,46,56,82.1,,6,43,49,87.8,,8,43,51,84.3,,,,,,,,
03,Allamakee,01,5310,Postville,20,36,56,64.3,,21,24,45,53.3,,33,27,60,45.0,,25,29,54,53.7,,21,19,40,47.5,,29,23,52,44.2,,11,31,42,73.8,,15,20,35,57.1,,,,,,,,
94,Webster,05,5325,Prairie Valley,11,34,45,75.6,,7,36,43,83.7,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,14,62,76,81.6,,9,77,86,89.5,,,,,,,,
69,Montgomery,13,5463,Red Oak,18,49,67,73.1,,8,56,64,87.5,,27,62,89,69.7,,13,59,72,81.9,,14,56,70,80.0,,25,56,81,69.1,,18,57,75,76,,23,53,76,69.7,,,,,,,,
75,Plymouth,12,5486,Remsen-Union,0,22,22,100.0,,4,15,19,78.9,,9,39,48,81.3,,9,39,48,81.3,,2,48,50,96.0,,10,27,37,73.0,,0,0,0,,,0,0,0,,,,,,,,,
45,Howard,01,5508,Riceville,8,14,22,63.6,,2,22,24,91.7,,8,19,27,70.4,,4,18,22,81.8,,6,12,18,66.7,,4,19,23,82.6,,8,15,23,65.2,,3,16,19,84.2,,,,,,,,
78,Pottawattamie,13,5510,Riverside,3,45,48,93.8,,7,43,50,86.0,,10,32,42,76.2,,15,31,46,67.4,,5,43,48,89.6,,10,17,27,63.0,,5,36,41,87.8,,6,27,33,81.8,,,,,,,,
84,Sioux,12,5607,Rock Valley,8,44,52,84.6,,7,49,56,87.5,,11,54,65,83.1,,17,52,69,75.4,,11,51,62,82.3,,12,40,52,76.9,,15,41,56,73.2,,9,44,53,83.0,,,,,,,,
85,Story,11,5643,Roland-Story,10,63,73,86.3,,12,52,64,81.3,,21,58,79,73.4,,12,73,85,85.9,,10,63,73,86.3,,12,54,66,81.8,,3,67,70,95.7,,8,84,92,91.3,,,,,,,,
34,Floyd,07,5697,Rudd-Rockford-Marble Rk,3,13,16,81.3,,6,22,28,78.6,,6,30,36,83.3,,3,22,25,88.0,,3,22,25,88.0,,7,25,32,78.1,,3,25,28,89.3,,3,37,40,92.5,,,,,,,,
74,Palo Alto,05,5724,Ruthven-Ayrshire,2,9,11,81.8,,2,11,13,84.6,,4,8,12,66.7,,3,10,13,76.9,,3,10,13,76.9,,small N,small N,small N,small N,,3,10,13,76.9,,3,14,17,82.4,,,,,,,,
66,Mitchell,07,5751,St Ansgar,4,25,29,86.2,,1,39,40,97.5,,9,25,34,73.5,,9,32,41,78.0,,3,37,40,92.5,,3,34,37,91.9,,3,37,40,92.5,,3,44,47,93.6,,,,,,,,
77,Polk,11,5805,Saydel,42,44,86,51.2,,24,69,93,74.2,,27,59,86,68.6,,24,52,76,68.4,,25,75,100,75.0,,38,53,91,58.2,,23,72,95,75.8,,28,57,85,67.1,,,,,,,,
81,Sac,05,5823,Schaller-Crestland,3,13,16,81.3,,7,22,29,75.9,,7,16,23,69.6,,22,44,66,66.7,,7,42,49,85.7,,11,44,55,80.0,,0,0,0,,,0,0,0,,,,,,,,,
24,Crawford,12,5832,Schleswig,4,16,20,80.0,,2,26,28,92.9,,0,18,18,100.0,,5,10,15,66.7,,2,15,17,88.2,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,,,,,,,
97,Woodbury,12,5877,Sergeant Bluff-Luton,13,75,88,85.2,,23,90,113,79.6,,26,109,135,80.7,,26,80,106,75.5,,13,111,124,89.5,,17,96,113,85.0,,9,114,123,92.7,,6,102,108,94.4,,,,,,,,
93,Wayne,15,5895,Seymour,4,10,14,71.4,,6,15,21,71.4,,4,10,14,71.4,,8,9,17,52.9,,8,15,23,65.2,,0,18,18,100.0,,2,18,20,90,,2,14,16,87.5,,,,,,,,
17,Cerro Gordo,07,5922,West Fork CSD,3,37,40,92.5,,7,35,42,83.3,,15,37,52,71.2,,8,33,41,80.5,,10,32,42,76.2,,16,32,48,66.7,,10,30,40,75,,11,36,47,76.6,,,,,,,,
71,O'Brien,12,5949,Sheldon,7,58,65,89.2,,6,63,69,91.3,,14,56,70,80.0,,8,60,68,88.2,,8,65,73,89.0,,7,67,74,90.5,,9,51,60,85,,12,78,90,86.7,,,,,,,,
73,Page,13,5976,Shenandoah,14,56,70,80.0,,12,64,76,84.2,,12,61,73,83.6,,16,64,80,80.0,,9,51,60,85.0,,25,52,77,67.5,,8,62,70,88.6,,7,61,68,89.7,,,,,,,,
72,Osceola,12,5994,Sibley-Ocheyedan,3,40,43,93.0,,7,53,60,88.3,,9,40,49,81.6,,10,51,61,83.6,,6,58,64,90.6,,9,47,56,83.9,,4,38,42,90.5,,4,47,51,92.2,,,,,,,,
36,Fremont,13,6003,Sidney,12,21,33,63.6,,5,18,23,78.3,,4,17,21,81.0,,5,24,29,82.8,,2,28,30,93.3,,0,26,26,100.0,,7,40,47,85.1,,7,42,49,85.7,,,,,,,,
54,Keokuk,15,6012,Sigourney,3,32,35,91.4,,1,27,28,96.4,,8,28,36,77.8,,2,26,28,92.9,,6,39,45,86.7,,8,33,41,80.5,,7,32,39,82.1,,6,33,39,84.6,,,,,,,,
84,Sioux,12,6030,Sioux Center,15,81,96,84.4,,14,82,96,85.4,,18,70,88,79.5,,38,70,108,64.8,,19,79,98,80.6,,19,60,79,75.9,,12,70,82,85.4,,8,74,82,90.2,,,,,,,,
11,Buena Vista,05,6035,Sioux Central,4,19,23,82.6,,10,36,46,78.3,,5,27,32,84.4,,6,36,42,85.7,,8,55,63,87.3,,14,31,45,68.9,,9,36,45,80,,3,33,36,91.7,,,,,,,,
97,Woodbury,12,6039,Sioux City,282,653,935,69.8,,282,661,943,70.1,,304,647,951,68.0,,355,615,970,63.4,,216,670,886,75.6,,274,649,923,70.3,,220,632,852,74.2,,210,578,788,73.4,,,,,,,,
13,Calhoun,05,6091,South Central Calhoun,3,60,63,95.2,,7,43,50,86.0,,7,46,53,86.8,,24,41,65,63.1,,10,53,63,84.1,,13,41,54,75.9,,6,61,67,91,,6,56,62,90.3,,,,,,,,
52,Johnson,10,6093,Solon,9,95,104,91.3,,15,105,120,87.5,,16,77,93,82.8,,24,113,137,82.5,,8,89,97,91.8,,23,100,123,81.3,,5,98,103,95.1,,13,104,117,88.9,,,,,,,,
91,Warren,11,6094,Southeast Warren,17,14,31,45.2,,7,31,38,81.6,,15,30,45,66.7,,5,18,23,78.3,,1,35,36,97.2,,6,28,34,82.4,,5,26,31,83.9,,3,29,32,90.6,,,,,,,,
40,Hamilton,05,6095,South Hamilton,5,34,39,87.2,,5,43,48,89.6,,10,30,40,75.0,,10,44,54,81.5,,4,41,45,91.1,,12,41,53,77.4,,7,53,60,88.3,,5,49,54,90.7,,,,,,,,
94,Webster,05,6096,Southeast Webster Grand,11,27,38,71.1,,0,28,28,100.0,,25,56,81,69.1,,16,59,75,78.7,,8,56,64,87.5,,24,63,87,72.4,,0,0,0,,,0,0,0,,,,,,,,,
73,Page,13,6097,South Page,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,4,6,10,60.0,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,,,,,,
86,Tama,07,6098,South Tama County,22,75,97,77.3,,34,63,97,64.9,,30,65,95,68.4,,33,72,105,68.6,,22,69,91,75.8,,35,70,105,66.7,,25,73,98,74.5,,26,77,103,74.8,,,,,,,,
71,O'Brien,12,6099,South O'Brien,12,21,33,63.6,,9,29,38,76.3,,10,30,40,75.0,,7,31,38,81.6,,4,36,40,90.0,,7,28,35,80.0,,1,44,45,97.8,,0,33,33,100.0,,,,,,,,
96,Winneshiek,01,6100,South Winneshiek,4,16,20,80.0,,5,23,28,82.1,,5,25,30,83.3,,2,25,27,92.6,,4,30,34,88.2,,4,30,34,88.2,,1,39,40,97.5,,3,46,49,93.9,,,,,,,,
77,Polk,11,6101,Southeast Polk,71,333,404,82.4,,77,419,496,84.5,,98,411,509,80.7,,78,448,526,85.2,,75,461,536,86.0,,85,364,449,81.1,,99,369,468,78.8,,83,378,461,82.0,,,,,,,,
21,Clay,05,6102,Spencer,16,115,131,87.8,,25,103,128,80.5,,21,118,139,84.9,,34,109,143,76.2,,19,121,140,86.4,,18,152,170,89.4,,25,107,132,81.1,,28,102,130,78.5,,,,,,,,
30,Dickinson,05,6120,Spirit Lake,20,57,77,74.0,,22,54,76,71.1,,16,68,84,81.0,,13,59,72,81.9,,6,100,106,94.3,,5,63,68,92.6,,7,76,83,91.6,,8,92,100,92.0,,,,,,,,
57,Linn,10,6138,Springville,8,18,26,69.2,,3,18,21,85.7,,6,18,24,75.0,,3,21,24,87.5,,3,22,25,88.0,,10,20,30,66.7,,7,15,22,68.2,,2,22,24,91.7,,,,,,,,
69,Montgomery,13,6165,Stanton,small N,small N,small N,small N,,2,12,14,85.7,,3,19,22,86.4,,2,11,13,84.6,,3,14,17,82.4,,2,14,16,87.5,,2,14,16,87.5,,3,15,18,83.3,,,,,,,,
33,Fayette,01,6175,Starmont,4,36,40,90.0,,7,31,38,81.6,,10,32,42,76.2,,14,29,43,67.4,,11,28,39,71.8,,15,37,52,71.2,,6,35,41,85.4,,1,28,29,96.6,,,,,,,,
11,Buena Vista,05,6219,Storm Lake,39,113,152,74.3,,43,124,167,74.3,,44,82,126,65.1,,52,93,145,64.1,,53,113,166,68.1,,64,93,157,59.2,,46,96,142,67.6,,51,111,162,68.5,,,,,,,,
40,Hamilton,05,6246,Stratford,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,3,10,13,76.9,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
39,Guthrie,11,6264,West Central Valley,4,44,48,91.7,,7,45,52,86.5,,5,51,56,91.1,,8,51,59,86.4,,7,50,57,87.7,,8,45,53,84.9,,11,44,55,80,,12,40,52,76.9,,,,,,,,
09,Bremer,07,6273,Sumner-Fredericksburg,6,35,41,85.4,,13,56,69,81.2,,8,69,77,89.6,,13,50,63,79.4,,9,49,58,84.5,,11,45,56,80.4,,10,40,50,80,,9,63,72,87.5,,,,,,,,
16,Cedar,10,6408,Tipton,14,51,65,78.5,,7,58,65,89.2,,18,55,73,75.3,,17,53,70,75.7,,10,59,69,85.5,,17,63,80,78.8,,13,62,75,82.7,,11,49,60,81.7,,,,,,,,
78,Pottawattamie,13,6453,Treynor,4,55,59,93.2,,4,50,54,92.6,,3,55,58,94.8,,3,63,66,95.5,,6,64,70,91.4,,8,52,60,86.7,,3,51,54,94.4,,7,46,53,86.8,,,,,,,,
78,Pottawattamie,13,6460,Tri-Center,5,41,46,89.1,,9,40,49,81.6,,16,32,48,66.7,,5,29,34,85.3,,10,33,43,76.7,,12,32,44,72.7,,7,38,45,84.4,,6,45,51,88.2,,,,,,,,
54,Keokuk,15,6462,Tri-County,7,8,15,53.3,,5,12,17,70.6,,2,11,13,84.6,,8,6,14,42.9,,7,20,27,74.1,,8,6,14,42.9,,3,10,13,76.9,,1,12,13,92.3,,,,,,,,
09,Bremer,07,6471,Tripoli,10,20,30,66.7,,8,22,30,73.3,,5,18,23,78.3,,4,20,24,83.3,,6,31,37,83.8,,6,15,21,71.4,,4,31,35,88.6,,6,21,27,77.8,,,,,,,,
