,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,
Co,County Name,AEA,Dist,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient
85,Story,11,472,Ballard,31,75,106,70.8,,20,76,96,79.2,,32,103,135,76.3,,20,105,125,84,,10,104,114,91.2,,30,98,128,76.6,,18,89,107,83.2,,15,111,126,88.1
47,Ida,12,504,Battle Creek-Ida Grove,,38,38,100,,8,38,46,82.6,,11,32,43,74.4,,,,,,,,,,,,,,,,,3,48,51,94.1,,9,63,72,87.5
50,Jasper,11,513,Baxter,8,25,33,75.8,,4,19,23,82.6,,5,22,27,81.5,,7,22,29,75.9,,5,27,32,84.4,,4,28,32,87.5,,3,28,31,90.3,,3,24,27,88.9
38,Grundy,7,540,BCLUW,6,27,33,81.8,,4,40,44,90.9,,5,30,35,85.7,,3,35,38,92.1,,5,39,44,88.6,,3,39,42,92.9,,7,39,46,84.8,,5,32,37,86.5
87,Taylor,13,549,Bedford,2,24,26,92.3,,3,25,28,89.3,,3,27,30,90,,7,23,30,76.7,,2,27,29,93.1,,4,26,30,86.7,,3,35,38,92.1,,3,29,32,90.6
6,Benton,10,576,Belle Plaine,17,26,43,60.5,,16,33,49,67.3,,17,19,36,52.8,,14,28,42,66.7,,8,40,48,83.3,,9,28,37,75.7,,7,28,35,80,,6,23,29,79.3
49,Jackson,9,585,Bellevue,1,34,35,97.1,,3,32,35,91.4,,3,36,39,92.3,,8,47,55,85.5,,4,45,49,91.8,,8,28,36,77.8,,5,45,50,90,,8,52,60,86.7
99,Wright,7,594,Belmond-Klemme,12,37,49,75.5,,5,58,63,92.1,,8,45,53,84.9,,3,35,38,92.1,,1,36,37,97.3,,12,40,52,76.9,,3,34,37,91.9,,4,37,41,90.2
16,Cedar,9,603,Bennett,small N,small N,small N,small N,,3,9,12,75,,1,9,10,90,,small N,small N,small N,small N,,,,,,,,,,,,,,,,,,,,
6,Benton,10,609,Benton,12,76,88,86.4,,17,88,105,83.8,,18,96,114,84.2,,9,83,92,90.2,,10,87,97,89.7,,25,78,103,75.7,,25,76,101,75.2,,7,104,111,93.7
82,Scott,9,621,Bettendorf,59,180,239,75.3,,26,276,302,91.4,,53,247,300,82.3,,48,261,309,84.5,,56,261,317,82.3,,65,236,301,78.4,,48,310,358,86.6,,43,269,312,86.2
