,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
99,Wright,07,0594,Belmond-Klemme,11,23,34,67.6,,16,38,54,70.4,,10,54,64,84.4,,7,43,50,86,,5,36,41,87.8,,7,31,38,81.6,,7,32,39,82.1,,,
16,Cedar,09,0603,Bennett,small N,small N,small N,small N,,small N,small N,small N,small N,,3,9,12,75,,1,11,12,91.7,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton,15,75,90,83.3,,14,78,92,84.8,,22,89,111,80.2,,4,108,112,96.4,,11,78,89,87.6,,21,79,100,79,,13,85,98,86.7,,,
82,Scott,09,0621,Bettendorf,16,259,275,94.2,,33,241,274,88,,29,268,297,90.2,,42,252,294,85.7,,40,282,322,87.6,,69,266,335,79.4,,36,305,341,89.4,,,
90,Wapello,15,0657,Eddyville-Blakesburg-,17,53,70,75.7,,9,44,53,83,,15,53,68,77.9,,20,49,69,71,,9,59,68,86.8,,16,62,78,79.5,,7,40,47,85.1,,,
77,Polk,11,0720,Bondurant-Farrar,21,128,149,85.9,,24,116,140,82.9,,14,101,115,87.8,,19,109,128,85.2,,5,115,120,95.8,,26,91,117,77.8,,19,86,105,81.9,,,
08,Boone,11,0729,Boone,23,107,130,82.3,,7,101,108,93.5,,25,87,112,77.7,,30,95,125,76,,36,105,141,74.5,,33,103,136,75.7,,14,142,156,91,,,
84,Sioux,12,0747,Boyden-Hull,1,46,47,97.9,,4,41,45,91.1,,8,41,49,83.7,,4,45,49,91.8,,3,45,48,93.8,,7,37,44,84.1,,5,40,45,88.9,,,
41,Hancock,07,0819,West Hancock,4,42,46,91.3,,4,41,45,91.1,,12,33,45,73.3,,2,40,42,95.2,,4,35,39,89.7,,5,31,36,86.1,,5,39,44,88.6,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom,3,31,34,91.2,,3,36,39,92.3,,4,30,34,88.2,,0,28,28,100,,4,35,39,89.7,,5,39,44,88.6,,6,47,53,88.7,,,
95,Winnebago,07,0873,North Iowa,2,25,27,92.6,,6,17,23,73.9,,6,25,31,80.6,,5,15,20,75,,7,30,37,81.1,,12,20,32,62.5,,6,24,30,80,,,
29,Des Moines,15,0882,Burlington,75,211,286,73.8,,65,185,250,74,,88,190,278,68.3,,92,184,276,66.7,,90,191,281,68,,107,127,234,54.3,,65,166,231,71.9,,,
15,Cass,13,0914,CAM,5,28,33,84.8,,8,31,39,79.5,,7,33,40,82.5,,8,34,42,81,,6,40,46,87,,14,32,46,69.6,,6,50,56,89.3,,,
35,Franklin,07,0916,CAL,7,10,17,58.8,,6,13,19,68.4,,3,13,16,81.3,,7,10,17,58.8,,5,11,16,68.8,,5,8,13,61.5,,1,11,12,91.7,,,
23,Clinton,09,0918,Calamus-Wheatland,3,27,30,90,,3,27,30,90,,4,22,26,84.6,,10,25,35,71.4,,2,32,34,94.1,,5,41,46,89.1,,4,33,37,89.2,,,
23,Clinton,09,0936,Camanche,10,56,66,84.8,,11,68,79,86.1,,13,57,70,81.4,,20,56,76,73.7,,12,62,74,83.8,,7,56,63,88.9,,8,72,80,90,,,
90,Wapello,15,0977,Cardinal,13,31,44,70.5,,15,23,38,60.5,,13,27,40,67.5,,14,19,33,57.6,,18,21,39,53.8,,18,26,44,59.1,,4,36,40,90,,,
91,Warren,11,0981,Carlisle,22,103,125,82.4,,17,120,137,87.6,,6,119,125,95.2,,15,120,135,88.9,,13,122,135,90.4,,22,143,165,86.7,,20,131,151,86.8,,,
14,Carroll,11,0999,Carroll,19,113,132,85.6,,11,103,114,90.4,,23,91,114,79.8,,15,90,105,85.7,,9,91,100,91,,11,79,90,87.8,,1,107,108,99.1,,,
07,Black Hawk,07,1044,Cedar Falls,35,339,374,90.6,,26,322,348,92.5,,81,322,403,79.9,,35,300,335,89.6,,23,319,342,93.3,,49,311,360,86.4,,29,343,372,92.2,,,
57,Linn,10,1053,Cedar Rapids,251,763,1014,75.2,,216,811,1027,79,,274,779,1053,74,,288,781,1069,73.1,,254,827,1081,76.5,,337,750,1087,69,,187,816,1003,81.4,,,
57,Linn,10,1062,Center Point-Urbana,12,91,103,88.3,,17,87,104,83.7,,7,102,109,93.6,,10,101,111,91,,10,112,122,91.8,,2,95,97,97.9,,7,96,103,93.2,,,
04,Appanoose,15,1071,Centerville,15,70,85,82.4,,14,70,84,83.3,,14,72,86,83.7,,18,81,99,81.8,,17,92,109,84.4,,27,55,82,67.1,,11,77,88,87.5,,,
56,Lee,15,1079,Central Lee,16,46,62,74.2,,11,62,73,84.9,,12,63,75,84,,3,63,66,95.5,,7,58,65,89.2,,17,63,80,78.8,,19,59,78,75.6,,,
22,Clayton,01,1080,Central,9,28,37,75.7,,7,25,32,78.1,,5,24,29,82.8,,2,28,30,93.3,,2,29,31,93.5,,8,22,30,73.3,,5,31,36,86.1,,,
23,Clinton,09,1082,Central DeWitt,17,72,89,80.9,,10,85,95,89.5,,16,82,98,83.7,,3,76,79,96.2,,9,96,105,91.4,,17,84,101,83.2,,14,109,123,88.6,,,
57,Linn,10,1089,Central City,3,23,26,88.5,,7,23,30,76.7,,8,25,33,75.8,,7,22,29,75.9,,6,23,29,79.3,,9,27,36,75,,6,30,36,83.3,,,
27,Decatur,13,1093,Central Decatur,17,28,45,62.2,,18,39,57,68.4,,15,42,57,73.7,,19,22,41,53.7,,5,28,33,84.8,,19,26,45,57.8,,8,35,43,81.4,,,
60,Lyon,12,1095,Central Lyon,5,49,54,90.7,,12,44,56,78.6,,7,36,43,83.7,,8,43,51,84.3,,4,45,49,91.8,,5,37,42,88.1,,0,38,38,100,,,
59,Lucas,15,1107,Chariton,27,58,85,68.2,,15,60,75,80,,27,56,83,67.5,,24,58,82,70.7,,28,72,100,72,,27,68,95,71.6,,13,87,100,87,,,
34,Floyd,07,1116,Charles City,29,66,95,69.5,,38,66,104,63.5,,31,59,90,65.6,,23,75,98,76.5,,21,77,98,78.6,,27,88,115,76.5,,7,99,106,93.4,,,
24,Crawford,12,1134,Charter Oak-Ute,2,18,20,90,,2,11,13,84.6,,9,10,19,52.6,,5,14,19,73.7,,6,15,21,71.4,,6,8,14,57.1,,5,15,20,75,,,
18,Cherokee,12,1152,Cherokee,15,59,74,79.7,,17,61,78,78.2,,15,49,64,76.6,,15,55,70,78.6,,11,50,61,82,,5,63,68,92.6,,7,62,69,89.9,,,
73,Page,13,1197,Clarinda,13,55,68,80.9,,16,54,70,77.1,,14,48,62,77.4,,15,43,58,74.1,,4,50,54,92.6,,12,55,67,82.1,,17,57,74,77,,,
99,Wright,05,1206,Clarion-Goldfield-Dows,15,43,58,74.1,,13,41,54,75.9,,15,42,57,73.7,,15,50,65,76.9,,7,45,52,86.5,,10,59,69,85.5,,4,49,53,92.5,,,
20,Clarke,13,1211,Clarke,16,87,103,84.5,,25,70,95,73.7,,22,61,83,73.5,,21,65,86,75.6,,12,69,81,85.2,,21,64,85,75.3,,22,65,87,74.7,,,
12,Butler,07,1215,Clarksville,5,21,26,80.8,,2,14,16,87.5,,6,15,21,71.4,,8,12,20,60,,5,18,23,78.3,,3,17,20,85,,2,24,26,92.3,,,
21,Clay,05,1218,Clay Central-Everly,2,15,17,88.2,,2,17,19,89.5,,3,21,24,87.5,,1,21,22,95.5,,2,15,17,88.2,,4,22,26,84.6,,1,19,20,95,,,
52,Johnson,10,1221,Clear Creek Amana,22,127,149,85.2,,22,118,140,84.3,,28,112,140,80,,21,124,145,85.5,,18,100,118,84.7,,16,108,124,87.1,,17,107,124,86.3,,,
17,Cerro Gordo,07,1233,Clear Lake,8,73,81,90.1,,11,75,86,87.2,,13,74,87,85.1,,9,81,90,90,,2,83,85,97.6,,16,68,84,81,,22,70,92,76.1,,,
23,Clinton,09,1278,Clinton,28,219,247,88.7,,23,203,226,89.8,,27,178,205,86.8,,42,196,238,82.4,,37,192,229,83.8,,78,150,228,65.8,,small N,small N,small N,small N,,,
50,Jasper,11,1332,Colfax-Mingo,10,37,47,78.7,,9,29,38,76.3,,14,34,48,70.8,,3,40,43,93,,8,53,61,86.9,,10,39,49,79.6,,8,30,38,78.9,,,
57,Linn,10,1337,College,87,287,374,76.7,,74,300,374,80.2,,92,275,367,74.9,,75,298,373,79.9,,39,330,369,89.4,,80,273,353,77.3,,46,259,305,84.9,,,
85,Story,11,1350,Collins-Maxwell,12,27,39,69.2,,7,17,24,70.8,,6,26,32,81.3,,5,18,23,78.3,,12,25,37,67.6,,7,26,33,78.8,,7,16,23,69.6,,,
85,Story,11,1359,Colo-NESCO School,2,26,28,92.9,,4,24,28,85.7,,8,32,40,80,,7,26,33,78.8,,3,30,33,90.9,,8,24,32,75,,4,23,27,85.2,,,
58,Louisa,09,1368,Columbus,17,26,43,60.5,,20,22,42,52.4,,24,23,47,48.9,,20,32,52,61.5,,15,35,50,70,,21,28,49,57.1,,24,29,53,54.7,,,
14,Carroll,11,1413,Coon Rapids-Bayard,2,16,18,88.9,,4,15,19,78.9,,6,21,27,77.8,,8,16,24,66.7,,1,23,24,95.8,,8,16,24,66.7,,7,22,29,75.9,,,
