,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
91,Warren,11,6094,Southeast Warren,8,18,26,69.2,,4,33,37,89.2,,5,22,27,81.5,,7,28,35,80,,10,16,26,61.5,,3,30,33,90.9,,2,22,24,91.7,,,
40,Hamilton,05,6095,South Hamilton,3,41,44,93.2,,4,32,36,88.9,,7,45,52,86.5,,10,40,50,80,,9,40,49,81.6,,6,51,57,89.5,,4,41,45,91.1,,,
94,Webster,05,6096,Southeast Webster Grand,5,32,37,86.5,,2,34,36,94.4,,21,57,78,73.1,,6,27,33,81.8,,3,30,33,90.9,,15,30,45,66.7,,0,0,0,,,,
73,Page,13,6097,South Page,2,9,11,81.8,,small N,small N,small N,small N,,small N,small N,small N,small N,,6,5,11,45.5,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
86,Tama,07,6098,South Tama County,27,75,102,73.5,,30,60,90,66.7,,37,58,95,61.1,,30,71,101,70.3,,26,56,82,68.3,,21,76,97,78.4,,21,65,86,75.6,,,
71,O'Brien,12,6099,South O'Brien,9,31,40,77.5,,5,35,40,87.5,,10,26,36,72.2,,10,26,36,72.2,,5,36,41,87.8,,9,23,32,71.9,,5,36,41,87.8,,,
96,Winneshiek,01,6100,South Winneshiek,7,22,29,75.9,,6,26,32,81.3,,7,24,31,77.4,,5,19,24,79.2,,9,20,29,69,,7,22,29,75.9,,10,46,56,82.1,,,
77,Polk,11,6101,Southeast Polk,89,395,484,81.6,,79,413,492,83.9,,56,363,419,86.6,,92,386,478,80.8,,112,342,454,75.3,,107,372,479,77.7,,91,398,489,81.4,,,
21,Clay,05,6102,Spencer,31,111,142,78.2,,23,112,135,83,,22,111,133,83.5,,36,93,129,72.1,,20,89,109,81.7,,34,110,144,76.4,,21,113,134,84.3,,,
30,Dickinson,05,6120,Spirit Lake,6,58,64,90.6,,14,85,99,85.9,,14,44,58,75.9,,16,46,62,74.2,,13,62,75,82.7,,12,80,92,87,,16,76,92,82.6,,,
