,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR,7,38,45,84.4,,7,31,38,81.6,,10,31,41,75.6,,9,27,36,75.0,,2,31,33,93.9,,1,27,28,96.4,,2,36,38,94.7,,,
39,Guthrie,11,0018,Adair-Casey,1,15,16,93.8,,0,16,16,100.0,,4,22,26,84.6,,2,26,28,92.9,,1,17,18,94.4,,4,17,21,81.0,,1,12,13,92.3,,,
25,Dallas,11,0027,Adel DeSoto Minburn,30,102,132,77.3,,11,114,125,91.2,,24,92,116,79.3,,17,80,97,82.5,,9,111,120,92.5,,9,103,112,92.0,,9,101,110,91.8,,,
75,Plymouth,12,0063,Akron Westfield,9,44,53,83.0,,5,36,41,87.8,,11,27,38,71.1,,6,30,36,83.3,,2,32,34,94.1,,8,34,42,81.0,,6,41,47,87.2,,,
11,Buena Vista,05,0072,Albert City-Truesdale,2,14,16,87.5,,small N,small N,small N,small N,,2,12,14,85.7,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia,13,67,80,83.8,,18,60,78,76.9,,19,62,81,76.5,,18,68,86,79.1,,15,70,85,82.4,,23,54,77,70.1,,12,64,76,84.2,,,
57,Linn,10,0099,Alburnett,6,42,48,87.5,,8,38,46,82.6,,6,33,39,84.6,,11,31,42,73.8,,10,36,46,78.3,,10,33,43,76.7,,5,31,36,86.1,,,
42,Hardin,07,0108,Alden,2,12,14,85.7,,6,22,28,78.6,,4,15,19,78.9,,22,65,87,74.7,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona,15,89,104,85.6,,19,79,98,80.6,,23,58,81,71.6,,23,64,87,73.6,,8,85,93,91.4,,14,83,97,85.6,,10,73,83,88.0,,,
03,Allamakee,01,0135,Allamakee,9,67,76,88.2,,7,66,73,90.4,,6,62,68,91.2,,17,49,66,74.2,,13,83,96,86.5,,15,66,81,81.5,,14,87,101,86.1,,,
12,Butler,07,0153,North Butler,2,45,47,95.7,,6,38,44,86.4,,14,39,53,73.6,,2,45,47,95.7,,2,34,36,94.4,,4,30,34,88.2,,3,33,36,91.7,,,
11,Buena Vista,05,0171,Alta,14,32,46,69.6,,11,27,38,71.1,,9,27,36,75.0,,0,0,0,,,0,0,0,,,0,0,0,,,7,32,39,82.1,,,
85,Story,11,0225,Ames,15,260,275,94.5,,23,233,256,91.0,,30,223,253,88.1,,39,254,293,86.7,,20,241,261,92.3,,48,236,284,83.1,,13,257,270,95.2,,,
53,Jones,10,0234,Anamosa,28,47,75,62.7,,13,62,75,82.7,,14,59,73,80.8,,13,69,82,84.1,,11,86,97,88.7,,19,81,100,81.0,,16,62,78,79.5,,,
49,Jackson,09,0243,Andrew,2,9,11,81.8,,4,11,15,73.3,,small N,small N,small N,small N,,6,10,16,62.5,,7,9,16,56.3,,6,11,17,64.7,,0,0,0,,,,
77,Polk,11,0261,Ankeny,56,739,795,93.0,,54,744,798,93.2,,87,698,785,88.9,,91,686,777,88.3,,50,702,752,93.4,,63,689,752,91.6,,40,604,644,93.8,,,
12,Butler,07,0279,Aplington-Parkersburg,10,52,62,83.9,,7,44,51,86.3,,8,52,60,86.7,,6,47,53,88.7,,3,47,50,94.0,,19,45,64,70.3,,15,49,64,76.6,,,
