County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
12,Butler,07,0153,North Butler Comm School District,11,22,33,66.7,,11,34,45,75.6,,11,43,54,79.6,,19,32,51,62.7,,16,24,40,60.0,,22,21,43,48.8,,12,23,35,65.7,,6,23,29,79.3,,,
11,Buena Vista,05,0171,Alta-Aurelia Comm School District,23,42,65,64.6,,17,34,51,66.7,,12,40,52,76.9,,20,34,54,63.0,,15,35,50,70.0,,24,33,57,57.9,,18,33,51,64.7,,21,32,53,60.4,,,
85,Story,11,0225,Ames Comm School District,107,225,332,67.8,,97,253,350,72.3,,92,245,337,72.7,,100,256,356,71.9,,84,234,318,73.6,,73,240,313,76.7,,46,255,301,84.7,,44,251,295,85.1,,,
53,Jones,10,0234,Anamosa Comm School District,47,30,77,39.0,,27,52,79,65.8,,42,51,93,54.8,,20,73,93,78.5,,42,72,114,63.2,,44,55,99,55.6,,17,75,92,81.5,,20,78,98,79.6,,,
49,Jackson,09,0243,Andrew Comm School District,1,10,11,90.9,,2,11,13,84.6,,0,17,17,100.0,,small N,small N,small N,small N,,6,6,12,50.0,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,,
77,Polk,11,0261,Ankeny Comm School District,206,701,907,77.3,,135,767,902,85.0,,147,824,971,84.9,,156,739,895,82.6,,116,777,893,87.0,,199,694,893,77.7,,111,708,819,86.4,,114,674,788,85.5,,,
12,Butler,07,0279,Aplington-Parkersburg Comm School District,12,32,44,72.7,,19,41,60,68.3,,14,52,66,78.8,,17,44,61,72.1,,7,47,54,87.0,,16,50,66,75.8,,11,44,55,80.0,,15,50,65,76.9,,,
32,Emmet,05,0333,North Union Comm School District,3,16,19,84.2,,7,20,27,74.1,,5,21,26,80.8,,0,0,0,,,0,0,0,,,0,0,0,,,13,37,50,74.0,,9,39,48,81.3,,,
24,Crawford,12,0355,Ar-We-Va Comm School District,14,3,17,17.6,,2,11,13,84.6,,2,16,18,88.9,,9,10,19,52.6,,2,9,11,81.8,,1,12,13,92.3,,4,12,16,75.0,,4,13,17,76.5,,,
15,Cass,13,0387,Atlantic Comm School District,33,67,100,67.0,,30,67,97,69.1,,32,81,113,71.7,,67,51,118,43.2,,26,70,96,72.9,,33,82,115,71.3,,27,77,104,74.0,,20,68,88,77.3,,,
05,Audubon,11,0414,Audubon Comm School District,9,28,37,75.7,,17,27,44,61.4,,6,34,40,85.0,,9,29,38,76.3,,5,30,35,85.7,,12,22,34,64.7,,19,22,41,53.7,,12,26,38,68.4,,,
78,Pottawattamie,13,0441,AHSTW Comm School District,14,33,47,70.2,,19,30,49,61.2,,11,39,50,78.0,,17,35,52,67.3,,15,36,51,70.6,,9,34,43,79.1,,9,44,53,83.0,,8,49,57,86.0,,,
85,Story,11,0472,Ballard Comm School District,21,98,119,82.4,,17,132,149,88.6,,17,101,118,85.6,,16,117,133,88.0,,16,92,108,85.2,,20,94,114,82.5,,23,118,141,83.7,,16,117,133,88.0,,,
50,Jasper,11,0513,Baxter Comm School District,12,25,37,67.6,,3,16,19,84.2,,9,21,30,70.0,,8,25,33,75.8,,2,32,34,94.1,,7,33,40,82.5,,2,23,25,92.0,,2,29,31,93.5,,,
38,Grundy,07,0540,BCLUW Comm School District,15,25,40,62.5,,9,29,38,76.3,,13,31,44,70.5,,14,32,46,69.6,,4,38,42,90.5,,14,24,38,63.2,,15,29,44,65.9,,11,24,35,68.6,,,
87,Taylor,13,0549,Bedford Comm School District,5,25,30,83.3,,3,24,27,88.9,,5,33,38,86.8,,12,17,29,58.6,,5,35,40,87.5,,7,24,31,77.4,,1,27,28,96.4,,4,30,34,88.2,,,
06,Benton,10,0576,Belle Plaine Comm School District,9,22,31,71.0,,5,26,31,83.9,,5,20,25,80.0,,5,27,32,84.4,,4,20,24,83.3,,20,22,42,52.4,,10,29,39,74.4,,10,27,37,73.0,,,
49,Jackson,09,0585,Bellevue Comm School District,19,24,43,55.8,,9,32,41,78.0,,7,39,46,84.8,,13,32,45,71.1,,19,36,55,65.5,,12,38,50,76.0,,17,40,57,70.2,,19,45,64,70.3,,,
99,Wright,07,0594,Belmond-Klemme Comm School District,24,30,54,55.6,,10,35,45,77.8,,17,52,69,75.4,,28,31,59,52.5,,27,22,49,44.9,,26,37,63,58.7,,13,45,58,77.6,,19,26,45,57.8,,,
16,Cedar,09,0603,Bennett Comm School District,small N,small N,small N,small N,,5,10,15,66.7,,4,8,12,66.7,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton Comm School District,26,72,98,73.5,,26,83,109,76.1,,19,84,103,81.6,,30,78,108,72.2,,40,76,116,65.5,,25,78,103,75.7,,14,110,124,88.7,,24,74,98,75.5,,,
82,Scott,09,0621,Bettendorf Comm School District,87,250,337,74.2,,61,287,348,82.5,,89,254,343,74.1,,81,267,348,76.7,,80,278,358,77.7,,79,294,373,78.8,,95,278,373,74.5,,73,295,368,80.2,,,
90,Wapello,15,0657,Eddyville-Blakesburg- Fremont CSD,22,48,70,68.6,,31,41,72,56.9,,35,32,67,47.8,,22,44,66,66.7,,32,43,75,57.3,,27,35,62,56.5,,24,57,81,70.4,,27,40,67,59.7,,,
77,Polk,11,0720,Bondurant-Farrar Comm School District,56,122,178,68.5,,44,147,191,77.0,,61,112,173,64.7,,47,137,184,74.5,,37,136,173,78.6,,35,130,165,78.8,,27,109,136,80.1,,29,108,137,78.8,,,
08,Boone,11,0729,Boone Comm School District,48,70,118,59.3,,31,100,131,76.3,,86,64,150,42.7,,48,107,155,69.0,,53,103,156,66.0,,46,99,145,68.3,,24,109,133,82.0,,32,109,141,77.3,,,
84,Sioux,12,0747,Boyden-Hull Comm School District,7,22,29,75.9,,7,31,38,81.6,,6,30,36,83.3,,6,34,40,85.0,,10,42,52,80.8,,15,38,53,71.7,,13,45,58,77.6,,14,37,51,72.5,,,
41,Hancock,07,0819,West Hancock Comm School District,14,22,36,61.1,,11,30,41,73.2,,9,25,34,73.5,,10,29,39,74.4,,7,34,41,82.9,,6,35,41,85.4,,7,34,41,82.9,,13,34,47,72.3,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom Comm School District,19,31,50,62.0,,10,31,41,75.6,,13,35,48,72.9,,8,35,43,81.4,,7,24,31,77.4,,16,29,45,64.4,,4,30,34,88.2,,10,28,38,73.7,,,
95,Winnebago,07,0873,North Iowa Comm School District,9,23,32,71.9,,9,31,40,77.5,,10,20,30,66.7,,7,24,31,77.4,,15,15,30,50.0,,15,12,27,44.4,,4,16,20,80.0,,13,27,40,67.5,,,
29,Des Moines,15,0882,Burlington Comm School District,90,148,238,62.2,,100,161,261,61.7,,121,149,270,55.2,,153,128,281,45.6,,128,135,263,51.3,,90,130,220,59.1,,75,162,237,68.4,,88,137,225,60.9,,,
15,Cass,13,0914,CAM Comm School District,22,27,49,55.1,,14,44,58,75.9,,21,27,48,56.3,,27,41,68,60.3,,16,50,66,75.8,,23,61,84,72.6,,20,73,93,78.5,,28,97,125,77.6,,,
35,Franklin,07,0916,CAL Comm School District,6,10,16,62.5,,6,8,14,57.1,,small N,small N,small N,small N,,2,15,17,88.2,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
23,Clinton,09,0918,Calamus-Wheatland Comm School District,17,17,34,50.0,,6,27,33,81.8,,16,27,43,62.8,,11,25,36,69.4,,10,29,39,74.4,,5,24,29,82.8,,11,25,36,69.4,,8,27,35,77.1,,,
23,Clinton,09,0936,Camanche Comm School District,27,41,68,60.3,,31,45,76,59.2,,11,51,62,82.3,,16,58,74,78.4,,27,43,70,61.4,,29,56,85,65.9,,26,53,79,67.1,,26,41,67,61.2,,,
90,Wapello,15,0977,Cardinal Comm School District,22,44,66,66.7,,16,42,58,72.4,,31,37,68,54.4,,27,41,68,60.3,,22,46,68,67.6,,33,25,58,43.1,,10,43,53,81.1,,24,34,58,58.6,,,
91,Warren,11,0981,Carlisle Comm School District,42,117,159,73.6,,48,112,160,70.0,,78,110,188,58.5,,61,119,180,66.1,,46,112,158,70.9,,54,114,168,67.9,,41,112,153,73.2,,39,114,153,74.5,,,
