,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR Comm School District,7,32,39,82.1,,6,39,45,86.7,,6,33,39,84.6,,8,32,40,80,,8,28,36,77.8,,5,30,35,85.7,,9,32,41,78,,,
39,Guthrie,11,0018,Adair-Casey Comm School District,2,16,18,88.9,,3,11,14,78.6,,5,10,15,66.7,,11,15,26,57.7,,12,20,32,62.5,,6,12,18,66.7,,0,0,0,,,,
25,Dallas,11,0027,Adel DeSoto Minburn Comm School District,23,105,128,82,,19,122,141,86.5,,23,111,134,82.8,,18,98,116,84.5,,12,96,108,88.9,,14,108,122,88.5,,11,105,116,90.5,,,
75,Plymouth,12,0063,Akron Westfield Comm School District,4,30,34,88.2,,8,44,52,84.6,,7,40,47,85.1,,5,32,37,86.5,,9,31,40,77.5,,10,23,33,69.7,,5,29,34,85.3,,,
11,Buena Vista,05,0072,Albert City-Truesdale Comm School District,small N,small N,small N,small N,,0,14,14,100,,4,7,11,63.6,,2,10,12,83.3,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia Comm School District,13,82,95,86.3,,15,68,83,81.9,,15,73,88,83,,13,67,80,83.8,,19,74,93,79.6,,22,66,88,75,,14,63,77,81.8,,,
57,Linn,10,0099,Alburnett Comm School District,6,39,45,86.7,,9,39,48,81.3,,14,32,46,69.6,,8,29,37,78.4,,13,31,44,70.5,,15,30,45,66.7,,8,37,45,82.2,,,
42,Hardin,07,0108,Alden Comm School District,5,13,18,72.2,,5,10,15,66.7,,12,20,32,62.5,,21,62,83,74.7,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona Comm School District,8,80,88,90.9,,15,85,100,85,,19,84,103,81.6,,21,68,89,76.4,,33,63,96,65.6,,23,72,95,75.8,,15,83,98,84.7,,,
03,Allamakee,01,0135,Allamakee Comm School District,11,64,75,85.3,,9,68,77,88.3,,11,58,69,84.1,,10,61,71,85.9,,13,59,72,81.9,,21,95,116,81.9,,16,62,78,79.5,,,
12,Butler,07,0153,North Butler Comm School District,10,46,56,82.1,,7,40,47,85.1,,11,34,45,75.6,,14,35,49,71.4,,5,42,47,89.4,,7,29,36,80.6,,5,35,40,87.5,,,
11,Buena Vista,05,0171,Alta Comm School District,13,20,33,60.6,,15,30,45,66.7,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,8,45,53,84.9,,,
85,Story,11,0225,Ames Comm School District,35,277,312,88.8,,29,239,268,89.2,,30,231,261,88.5,,37,229,266,86.1,,63,268,331,81,,26,247,273,90.5,,47,238,285,83.5,,,
53,Jones,10,0234,Anamosa Comm School District,31,40,71,56.3,,14,62,76,81.6,,28,51,79,64.6,,21,56,77,72.7,,25,68,93,73.1,,32,68,100,68,,20,72,92,78.3,,,
49,Jackson,09,0243,Andrew Comm School District,2,18,20,90,,2,8,10,80,,4,10,14,71.4,,small N,small N,small N,small N,,5,9,14,64.3,,4,10,14,71.4,,0,0,0,,,,
77,Polk,11,0261,Ankeny Comm School District,84,784,868,90.3,,91,724,815,88.8,,92,731,823,88.8,,126,686,812,84.5,,100,710,810,87.7,,97,674,771,87.4,,59,609,668,91.2,,,
12,Butler,07,0279,Aplington-Parkersburg Comm School District,10,54,64,84.4,,12,52,64,81.3,,8,42,50,84,,12,50,62,80.6,,12,41,53,77.4,,14,39,53,73.6,,12,55,67,82.1,,,
32,Emmet,05,0333,North Union Comm School District,4,21,25,84,,6,25,31,80.6,,6,22,28,78.6,,0,0,0,,,0,0,0,,,0,0,0,,,17,27,44,61.4,,,
24,Crawford,12,0355,Ar-We-Va Comm School District,1,17,18,94.4,,7,11,18,61.1,,1,9,10,90,,3,11,14,78.6,,2,12,14,85.7,,0,16,16,100,,2,12,14,85.7,,,
15,Cass,13,0387,Atlantic Comm School District,21,90,111,81.1,,33,85,118,72,,18,78,96,81.3,,22,85,107,79.4,,14,71,85,83.5,,21,91,112,81.3,,15,92,107,86,,,
05,Audubon,11,0414,Audubon Comm School District,5,34,39,87.2,,5,33,38,86.8,,6,29,35,82.9,,8,23,31,74.2,,3,31,34,91.2,,6,31,37,83.8,,3,25,28,89.3,,,
18,Cherokee,12,0423,Aurelia Comm School District,0,14,14,100,,3,8,11,72.7,,10,34,44,77.3,,4,8,12,66.7,,10,33,43,76.7,,11,39,50,78,,0,0,0,,,,
78,Pottawattamie,13,0441,AHSTW Comm School District,15,31,46,67.4,,18,27,45,60,,11,36,47,76.6,,7,33,40,82.5,,17,29,46,63,,9,36,45,80,,9,45,54,83.3,,,
85,Story,11,0472,Ballard Comm School District,17,92,109,84.4,,17,106,123,86.2,,19,84,103,81.6,,14,92,106,86.8,,25,82,107,76.6,,26,104,130,80,,21,102,123,82.9,,,
47,Ida,12,0504,Battle Creek-Ida Grove Comm School District,10,42,52,80.8,,10,42,52,80.8,,9,47,56,83.9,,0,0,0,,,0,0,0,,,0,0,0,,,8,52,60,86.7,,,
50,Jasper,11,0513,Baxter Comm School District,7,21,28,75,,7,25,32,78.1,,3,30,33,90.9,,8,32,40,80,,4,18,22,81.8,,1,26,27,96.3,,3,27,30,90,,,
38,Grundy,07,0540,BCLUW Comm School District,9,28,37,75.7,,17,36,53,67.9,,14,30,44,68.2,,12,30,42,71.4,,10,38,48,79.2,,6,31,37,83.8,,9,38,47,80.9,,,
87,Taylor,13,0549,Bedford Comm School District,8,26,34,76.5,,9,19,28,67.9,,3,37,40,92.5,,5,22,27,81.5,,4,26,30,86.7,,6,21,27,77.8,,1,25,26,96.2,,,
06,Benton,10,0576,Belle Plaine Comm School District,3,20,23,87,,6,24,30,80,,3,21,24,87.5,,9,29,38,76.3,,8,36,44,81.8,,8,26,34,76.5,,7,28,35,80,,,
49,Jackson,09,0585,Bellevue Comm School District,3,39,42,92.9,,6,28,34,82.4,,10,38,48,79.2,,7,31,38,81.6,,8,36,44,81.8,,17,26,43,60.5,,7,35,42,83.3,,,
99,Wright,07,0594,Belmond-Klemme Comm School District,10,54,64,84.4,,18,27,45,60,,15,29,44,65.9,,17,37,54,68.5,,10,47,57,82.5,,15,40,55,72.7,,14,34,48,70.8,,,
16,Cedar,09,0603,Bennett Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton Comm School District,14,84,98,85.7,,10,84,94,89.4,,28,71,99,71.7,,15,83,98,84.7,,31,83,114,72.8,,17,92,109,84.4,,13,101,114,88.6,,,
82,Scott,09,0621,Bettendorf Comm School District,38,266,304,87.5,,48,223,271,82.3,,53,259,312,83,,68,251,319,78.7,,54,277,331,83.7,,64,278,342,81.3,,41,292,333,87.7,,,
90,Wapello,15,0657,Eddyville-Blakesburg- Fremont CSD,24,30,54,55.6,,21,39,60,65,,17,53,70,75.7,,9,44,53,83,,15,51,66,77.3,,21,53,74,71.6,,18,37,55,67.3,,,
77,Polk,11,0720,Bondurant-Farrar Comm School District,28,114,142,80.3,,21,130,151,86.1,,22,133,155,85.8,,24,126,150,84,,18,117,135,86.7,,21,109,130,83.8,,15,105,120,87.5,,,
08,Boone,11,0729,Boone Comm School District,20,108,128,84.4,,20,102,122,83.6,,39,83,122,68,,29,86,115,74.8,,29,99,128,77.3,,34,96,130,73.8,,29,142,171,83,,,
84,Sioux,12,0747,Boyden-Hull Comm School District,4,35,39,89.7,,5,33,38,86.8,,8,42,50,84,,12,39,51,76.5,,10,39,49,79.6,,10,44,54,81.5,,8,32,40,80,,,
