,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
41,Hancock,07,0819,West Hancock Comm School District,5,30,35,85.7,,5,32,37,86.5,,6,37,43,86,,8,32,40,80,,12,31,43,72.1,,7,36,43,83.7,,6,28,34,82.4,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom Comm School District,3,41,44,93.2,,6,28,34,82.4,,5,28,33,84.8,,7,38,45,84.4,,12,22,34,64.7,,7,25,32,78.1,,6,28,34,82.4,,,
95,Winnebago,07,0873,North Iowa Comm School District,5,24,29,82.8,,3,26,29,89.7,,6,23,29,79.3,,6,21,27,77.8,,15,17,32,53.1,,4,15,19,78.9,,8,20,28,71.4,,,
29,Des Moines,15,0882,Burlington Comm School District,91,174,265,65.7,,85,196,281,69.8,,77,189,266,71.1,,95,142,237,59.9,,87,168,255,65.9,,74,174,248,70.2,,68,171,239,71.5,,,
15,Cass,13,0914,CAM Comm School District,8,26,34,76.5,,19,32,51,62.7,,8,34,42,81,,13,34,47,72.3,,12,36,48,75,,12,46,58,79.3,,16,59,75,78.7,,,
48,Iowa,07,0916,CAL Comm School District,small N,small N,small N,small N,,4,15,19,78.9,,5,13,18,72.2,,9,8,17,47.1,,5,10,15,66.7,,4,10,14,71.4,,7,14,21,66.7,,,
23,Clinton,09,0918,Calamus-Wheatland Comm School District,10,31,41,75.6,,7,27,34,79.4,,3,31,34,91.2,,6,28,34,82.4,,9,19,28,67.9,,8,28,36,77.8,,2,27,29,93.1,,,
23,Clinton,09,0936,Camanche Comm School District,11,48,59,81.4,,15,66,81,81.5,,18,47,65,72.3,,14,66,80,82.5,,14,55,69,79.7,,18,59,77,76.6,,16,62,78,79.5,,,
90,Wapello,15,0977,Cardinal Comm School District,22,35,57,61.4,,14,33,47,70.2,,17,36,53,67.9,,15,26,41,63.4,,15,29,44,65.9,,11,26,37,70.3,,7,31,38,81.6,,,
91,Warren,11,0981,Carlisle Comm School District,27,140,167,83.8,,32,119,151,78.8,,33,105,138,76.1,,37,108,145,74.5,,20,118,138,85.5,,24,115,139,82.7,,18,125,143,87.4,,,
14,Carroll,11,0999,Carroll Comm School District,41,97,138,70.3,,26,99,125,79.2,,25,110,135,81.5,,15,108,123,87.8,,15,99,114,86.8,,22,90,112,80.4,,18,103,121,85.1,,,
07,Black Hawk,07,1044,Cedar Falls Comm School District,59,324,383,84.6,,62,354,416,85.1,,65,325,390,83.3,,54,311,365,85.2,,71,345,416,82.9,,75,290,365,79.5,,22,306,328,93.3,,,
57,Linn,10,1053,Cedar Rapids Comm School District,353,706,1059,66.7,,349,734,1083,67.8,,281,735,1016,72.3,,342,672,1014,66.3,,347,689,1036,66.5,,311,772,1083,71.3,,280,751,1031,72.8,,,
57,Linn,10,1062,Center Point-Urbana Comm School District,18,85,103,82.5,,21,88,109,80.7,,24,91,115,79.1,,28,77,105,73.3,,19,92,111,82.9,,18,95,113,84.1,,10,98,108,90.7,,,
04,Appanoose,15,1071,Centerville Comm School District,38,66,104,63.5,,13,73,86,84.9,,25,62,87,71.3,,33,53,86,61.6,,22,65,87,74.7,,24,78,102,76.5,,17,65,82,79.3,,,
56,Lee,15,1079,Central Lee Comm School District,19,54,73,74,,16,67,83,80.7,,14,52,66,78.8,,16,68,84,81,,28,50,78,64.1,,15,53,68,77.9,,21,66,87,75.9,,,
22,Clayton,01,1080,Central Comm School District,10,27,37,73,,8,26,34,76.5,,12,23,35,65.7,,10,23,33,69.7,,6,22,28,78.6,,4,26,30,86.7,,8,29,37,78.4,,,
23,Clinton,09,1082,Central DeWitt School District,16,76,92,82.6,,14,75,89,84.3,,25,69,94,73.4,,23,76,99,76.8,,21,76,97,78.4,,10,77,87,88.5,,7,112,119,94.1,,,
57,Linn,10,1089,Central City Comm School District,4,25,29,86.2,,9,20,29,69,,5,24,29,82.8,,7,20,27,74.1,,5,27,32,84.4,,6,23,29,79.3,,4,26,30,86.7,,,
27,Decatur,13,1093,Central Decatur Comm School District,14,35,49,71.4,,18,43,61,70.5,,12,37,49,75.5,,16,44,60,73.3,,13,41,54,75.9,,11,35,46,76.1,,3,33,36,91.7,,,
60,Lyon,12,1095,Central Lyon Comm School District,6,42,48,87.5,,6,53,59,89.8,,10,53,63,84.1,,10,48,58,82.8,,10,38,48,79.2,,8,46,54,85.2,,9,30,39,76.9,,,
59,Lucas,15,1107,Chariton Comm School District,25,57,82,69.5,,30,71,101,70.3,,28,57,85,67.1,,18,60,78,76.9,,31,57,88,64.8,,20,54,74,73,,24,64,88,72.7,,,
34,Floyd,07,1116,Charles City Comm School District,44,55,99,55.6,,37,66,103,64.1,,26,67,93,72,,37,63,100,63,,23,65,88,73.9,,27,86,113,76.1,,19,87,106,82.1,,,
24,Crawford,12,1134,Charter Oak-Ute Comm School District,1,13,14,92.9,,3,22,25,88,,2,15,17,88.2,,2,9,11,81.8,,9,8,17,47.1,,5,15,20,75,,7,7,14,50,,,
18,Cherokee,12,1152,Cherokee Comm School District,17,61,78,78.2,,12,58,70,82.9,,21,54,75,72,,17,63,80,78.8,,14,58,72,80.6,,14,52,66,78.8,,16,50,66,75.8,,,
73,Page,13,1197,Clarinda Comm School District,17,65,82,79.3,,24,42,66,63.6,,36,47,83,56.6,,34,43,77,55.8,,18,50,68,73.5,,19,45,64,70.3,,16,51,67,76.1,,,
99,Wright,05,1206,Clarion-Goldfield-Dows Comm School District,25,40,65,61.5,,17,49,66,74.2,,17,48,65,73.8,,18,40,58,69,,8,52,60,86.7,,13,55,68,80.9,,11,59,70,84.3,,,
20,Clarke,13,1211,Clarke Comm School District,33,69,102,67.6,,27,70,97,72.2,,41,63,104,60.6,,31,57,88,64.8,,18,68,86,79.1,,23,65,88,73.9,,26,59,85,69.4,,,
12,Butler,07,1215,Clarksville Comm School District,4,19,23,82.6,,5,20,25,80,,5,18,23,78.3,,3,14,17,82.4,,3,18,21,85.7,,7,13,20,65,,6,16,22,72.7,,,
21,Clay,05,1218,Clay Central-Everly Comm School District,5,15,20,75,,0,15,15,100,,2,14,16,87.5,,3,12,15,80,,3,21,24,87.5,,3,17,20,85,,7,14,21,66.7,,,
52,Johnson,10,1221,Clear Creek Amana Comm School District,34,136,170,80,,34,130,164,79.3,,31,130,161,80.7,,28,118,146,80.8,,26,121,147,82.3,,48,117,165,70.9,,23,84,107,78.5,,,
17,Cerro Gordo,07,1233,Clear Lake Comm School District,19,76,95,80,,17,74,91,81.3,,12,76,88,86.4,,12,80,92,87,,13,69,82,84.1,,18,77,95,81.1,,21,82,103,79.6,,,
23,Clinton,09,1278,Clinton Comm School District,57,170,227,74.9,,46,195,241,80.9,,36,207,243,85.2,,69,156,225,69.3,,66,132,198,66.7,,58,167,225,74.2,,47,147,194,75.8,,,
50,Jasper,11,1332,Colfax-Mingo Comm School District,8,40,48,83.3,,14,36,50,72,,5,44,49,89.8,,9,29,38,76.3,,12,33,45,73.3,,10,35,45,77.8,,5,38,43,88.4,,,
57,Linn,10,1337,College Comm School District,83,276,359,76.9,,83,297,380,78.2,,109,287,396,72.5,,114,286,400,71.5,,96,288,384,75,,102,296,398,74.4,,78,280,358,78.2,,,
85,Story,11,1350,Collins-Maxwell Comm School District,6,25,31,80.6,,7,15,22,68.2,,12,27,39,69.2,,6,19,25,76,,1,27,28,96.4,,4,18,22,81.8,,7,26,33,78.8,,,
85,Story,11,1359,Colo-NESCO Comm School District,7,21,28,75,,2,30,32,93.8,,4,24,28,85.7,,7,19,26,73.1,,13,24,37,64.9,,6,22,28,78.6,,7,25,32,78.1,,,
58,Louisa,09,1368,Columbus Comm School District,17,23,40,57.5,,21,33,54,61.1,,10,38,48,79.2,,10,23,33,69.7,,22,19,41,46.3,,18,33,51,64.7,,20,27,47,57.4,,,
14,Carroll,11,1413,Coon Rapids-Bayard Comm School District,4,31,35,88.6,,2,21,23,91.3,,7,12,19,63.2,,3,15,18,83.3,,5,24,29,82.8,,9,19,28,67.9,,1,29,30,96.7,,,
02,Adams,13,1431,Corning Comm School District,4,28,32,87.5,,9,32,41,78,,2,26,28,92.9,,0,0,0,,,0,0,0,,,0,0,0,,,9,34,43,79.1,,,
78,Pottawattamie,13,1476,Council Bluffs Comm School District,237,387,624,62,,214,372,586,63.5,,190,438,628,69.7,,196,411,607,67.7,,172,364,536,67.9,,191,411,602,68.3,,181,336,517,65,,,
88,Union,13,1503,Creston Comm School District,24,78,102,76.5,,35,59,94,62.8,,27,70,97,72.2,,28,76,104,73.1,,31,53,84,63.1,,26,80,106,75.5,,16,105,121,86.8,,,
25,Dallas,11,1576,Dallas Center-Grimes Comm School District,21,173,194,89.2,,29,183,212,86.3,,19,195,214,91.1,,21,180,201,89.6,,25,162,187,86.6,,35,165,200,82.5,,26,159,185,85.9,,,
29,Des Moines,15,1602,Danville Comm School District,5,35,40,87.5,,11,41,52,78.8,,12,48,60,80,,10,30,40,75,,5,34,39,87.2,,11,35,46,76.1,,3,36,39,92.3,,,
82,Scott,09,1611,Davenport Comm School District,406,677,1083,62.5,,445,637,1082,58.9,,342,702,1044,67.2,,386,614,1000,61.4,,382,634,1016,62.4,,367,611,978,62.5,,330,643,973,66.1,,,
26,Davis,15,1619,Davis County Comm School District,30,68,98,69.4,,25,68,93,73.1,,36,63,99,63.6,,22,81,103,78.6,,22,62,84,73.8,,21,53,74,71.6,,16,53,69,76.8,,,
96,Winneshiek,01,1638,Decorah Community School District,12,95,107,88.8,,20,87,107,81.3,,14,84,98,85.7,,20,103,123,83.7,,17,111,128,86.7,,12,110,122,90.2,,7,118,125,94.4,,,
23,Clinton,09,1675,Delwood Comm School District,1,17,18,94.4,,3,13,16,81.3,,5,23,28,82.1,,2,13,15,86.7,,0,0,0,,,0,0,0,,,0,0,0,,,,
24,Crawford,12,1701,Denison Comm School District,45,91,136,66.9,,33,99,132,75,,31,100,131,76.3,,42,96,138,69.6,,36,117,153,76.5,,17,113,130,86.9,,33,120,153,78.4,,,
09,Bremer,07,1719,Denver Comm School District,3,51,54,94.4,,12,48,60,80,,3,51,54,94.4,,3,59,62,95.2,,2,52,54,96.3,,5,57,62,91.9,,2,44,46,95.7,,,
77,Polk,11,1737,Des Moines Independent Comm School District,1015,1361,2376,57.3,,949,1450,2399,60.4,,916,1421,2337,60.8,,831,1296,2127,60.9,,826,1326,2152,61.6,,771,1188,1959,60.6,,665,1176,1841,63.9,,,
80,Ringgold,13,1782,Diagonal Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,10,10,100,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
38,Grundy,07,1791,Dike-New Hartford Comm School District,11,51,62,82.3,,11,61,72,84.7,,15,49,64,76.6,,12,43,55,78.2,,13,49,62,79,,6,57,63,90.5,,17,40,57,70.2,,,
31,Dubuque,01,1863,Dubuque Comm School District,219,565,784,72.1,,220,548,768,71.4,,186,475,661,71.9,,265,454,719,63.1,,222,483,705,68.5,,216,567,783,72.4,,185,532,717,74.2,,,
07,Black Hawk,07,1908,Dunkerton Comm School District,9,22,31,71,,4,30,34,88.2,,9,25,34,73.5,,8,19,27,70.4,,9,30,39,76.9,,12,22,34,64.7,,9,27,36,75,,,
43,Harrison,13,1917,Boyer Valley Comm School District,8,26,34,76.5,,3,24,27,88.9,,5,24,29,82.8,,8,19,27,70.4,,12,17,29,58.6,,8,29,37,78.4,,6,32,38,84.2,,,
16,Cedar,09,1926,Durant Comm School District,7,31,38,81.6,,12,35,47,74.5,,12,37,49,75.5,,13,34,47,72.3,,19,40,59,67.8,,12,38,50,76,,13,37,50,74,,,
99,Wright,05,1944,Eagle Grove Comm School District,19,44,63,69.8,,11,56,67,83.6,,19,46,65,70.8,,18,31,49,63.3,,15,35,50,70,,18,29,47,61.7,,18,30,48,62.5,,,
61,Madison,11,1953,Earlham Comm School District,9,45,54,83.3,,1,30,31,96.8,,7,33,40,82.5,,4,27,31,87.1,,15,37,52,71.2,,5,35,40,87.5,,9,44,53,83,,,
10,Buchanan,07,1963,East Buchanan Comm School District,18,26,44,59.1,,7,31,38,81.6,,11,37,48,77.1,,16,22,38,57.9,,2,31,33,93.9,,8,39,47,83,,8,39,47,83,,,
49,Jackson,09,1965,Easton Valley Comm School District,13,19,32,59.4,,6,23,29,79.3,,1,36,37,97.3,,10,26,36,72.2,,5,32,37,86.5,,6,29,35,82.9,,9,27,36,75,,,
64,Marshall,07,1968,East Marshall Comm School District,11,47,58,81,,15,50,65,76.9,,10,44,54,81.5,,10,45,55,81.8,,11,55,66,83.3,,9,36,45,80,,13,56,69,81.2,,,
88,Union,13,1970,East Union Comm School District,10,29,39,74.4,,7,26,33,78.8,,12,24,36,66.7,,13,16,29,55.2,,16,22,38,57.9,,5,37,42,88.1,,6,25,31,80.6,,,
03,Allamakee,01,1972,Eastern Allamakee Comm School District,4,20,24,83.3,,3,19,22,86.4,,2,20,22,90.9,,7,14,21,66.7,,2,30,32,93.8,,4,14,18,77.8,,0,24,24,100,,,
97,Woodbury,12,1975,River Valley Comm School District,10,20,30,66.7,,10,21,31,67.7,,7,21,28,75,,6,25,31,80.6,,9,19,28,67.9,,9,31,40,77.5,,4,25,29,86.2,,,
28,Delaware,01,1989,Edgewood-Colesburg Comm School District,7,28,35,80,,11,26,37,70.3,,13,19,32,59.4,,11,21,32,65.6,,11,36,47,76.6,,11,26,37,70.3,,12,26,38,68.4,,,
42,Hardin,07,2007,Eldora-New Providence Comm School District,9,29,38,76.3,,11,17,28,60.7,,9,33,42,78.6,,0,0,0,,,0,0,0,,,0,0,0,,,11,40,51,78.4,,,
74,Palo Alto,05,2088,Emmetsburg Comm School District,9,40,49,81.6,,16,26,42,61.9,,25,43,68,63.2,,17,41,58,70.7,,16,35,51,68.6,,22,37,59,62.7,,15,40,55,72.7,,,
48,Iowa,10,2097,English Valleys Comm School District,9,15,24,62.5,,6,23,29,79.3,,6,26,32,81.3,,10,24,34,70.6,,6,36,42,85.7,,4,17,21,81,,3,20,23,87,,,
73,Page,13,2113,Essex Comm School District,2,11,13,84.6,,3,8,11,72.7,,3,8,11,72.7,,4,10,14,71.4,,3,10,13,76.9,,5,12,17,70.6,,6,11,17,64.7,,,
32,Emmet,05,2124,Estherville Lincoln Central Com Sch Dist,26,60,86,69.8,,34,56,90,62.2,,41,53,94,56.4,,38,53,91,58.2,,32,76,108,70.4,,31,54,85,63.5,,20,73,93,78.5,,,
83,Shelby,11,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,5,17,22,77.3,,5,16,21,76.2,,3,18,21,85.7,,4,22,26,84.6,,8,13,21,61.9,,10,11,21,52.4,,6,19,25,76,,,
51,Jefferson,15,2169,Fairfield Comm School District,35,81,116,69.8,,31,63,94,67,,35,86,121,71.1,,40,85,125,68,,32,77,109,70.6,,27,98,125,78.4,,20,83,103,80.6,,,
95,Winnebago,07,2295,Forest City Comm School District,9,53,62,85.5,,14,56,70,80,,7,76,83,91.6,,15,56,71,78.9,,18,56,74,75.7,,17,66,83,79.5,,12,81,93,87.1,,,
94,Webster,05,2313,Fort Dodge Comm School District,98,170,268,63.4,,78,160,238,67.2,,101,131,232,56.5,,106,142,248,57.3,,91,151,242,62.4,,100,144,244,59,,73,177,250,70.8,,,
56,Lee,15,2322,Fort Madison Comm School District,20,94,114,82.5,,32,102,134,76.1,,26,96,122,78.7,,45,84,129,65.1,,40,87,127,68.5,,40,89,129,69,,24,94,118,79.7,,,
36,Fremont,13,2369,Fremont-Mills Comm School District,15,24,39,61.5,,11,26,37,70.3,,9,24,33,72.7,,5,21,26,80.8,,7,21,28,75,,9,21,30,70,,12,18,30,60,,,
47,Ida,12,2376,Galva-Holstein Comm School District,7,23,30,76.7,,7,23,30,76.7,,6,30,36,83.3,,0,0,0,,,small N,small N,small N,small N,,0,0,0,,,15,39,54,72.2,,,
41,Hancock,07,2403,Garner-Hayfield-Ventura Comm School District,16,54,70,77.1,,15,62,77,80.5,,18,51,69,73.9,,34,45,79,57,,16,51,67,76.1,,20,50,70,71.4,,13,68,81,84,,,
60,Lyon,12,2457,George-Little Rock Comm School District,5,14,19,73.7,,11,12,23,52.2,,12,26,38,68.4,,11,23,34,67.6,,11,17,28,60.7,,11,20,31,64.5,,9,22,31,71,,,
85,Story,11,2466,Gilbert Comm School District,0,0,0,,,4,85,89,95.5,,6,104,110,94.5,,4,108,112,96.4,,4,108,112,96.4,,6,111,117,94.9,,2,103,105,98.1,,,
46,Humboldt,05,2493,Gilmore City-Bradgate Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
38,Grundy,07,2502,Gladbrook-Reinbeck Comm School District,5,27,32,84.4,,8,19,27,70.4,,7,22,29,75.9,,6,24,30,80,,3,26,29,89.7,,7,24,31,77.4,,14,27,41,65.9,,,
65,Mills,13,2511,Glenwood Comm School District,32,119,151,78.8,,29,86,115,74.8,,13,120,133,90.2,,23,133,156,85.3,,18,114,132,86.4,,29,124,153,81,,17,108,125,86.4,,,
14,Carroll,11,2520,Glidden-Ralston Comm School District,1,24,25,96,,4,18,22,81.8,,2,17,19,89.5,,3,13,16,81.3,,6,13,19,68.4,,5,13,18,72.2,,3,14,17,82.4,,,
74,Palo Alto,05,2556,Graettinger-Terril Comm School District,3,22,25,88,,7,17,24,70.8,,7,16,23,69.6,,9,17,26,65.4,,8,10,18,55.6,,3,21,24,87.5,,2,16,18,88.9,,,
01,Adair,13,2673,Nodaway Valley Comm School District,17,29,46,63,,13,31,44,70.5,,14,37,51,72.5,,17,20,37,54.1,,14,33,47,70.2,,12,43,55,78.2,,6,28,34,82.4,,,
86,Tama,07,2682,GMG Comm School District,10,27,37,73,,3,36,39,92.3,,6,37,43,86,,6,31,37,83.8,,8,30,38,78.9,,7,29,36,80.6,,5,25,30,83.3,,,
79,Poweshiek,07,2709,Grinnell-Newburg Comm School District,19,107,126,84.9,,22,83,105,79,,29,79,108,73.1,,21,91,112,81.3,,17,86,103,83.5,,19,82,101,81.2,,15,107,122,87.7,,,
15,Cass,13,2718,Griswold Comm School District,8,23,31,74.2,,11,31,42,73.8,,6,33,39,84.6,,8,20,28,71.4,,10,26,36,72.2,,8,27,35,77.1,,8,34,42,81,,,
38,Grundy,07,2727,Grundy Center Comm School District,6,50,56,89.3,,9,42,51,82.4,,20,41,61,67.2,,15,34,49,69.4,,9,43,52,82.7,,11,31,42,73.8,,5,39,44,88.6,,,
39,Guthrie,11,2754,Guthrie Center Comm School District,6,24,30,80,,6,31,37,83.8,,3,32,35,91.4,,7,29,36,80.6,,0,0,0,,,0,0,0,,,6,36,42,85.7,,,
22,Clayton,01,2763,Clayton Ridge Comm School District,7,33,40,82.5,,17,44,61,72.1,,9,26,35,74.3,,12,32,44,72.7,,10,35,45,77.8,,14,37,51,72.5,,13,54,67,80.6,,,
48,Iowa,10,2766,H-L-V Comm School District,8,18,26,69.2,,7,14,21,66.7,,5,21,26,80.8,,1,18,19,94.7,,1,19,20,95,,3,21,24,87.5,,3,16,19,84.2,,,
36,Fremont,13,2772,Hamburg Comm School District,4,10,14,71.4,,1,14,15,93.3,,2,11,13,84.6,,9,8,17,47.1,,3,8,11,72.7,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
35,Franklin,07,2781,Hampton-Dumont Comm School District,21,65,86,75.6,,30,64,94,68.1,,32,47,79,59.5,,31,46,77,59.7,,21,73,94,77.7,,16,57,73,78.1,,16,54,70,77.1,,,
