,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
78,Pottawattamie,13,0441,AHSTW Comm School District,13,33,46,71.7,,20,25,45,55.6,,12,35,47,74.5,,7,33,40,82.5,,9,37,46,80.4,,7,38,45,84.4,,4,50,54,92.6,,,
85,Story,11,0472,Ballard Comm School District,20,89,109,81.7,,11,112,123,91.1,,16,87,103,84.5,,20,86,106,81.1,,18,89,107,83.2,,33,98,131,74.8,,25,99,124,79.8,,,
47,Ida,12,0504,Battle Creek-Ida Grove Comm School District,9,43,52,82.7,,7,45,52,86.5,,11,45,56,80.4,,0,0,0,,,0,0,0,,,0,0,0,,,3,57,60,95.0,,,
50,Jasper,11,0513,Baxter Comm School District,7,21,28,75.0,,5,27,32,84.4,,11,22,33,66.7,,17,23,40,57.5,,3,19,22,86.4,,6,21,27,77.8,,2,28,30,93.3,,,
38,Grundy,07,0540,BCLUW Comm School District,8,29,37,78.4,,14,39,53,73.6,,15,29,44,65.9,,10,32,42,76.2,,1,47,48,97.9,,4,33,37,89.2,,7,40,47,85.1,,,
87,Taylor,13,0549,Bedford Comm School District,5,29,34,85.3,,2,26,28,92.9,,2,38,40,95.0,,4,23,27,85.2,,3,27,30,90.0,,4,23,27,85.2,,3,23,26,88.5,,,
06,Benton,10,0576,Belle Plaine Comm School District,4,19,23,82.6,,7,23,30,76.7,,5,19,24,79.2,,10,28,38,73.7,,4,40,44,90.9,,8,26,34,76.5,,3,32,35,91.4,,,
49,Jackson,09,0585,Bellevue Comm School District,3,39,42,92.9,,1,33,34,97.1,,3,45,48,93.8,,7,31,38,81.6,,6,38,44,86.4,,4,38,42,90.5,,8,34,42,81.0,,,
99,Wright,07,0594,Belmond-Klemme Comm School District,13,51,64,79.7,,12,33,45,73.3,,22,22,44,50.0,,20,34,54,63.0,,5,52,57,91.2,,11,44,55,80.0,,11,37,48,77.1,,,
16,Cedar,09,0603,Bennett Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton Comm School District,16,82,98,83.7,,10,84,94,89.4,,30,69,99,69.7,,21,77,98,78.6,,19,95,114,83.3,,11,98,109,89.9,,14,100,114,87.7,,,
82,Scott,09,0621,Bettendorf Comm School District,29,275,304,90.5,,25,245,270,90.7,,41,271,312,86.9,,64,255,319,79.9,,47,284,331,85.8,,67,275,342,80.4,,31,302,333,90.7,,,
90,Wapello,15,0657,Eddyville-Blakesburg- Fremont CSD,16,38,54,70.4,,13,47,60,78.3,,21,49,70,70.0,,5,48,53,90.6,,12,54,66,81.8,,18,56,74,75.7,,9,45,54,83.3,,,
77,Polk,11,0720,Bondurant-Farrar Comm School District,26,116,142,81.7,,22,129,151,85.4,,22,133,155,85.8,,18,132,150,88.0,,7,128,135,94.8,,28,102,130,78.5,,13,108,121,89.3,,,
08,Boone,11,0729,Boone Comm School District,22,106,128,82.8,,29,93,122,76.2,,49,72,121,59.5,,30,83,113,73.5,,19,109,128,85.2,,32,98,130,75.4,,26,144,170,84.7,,,
84,Sioux,12,0747,Boyden-Hull Comm School District,10,29,39,74.4,,7,31,38,81.6,,7,43,50,86.0,,10,41,51,80.4,,5,44,49,89.8,,10,44,54,81.5,,4,36,40,90.0,,,
41,Hancock,07,0819,West Hancock Comm School District,5,30,35,85.7,,3,34,37,91.9,,4,39,43,90.7,,3,37,40,92.5,,10,33,43,76.7,,6,37,43,86.0,,5,29,34,85.3,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom Comm School District,3,41,44,93.2,,3,31,34,91.2,,1,32,33,97.0,,6,39,45,86.7,,6,28,34,82.4,,2,30,32,93.8,,4,30,34,88.2,,,
95,Winnebago,07,0873,North Iowa Comm School District,3,26,29,89.7,,4,25,29,86.2,,7,22,29,75.9,,12,15,27,55.6,,6,26,32,81.3,,4,15,19,78.9,,6,22,28,78.6,,,
29,Des Moines,15,0882,Burlington Comm School District,100,164,264,62.1,,85,196,281,69.8,,92,174,266,65.4,,101,135,236,57.2,,77,178,255,69.8,,86,162,248,65.3,,80,160,240,66.7,,,
15,Cass,13,0914,CAM Comm School District,10,24,34,70.6,,17,34,51,66.7,,8,34,42,81.0,,11,35,46,76.1,,12,36,48,75.0,,13,45,58,77.6,,23,52,75,69.3,,,
48,Iowa,07,0916,CAL Comm School District,small N,small N,small N,small N,,6,13,19,68.4,,4,14,18,77.8,,8,9,17,52.9,,4,11,15,73.3,,6,8,14,57.1,,5,16,21,76.2,,,
23,Clinton,09,0918,Calamus-Wheatland Comm School District,7,34,41,82.9,,5,29,34,85.3,,9,25,34,73.5,,9,25,34,73.5,,5,22,27,81.5,,9,27,36,75.0,,1,28,29,96.6,,,
23,Clinton,09,0936,Camanche Comm School District,8,51,59,86.4,,11,70,81,86.4,,23,42,65,64.6,,26,54,80,67.5,,15,54,69,78.3,,18,59,77,76.6,,16,62,78,79.5,,,
90,Wapello,15,0977,Cardinal Comm School District,18,38,56,67.9,,11,36,47,76.6,,13,40,53,75.5,,15,25,40,62.5,,9,35,44,79.5,,15,21,36,58.3,,5,33,38,86.8,,,
91,Warren,11,0981,Carlisle Comm School District,33,133,166,80.1,,26,124,150,82.7,,34,104,138,75.4,,31,114,145,78.6,,16,122,138,88.4,,28,111,139,79.9,,14,129,143,90.2,,,
14,Carroll,11,0999,Carroll Comm School District,34,104,138,75.4,,15,110,125,88.0,,16,119,135,88.1,,20,103,123,83.7,,11,103,114,90.4,,20,92,112,82.1,,15,106,121,87.6,,,
07,Black Hawk,07,1044,Cedar Falls Comm School District,44,339,383,88.5,,51,365,416,87.7,,55,335,390,85.9,,40,325,365,89.0,,42,374,416,89.9,,55,310,365,84.9,,24,305,329,92.7,,,
57,Linn,10,1053,Cedar Rapids Comm School District,286,776,1062,73.1,,322,763,1085,70.3,,326,691,1017,67.9,,361,653,1014,64.4,,301,731,1032,70.8,,404,679,1083,62.7,,237,794,1031,77.0,,,
57,Linn,10,1062,Center Point-Urbana Comm School District,12,91,103,88.3,,19,90,109,82.6,,15,100,115,87.0,,15,90,105,85.7,,6,105,111,94.6,,8,105,113,92.9,,6,103,109,94.5,,,
04,Appanoose,15,1071,Centerville Comm School District,28,76,104,73.1,,16,70,86,81.4,,23,64,87,73.6,,27,59,86,68.6,,19,68,87,78.2,,27,75,102,73.5,,12,70,82,85.4,,,
56,Lee,15,1079,Central Lee Comm School District,23,50,73,68.5,,9,74,83,89.2,,13,53,66,80.3,,13,71,84,84.5,,15,63,78,80.8,,8,60,68,88.2,,18,69,87,79.3,,,
22,Clayton,01,1080,Central Comm School District,9,28,37,75.7,,13,21,34,61.8,,11,24,35,68.6,,9,24,33,72.7,,5,23,28,82.1,,4,26,30,86.7,,9,28,37,75.7,,,
23,Clinton,09,1082,Central DeWitt School District,13,79,92,85.9,,21,68,89,76.4,,27,67,94,71.3,,15,84,99,84.8,,12,85,97,87.6,,15,72,87,82.8,,15,105,120,87.5,,,
57,Linn,10,1089,Central City Comm School District,4,25,29,86.2,,2,27,29,93.1,,4,25,29,86.2,,11,17,28,60.7,,8,25,33,75.8,,13,16,29,55.2,,5,25,30,83.3,,,
27,Decatur,13,1093,Central Decatur Comm School District,8,41,49,83.7,,16,45,61,73.8,,14,35,49,71.4,,16,44,60,73.3,,9,45,54,83.3,,22,24,46,52.2,,6,30,36,83.3,,,
60,Lyon,12,1095,Central Lyon Comm School District,8,40,48,83.3,,9,50,59,84.7,,15,47,62,75.8,,12,47,59,79.7,,6,42,48,87.5,,8,46,54,85.2,,4,35,39,89.7,,,
59,Lucas,15,1107,Chariton Comm School District,22,60,82,73.2,,18,83,101,82.2,,18,67,85,78.8,,19,59,78,75.6,,20,68,88,77.3,,30,44,74,59.5,,21,67,88,76.1,,,
34,Floyd,07,1116,Charles City Comm School District,35,64,99,64.6,,32,72,104,69.2,,36,58,94,61.7,,43,57,100,57.0,,19,69,88,78.4,,28,85,113,75.2,,16,90,106,84.9,,,
24,Crawford,12,1134,Charter Oak-Ute Comm School District,3,11,14,78.6,,2,23,25,92.0,,4,13,17,76.5,,4,7,11,63.6,,5,12,17,70.6,,7,13,20,65.0,,3,11,14,78.6,,,
18,Cherokee,12,1152,Cherokee Comm School District,14,64,78,82.1,,13,57,70,81.4,,19,56,75,74.7,,21,59,80,73.8,,10,62,72,86.1,,10,56,66,84.8,,9,57,66,86.4,,,
73,Page,13,1197,Clarinda Comm School District,12,70,82,85.4,,17,49,66,74.2,,24,59,83,71.1,,21,56,77,72.7,,10,58,68,85.3,,11,53,64,82.8,,12,55,67,82.1,,,
99,Wright,05,1206,Clarion-Goldfield-Dows Comm School District,25,40,65,61.5,,16,50,66,75.8,,13,52,65,80.0,,13,45,58,77.6,,4,56,60,93.3,,13,55,68,80.9,,5,65,70,92.9,,,
20,Clarke,13,1211,Clarke Comm School District,24,78,102,76.5,,29,68,97,70.1,,32,72,104,69.2,,31,57,88,64.8,,12,74,86,86.0,,23,65,88,73.9,,16,69,85,81.2,,,
12,Butler,07,1215,Clarksville Comm School District,2,21,23,91.3,,5,20,25,80.0,,5,18,23,78.3,,1,16,17,94.1,,1,20,21,95.2,,6,14,20,70.0,,1,21,22,95.5,,,
21,Clay,05,1218,Clay Central-Everly Comm School District,2,18,20,90.0,,0,15,15,100.0,,3,13,16,81.3,,3,12,15,80.0,,1,23,24,95.8,,9,12,21,57.1,,5,16,21,76.2,,,
52,Johnson,10,1221,Clear Creek Amana Comm School District,29,141,170,82.9,,22,142,164,86.6,,28,133,161,82.6,,22,124,146,84.9,,23,124,147,84.4,,29,136,165,82.4,,28,79,107,73.8,,,
17,Cerro Gordo,07,1233,Clear Lake Comm School District,18,77,95,81.1,,11,80,91,87.9,,10,78,88,88.6,,17,75,92,81.5,,3,79,82,96.3,,14,81,95,85.3,,27,78,105,74.3,,,
23,Clinton,09,1278,Clinton Comm School District,35,191,226,84.5,,46,195,241,80.9,,47,196,243,80.7,,50,175,225,77.8,,45,153,198,77.3,,69,156,225,69.3,,42,157,199,78.9,,,
50,Jasper,11,1332,Colfax-Mingo Comm School District,7,41,48,85.4,,16,34,50,68.0,,12,37,49,75.5,,8,30,38,78.9,,13,32,45,71.1,,8,37,45,82.2,,2,41,43,95.3,,,
57,Linn,10,1337,College Comm School District,82,277,359,77.2,,75,305,380,80.3,,117,280,397,70.5,,105,294,399,73.7,,55,331,386,85.8,,99,300,399,75.2,,60,299,359,83.3,,,
85,Story,11,1350,Collins-Maxwell Comm School District,10,21,31,67.7,,8,14,22,63.6,,16,23,39,59.0,,9,16,25,64.0,,2,26,28,92.9,,3,19,22,86.4,,3,30,33,90.9,,,
85,Story,11,1359,Colo-NESCO Comm School District,4,24,28,85.7,,4,28,32,87.5,,4,24,28,85.7,,8,18,26,69.2,,8,29,37,78.4,,5,22,27,81.5,,2,30,32,93.8,,,
58,Louisa,09,1368,Columbus Comm School District,8,32,40,80.0,,20,34,54,63.0,,23,25,48,52.1,,17,16,33,48.5,,19,22,41,53.7,,28,23,51,45.1,,19,28,47,59.6,,,
14,Carroll,11,1413,Coon Rapids-Bayard Comm School District,3,32,35,91.4,,2,21,23,91.3,,3,16,19,84.2,,2,17,19,89.5,,3,26,29,89.7,,11,17,28,60.7,,4,26,30,86.7,,,
02,Adams,13,1431,Corning Comm School District,5,27,32,84.4,,9,32,41,78.0,,4,24,28,85.7,,0,0,0,,,0,0,0,,,0,0,0,,,6,37,43,86.0,,,
78,Pottawattamie,13,1476,Council Bluffs Comm School District,210,412,622,66.2,,181,405,586,69.1,,217,410,627,65.4,,209,397,606,65.5,,146,390,536,72.8,,219,383,602,63.6,,171,343,514,66.7,,,
88,Union,13,1503,Creston Comm School District,25,77,102,75.5,,26,68,94,72.3,,28,69,97,71.1,,28,76,104,73.1,,22,62,84,73.8,,27,79,106,74.5,,16,105,121,86.8,,,
25,Dallas,11,1576,Dallas Center-Grimes Comm School District,21,173,194,89.2,,14,198,212,93.4,,13,201,214,93.9,,21,180,201,89.6,,15,172,187,92.0,,23,176,199,88.4,,18,167,185,90.3,,,
29,Des Moines,15,1602,Danville Comm School District,2,39,41,95.1,,4,48,52,92.3,,9,51,60,85.0,,8,32,40,80.0,,1,38,39,97.4,,9,37,46,80.4,,5,34,39,87.2,,,
82,Scott,09,1611,Davenport Comm School District,378,708,1086,65.2,,418,662,1080,61.3,,391,653,1044,62.5,,393,606,999,60.7,,302,717,1019,70.4,,407,572,979,58.4,,289,680,969,70.2,,,
26,Davis,15,1619,Davis County Comm School District,23,77,100,77.0,,23,71,94,75.5,,27,72,99,72.7,,21,82,103,79.6,,22,62,84,73.8,,29,45,74,60.8,,11,58,69,84.1,,,
96,Winneshiek,01,1638,Decorah Community School District,13,94,107,87.9,,18,89,107,83.2,,10,88,98,89.8,,23,100,123,81.3,,9,119,128,93.0,,15,107,122,87.7,,5,120,125,96.0,,,
23,Clinton,09,1675,Delwood Comm School District,1,17,18,94.4,,1,15,16,93.8,,2,26,28,92.9,,0,15,15,100.0,,0,0,0,,,0,0,0,,,0,0,0,,,,
24,Crawford,12,1701,Denison Comm School District,40,96,136,70.6,,27,105,132,79.5,,29,102,131,77.9,,37,101,138,73.2,,33,120,153,78.4,,34,96,130,73.8,,22,131,153,85.6,,,
09,Bremer,07,1719,Denver Comm School District,2,52,54,96.3,,1,59,60,98.3,,3,51,54,94.4,,3,59,62,95.2,,1,53,54,98.1,,1,61,62,98.4,,0,46,46,100.0,,,
77,Polk,11,1737,Des Moines Independent Comm School District,974,1396,2370,58.9,,896,1504,2400,62.7,,1056,1282,2338,54.8,,906,1221,2127,57.4,,685,1462,2147,68.1,,834,1120,1954,57.3,,680,1159,1839,63.0,,,
80,Ringgold,13,1782,Diagonal Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,5,5,10,50.0,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
38,Grundy,07,1791,Dike-New Hartford Comm School District,5,57,62,91.9,,15,57,72,79.2,,12,52,64,81.3,,9,46,55,83.6,,11,51,62,82.3,,11,52,63,82.5,,13,44,57,77.2,,,
31,Dubuque,01,1863,Dubuque Comm School District,232,552,784,70.4,,216,551,767,71.8,,162,499,661,75.5,,219,500,719,69.5,,146,558,704,79.3,,186,597,783,76.2,,130,589,719,81.9,,,
07,Black Hawk,07,1908,Dunkerton Comm School District,8,23,31,74.2,,6,28,34,82.4,,8,26,34,76.5,,6,21,27,77.8,,6,33,39,84.6,,8,26,34,76.5,,12,24,36,66.7,,,
43,Harrison,13,1917,Boyer Valley Comm School District,4,30,34,88.2,,1,26,27,96.3,,2,27,29,93.1,,1,26,27,96.3,,4,25,29,86.2,,8,29,37,78.4,,3,35,38,92.1,,,
16,Cedar,09,1926,Durant Comm School District,11,28,39,71.8,,13,34,47,72.3,,17,31,48,64.6,,23,24,47,51.1,,12,47,59,79.7,,15,35,50,70.0,,12,38,50,76.0,,,
99,Wright,05,1944,Eagle Grove Comm School District,13,50,63,79.4,,11,56,67,83.6,,22,43,65,66.2,,12,37,49,75.5,,11,39,50,78.0,,17,30,47,63.8,,14,34,48,70.8,,,
61,Madison,11,1953,Earlham Comm School District,6,48,54,88.9,,1,30,31,96.8,,4,36,40,90.0,,2,29,31,93.5,,3,49,52,94.2,,2,38,40,95.0,,9,44,53,83.0,,,
10,Buchanan,07,1963,East Buchanan Comm School District,12,32,44,72.7,,3,35,38,92.1,,18,30,48,62.5,,12,26,38,68.4,,3,30,33,90.9,,7,40,47,85.1,,6,41,47,87.2,,,
49,Jackson,09,1965,Easton Valley Comm School District,7,25,32,78.1,,5,24,29,82.8,,3,34,37,91.9,,4,31,35,88.6,,6,31,37,83.8,,8,27,35,77.1,,3,33,36,91.7,,,
64,Marshall,07,1968,East Marshall Comm School District,10,48,58,82.8,,10,55,65,84.6,,9,45,54,83.3,,0,55,55,100.0,,4,62,66,93.9,,12,33,45,73.3,,8,61,69,88.4,,,
88,Union,13,1970,East Union Comm School District,9,30,39,76.9,,9,24,33,72.7,,14,22,36,61.1,,10,19,29,65.5,,10,28,38,73.7,,9,33,42,78.6,,7,24,31,77.4,,,
03,Allamakee,01,1972,Eastern Allamakee Comm School District,2,22,24,91.7,,2,20,22,90.9,,1,21,22,95.5,,7,14,21,66.7,,5,27,32,84.4,,3,15,18,83.3,,1,23,24,95.8,,,
97,Woodbury,12,1975,River Valley Comm School District,5,25,30,83.3,,10,21,31,67.7,,7,21,28,75.0,,2,29,31,93.5,,5,23,28,82.1,,15,25,40,62.5,,5,24,29,82.8,,,
28,Delaware,01,1989,Edgewood-Colesburg Comm School District,7,28,35,80.0,,9,28,37,75.7,,6,26,32,81.3,,12,20,32,62.5,,9,37,46,80.4,,7,30,37,81.1,,8,30,38,78.9,,,
42,Hardin,07,2007,Eldora-New Providence Comm School District,7,31,38,81.6,,9,19,28,67.9,,6,36,42,85.7,,0,0,0,,,0,0,0,,,0,0,0,,,5,45,50,90.0,,,
74,Palo Alto,05,2088,Emmetsburg Comm School District,6,43,49,87.8,,16,26,42,61.9,,33,35,68,51.5,,19,39,58,67.2,,12,39,51,76.5,,18,42,60,70.0,,6,49,55,89.1,,,
48,Iowa,10,2097,English Valleys Comm School District,6,18,24,75.0,,3,26,29,89.7,,5,27,32,84.4,,8,26,34,76.5,,8,34,42,81.0,,5,16,21,76.2,,2,21,23,91.3,,,
73,Page,13,2113,Essex Comm School District,3,10,13,76.9,,1,10,11,90.9,,3,8,11,72.7,,7,7,14,50.0,,2,11,13,84.6,,2,15,17,88.2,,0,16,16,100.0,,,
32,Emmet,05,2124,Estherville Lincoln Central Com Sch Dist,13,73,86,84.9,,35,55,90,61.1,,36,58,94,61.7,,28,63,91,69.2,,14,94,108,87.0,,29,56,85,65.9,,17,75,92,81.5,,,
83,Shelby,11,2151,Exira-Elk Horn- Kimballton Comm Sch Dist,5,17,22,77.3,,4,18,22,81.8,,7,14,21,66.7,,8,18,26,69.2,,6,15,21,71.4,,10,11,21,52.4,,1,24,25,96.0,,,
51,Jefferson,15,2169,Fairfield Comm School District,22,92,114,80.7,,22,72,94,76.6,,27,92,119,77.3,,29,97,126,77.0,,13,96,109,88.1,,22,103,125,82.4,,23,80,103,77.7,,,
95,Winnebago,07,2295,Forest City Comm School District,10,52,62,83.9,,13,57,70,81.4,,19,64,83,77.1,,17,54,71,76.1,,9,65,74,87.8,,15,68,83,81.9,,12,80,92,87.0,,,
94,Webster,05,2313,Fort Dodge Comm School District,111,156,267,58.4,,86,153,239,64.0,,123,109,232,47.0,,99,149,248,60.1,,67,175,242,72.3,,114,131,245,53.5,,63,187,250,74.8,,,
56,Lee,15,2322,Fort Madison Comm School District,32,83,115,72.2,,42,92,134,68.7,,30,92,122,75.4,,62,67,129,51.9,,25,102,127,80.3,,40,89,129,69.0,,21,95,116,81.9,,,
36,Fremont,13,2369,Fremont-Mills Comm School District,14,25,39,64.1,,7,30,37,81.1,,5,28,33,84.8,,4,22,26,84.6,,3,25,28,89.3,,6,24,30,80.0,,10,20,30,66.7,,,
47,Ida,12,2376,Galva-Holstein Comm School District,0,30,30,100.0,,1,29,30,96.7,,8,28,36,77.8,,0,0,0,,,small N,small N,small N,small N,,0,0,0,,,12,42,54,77.8,,,
41,Hancock,07,2403,Garner-Hayfield-Ventura Comm School District,10,60,70,85.7,,8,69,77,89.6,,12,57,69,82.6,,23,56,79,70.9,,10,57,67,85.1,,17,53,70,75.7,,7,74,81,91.4,,,
60,Lyon,12,2457,George-Little Rock Comm School District,2,17,19,89.5,,9,14,23,60.9,,13,25,38,65.8,,16,18,34,52.9,,9,19,28,67.9,,7,24,31,77.4,,6,25,31,80.6,,,
85,Story,11,2466,Gilbert Comm School District,0,0,0,,,3,86,89,96.6,,4,106,110,96.4,,4,108,112,96.4,,3,109,112,97.3,,4,113,117,96.6,,2,103,105,98.1,,,
46,Humboldt,05,2493,Gilmore City-Bradgate Comm School District,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
38,Grundy,07,2502,Gladbrook-Reinbeck Comm School District,3,30,33,90.9,,2,25,27,92.6,,6,23,29,79.3,,2,28,30,93.3,,0,29,29,100.0,,9,22,31,71.0,,9,32,41,78.0,,,
65,Mills,13,2511,Glenwood Comm School District,21,130,151,86.1,,15,100,115,87.0,,17,116,133,87.2,,17,139,156,89.1,,10,122,132,92.4,,30,123,153,80.4,,17,109,126,86.5,,,
14,Carroll,11,2520,Glidden-Ralston Comm School District,2,23,25,92.0,,5,17,22,77.3,,3,16,19,84.2,,3,13,16,81.3,,4,15,19,78.9,,6,12,18,66.7,,2,15,17,88.2,,,
74,Palo Alto,05,2556,Graettinger-Terril Comm School District,2,23,25,92.0,,7,17,24,70.8,,9,14,23,60.9,,7,19,26,73.1,,4,14,18,77.8,,4,20,24,83.3,,2,16,18,88.9,,,
01,Adair,13,2673,Nodaway Valley Comm School District,8,38,46,82.6,,10,34,44,77.3,,12,39,51,76.5,,11,26,37,70.3,,12,35,47,74.5,,19,36,55,65.5,,6,28,34,82.4,,,
86,Tama,07,2682,GMG Comm School District,6,31,37,83.8,,4,35,39,89.7,,6,37,43,86.0,,6,31,37,83.8,,4,34,38,89.5,,5,31,36,86.1,,2,28,30,93.3,,,
79,Poweshiek,07,2709,Grinnell-Newburg Comm School District,29,97,126,77.0,,15,90,105,85.7,,23,85,108,78.7,,19,93,112,83.0,,10,94,104,90.4,,16,85,101,84.2,,10,111,121,91.7,,,
15,Cass,13,2718,Griswold Comm School District,3,28,31,90.3,,3,39,42,92.9,,6,33,39,84.6,,5,23,28,82.1,,6,30,36,83.3,,8,27,35,77.1,,8,35,43,81.4,,,
38,Grundy,07,2727,Grundy Center Comm School District,7,49,56,87.5,,7,44,51,86.3,,19,42,61,68.9,,17,32,49,65.3,,5,47,52,90.4,,7,35,42,83.3,,3,41,44,93.2,,,
39,Guthrie,11,2754,Guthrie Center Comm School District,1,29,30,96.7,,4,33,37,89.2,,4,31,35,88.6,,4,32,36,88.9,,0,0,0,,,0,0,0,,,5,37,42,88.1,,,
22,Clayton,01,2763,Clayton Ridge Comm School District,5,35,40,87.5,,20,41,61,67.2,,10,25,35,71.4,,13,31,44,70.5,,8,37,45,82.2,,16,35,51,68.6,,13,54,67,80.6,,,
48,Iowa,10,2766,H-L-V Comm School District,5,21,26,80.8,,5,16,21,76.2,,3,23,26,88.5,,4,15,19,78.9,,1,19,20,95.0,,4,20,24,83.3,,2,17,19,89.5,,,
