,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR Comm School District,4,35,39,89.7,,8,37,45,82.2,,8,31,39,79.5,,7,33,40,82.5,,6,30,36,83.3,,4,31,35,88.6,,4,37,41,90.2,,,
39,Guthrie,11,0018,Adair-Casey Comm School District,0,18,18,100.0,,1,13,14,92.9,,1,14,15,93.3,,7,19,26,73.1,,5,27,32,84.4,,4,14,18,77.8,,0,0,0,,,,
25,Dallas,11,0027,Adel DeSoto Minburn Comm School District,20,108,128,84.4,,12,129,141,91.5,,29,105,134,78.4,,21,95,116,81.9,,8,100,108,92.6,,15,107,122,87.7,,7,109,116,94.0,,,
75,Plymouth,12,0063,Akron Westfield Comm School District,4,30,34,88.2,,8,44,52,84.6,,6,41,47,87.2,,11,26,37,70.3,,2,38,40,95.0,,7,26,33,78.8,,3,31,34,91.2,,,
11,Buena Vista,05,0072,Albert City-Truesdale Comm School District,small N,small N,small N,small N,,1,13,14,92.9,,3,8,11,72.7,,3,9,12,75.0,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia Comm School District,10,85,95,89.5,,18,65,83,78.3,,18,70,88,79.5,,11,69,80,86.3,,10,83,93,89.2,,18,70,88,79.5,,11,66,77,85.7,,,
57,Linn,10,0099,Alburnett Comm School District,2,43,45,95.6,,9,39,48,81.3,,8,38,46,82.6,,3,34,37,91.9,,7,37,44,84.1,,13,32,45,71.1,,4,41,45,91.1,,,
42,Hardin,07,0108,Alden Comm School District,2,16,18,88.9,,5,10,15,66.7,,7,25,32,78.1,,17,67,84,79.8,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona Comm School District,11,77,88,87.5,,18,82,100,82.0,,22,81,103,78.6,,24,65,89,73.0,,15,81,96,84.4,,20,75,95,78.9,,15,83,98,84.7,,,
03,Allamakee,01,0135,Allamakee Comm School District,8,67,75,89.3,,6,71,77,92.2,,8,60,68,88.2,,5,66,71,93.0,,10,62,72,86.1,,20,96,116,82.8,,13,65,78,83.3,,,
12,Butler,07,0153,North Butler Comm School District,11,45,56,80.4,,3,44,47,93.6,,8,37,45,82.2,,6,43,49,87.8,,5,42,47,89.4,,3,33,36,91.7,,2,38,40,95.0,,,
11,Buena Vista,05,0171,Alta Comm School District,12,21,33,63.6,,15,30,45,66.7,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,8,45,53,84.9,,,
85,Story,11,0225,Ames Comm School District,37,275,312,88.1,,18,249,267,93.3,,40,221,261,84.7,,33,233,266,87.6,,44,287,331,86.7,,29,244,273,89.4,,30,255,285,89.5,,,
53,Jones,10,0234,Anamosa Comm School District,28,43,71,60.6,,13,63,76,82.9,,24,55,79,69.6,,10,67,77,87.0,,9,84,93,90.3,,27,72,99,72.7,,16,76,92,82.6,,,
49,Jackson,09,0243,Andrew Comm School District,2,18,20,90.0,,1,9,10,90.0,,4,10,14,71.4,,small N,small N,small N,small N,,7,7,14,50.0,,5,9,14,64.3,,0,0,0,,,,
77,Polk,11,0261,Ankeny Comm School District,66,802,868,92.4,,56,760,816,93.1,,69,754,823,91.6,,96,717,813,88.2,,62,747,809,92.3,,67,704,771,91.3,,29,639,668,95.7,,,
12,Butler,07,0279,Aplington-Parkersburg Comm School District,5,59,64,92.2,,9,55,64,85.9,,9,41,50,82.0,,13,49,62,79.0,,3,51,54,94.4,,7,46,53,86.8,,8,59,67,88.1,,,
32,Emmet,05,0333,North Union Comm School District,0,25,25,100.0,,6,25,31,80.6,,6,22,28,78.6,,0,0,0,,,0,0,0,,,0,0,0,,,13,31,44,70.5,,,
24,Crawford,12,0355,Ar-We-Va Comm School District,2,16,18,88.9,,7,11,18,61.1,,0,10,10,100.0,,3,11,14,78.6,,1,13,14,92.9,,3,13,16,81.3,,1,13,14,92.9,,,
15,Cass,13,0387,Atlantic Comm School District,15,96,111,86.5,,20,98,118,83.1,,16,80,96,83.3,,21,85,106,80.2,,11,74,85,87.1,,16,96,112,85.7,,13,94,107,87.9,,,
05,Audubon,11,0414,Audubon Comm School District,3,36,39,92.3,,6,32,38,84.2,,3,32,35,91.4,,2,29,31,93.5,,2,32,34,94.1,,4,33,37,89.2,,2,26,28,92.9,,,
18,Cherokee,12,0423,Aurelia Comm School District,0,14,14,100.0,,2,9,11,81.8,,12,32,44,72.7,,5,7,12,58.3,,4,39,43,90.7,,16,34,50,68.0,,0,0,0,,,,
