,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
23,Clinton,09,1278,Clinton,38,207,245,84.5,,38,218,256,85.2,,30,207,237,87.3,,59,155,214,72.4,,93,152,245,62.0,,81,148,229,64.6,,44,207,251,82.5,,,
50,Jasper,11,1332,Colfax-Mingo,7,35,42,83.3,,12,38,50,76.0,,6,29,35,82.9,,10,36,46,78.3,,7,33,40,82.5,,16,41,57,71.9,,8,22,30,73.3,,,
57,Linn,10,1337,College,81,293,374,78.3,,92,294,386,76.2,,107,280,387,72.4,,101,279,380,73.4,,92,297,389,76.3,,67,311,378,82.3,,67,259,326,79.4,,,
85,Story,11,1350,Collins-Maxwell,1,18,19,94.7,,15,24,39,61.5,,5,19,24,79.2,,10,19,29,65.5,,5,17,22,77.3,,10,25,35,71.4,,17,17,34,50.0,,,
85,Story,11,1359,Colo-NESCO,3,27,30,90.0,,6,23,29,79.3,,6,20,26,76.9,,12,26,38,68.4,,4,24,28,85.7,,5,25,30,83.3,,6,28,34,82.4,,,
58,Louisa,09,1368,Columbus,18,40,58,69.0,,16,31,47,66.0,,14,25,39,64.1,,22,24,46,52.2,,24,30,54,55.6,,20,31,51,60.8,,18,26,44,59.1,,,
14,Carroll,11,1413,Coon Rapids-Bayard,2,21,23,91.3,,3,12,15,80.0,,4,17,21,81.0,,7,20,27,74.1,,7,17,24,70.8,,6,18,24,75.0,,3,27,30,90.0,,,
02,Adams,13,1431,Corning,9,29,38,76.3,,2,23,25,92.0,,2,16,18,88.9,,0,0,0,,,0,0,0,,,0,0,0,,,16,33,49,67.3,,,
78,Pottawattamie,13,1476,Council Bluffs,204,370,574,64.5,,225,406,631,64.3,,163,439,602,72.9,,182,359,541,66.4,,194,410,604,67.9,,179,405,584,69.3,,167,370,537,68.9,,,
88,Union,13,1503,Creston,32,62,94,66.0,,31,64,95,67.4,,22,85,107,79.4,,31,53,84,63.1,,22,76,98,77.6,,24,59,83,71.1,,13,87,100,87.0,,,
25,Dallas,11,1576,Dallas Center-Grimes,20,177,197,89.8,,22,180,202,89.1,,15,176,191,92.1,,18,165,183,90.2,,24,167,191,87.4,,33,138,171,80.7,,34,146,180,81.1,,,
29,Des Moines,15,1602,Danville,4,41,45,91.1,,17,40,57,70.2,,9,31,40,77.5,,5,34,39,87.2,,13,32,45,71.1,,8,38,46,82.6,,11,33,44,75.0,,,
82,Scott,09,1611,Davenport,441,680,1121,60.7,,389,654,1043,62.7,,344,700,1044,67.0,,375,657,1032,63.7,,390,608,998,60.9,,347,658,1005,65.5,,334,619,953,65.0,,,
26,Davis,15,1619,Davis County,31,60,91,65.9,,25,65,90,72.2,,23,78,101,77.2,,17,64,81,79.0,,12,65,77,84.4,,26,47,73,64.4,,12,82,94,87.2,,,
96,Winneshiek,01,1638,Decorah Community,19,91,110,82.7,,13,79,92,85.9,,23,95,118,80.5,,14,108,122,88.5,,14,99,113,87.6,,12,102,114,89.5,,8,115,123,93.5,,,
23,Clinton,09,1675,Delwood,1,16,17,94.1,,2,25,27,92.6,,1,17,18,94.4,,0,13,13,100.0,,0,0,0,,,0,0,0,,,0,0,0,,,,
24,Crawford,12,1701,Denison,27,109,136,80.1,,38,89,127,70.1,,33,102,135,75.6,,40,93,133,69.9,,36,94,130,72.3,,31,121,152,79.6,,31,111,142,78.2,,,
09,Bremer,07,1719,Denver,9,47,56,83.9,,11,40,51,78.4,,10,53,63,84.1,,4,49,53,92.5,,2,56,58,96.6,,3,46,49,93.9,,4,53,57,93.0,,,
77,Polk,11,1737,Des Moines Independent,916,1470,2386,61.6,,969,1378,2347,58.7,,759,1462,2221,65.8,,853,1321,2174,60.8,,773,1206,1979,60.9,,797,1224,2021,60.6,,666,1128,1794,62.9,,,
80,Ringgold,13,1782,Diagonal,small N,small N,small N,small N,,small N,small N,small N,small N,,2,9,11,81.8,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,,
38,Grundy,07,1791,Dike-New Hartford,5,67,72,93.1,,7,55,62,88.7,,8,50,58,86.2,,9,50,59,84.7,,13,52,65,80.0,,14,45,59,76.3,,12,58,70,82.9,,,
31,Dubuque,01,1863,Dubuque,191,582,773,75.3,,198,474,672,70.5,,219,496,715,69.4,,227,472,699,67.5,,206,580,786,73.8,,219,520,739,70.4,,168,591,759,77.9,,,
07,Black Hawk,07,1908,Dunkerton,3,32,35,91.4,,7,23,30,76.7,,2,25,27,92.6,,4,36,40,90.0,,14,20,34,58.8,,15,17,32,53.1,,9,20,29,69.0,,,
43,Harrison,13,1917,Boyer Valley,7,19,26,73.1,,10,20,30,66.7,,11,16,27,59.3,,15,19,34,55.9,,14,23,37,62.2,,6,25,31,80.6,,6,28,34,82.4,,,
16,Cedar,09,1926,Durant,13,36,49,73.5,,14,32,46,69.6,,10,34,44,77.3,,14,41,55,74.5,,11,36,47,76.6,,9,40,49,81.6,,10,40,50,80.0,,,
99,Wright,05,1944,Eagle Grove,11,55,66,83.3,,13,55,68,80.9,,12,42,54,77.8,,20,34,54,63.0,,13,34,47,72.3,,17,36,53,67.9,,12,45,57,78.9,,,
61,Madison,11,1953,Earlham,1,28,29,96.6,,9,32,41,78.0,,4,27,31,87.1,,9,39,48,81.3,,4,37,41,90.2,,11,40,51,78.4,,3,46,49,93.9,,,
10,Buchanan,07,1963,East Buchanan,4,35,39,89.7,,10,39,49,79.6,,12,27,39,69.2,,2,31,33,93.9,,10,36,46,78.3,,8,33,41,80.5,,6,31,37,83.8,,,
49,Jackson,09,1965,Easton Valley,7,20,27,74.1,,4,32,36,88.9,,8,26,34,76.5,,6,31,37,83.8,,6,29,35,82.9,,9,23,32,71.9,,10,35,45,77.8,,,
64,Marshall,07,1968,East Marshall,16,49,65,75.4,,10,37,47,78.7,,9,49,58,84.5,,9,57,66,86.4,,12,34,46,73.9,,12,43,55,78.2,,8,53,61,86.9,,,
88,Union,13,1970,East Union,11,23,34,67.6,,7,28,35,80.0,,7,21,28,75.0,,14,23,37,62.2,,5,33,38,86.8,,11,22,33,66.7,,5,30,35,85.7,,,
03,Allamakee,01,1972,Eastern Allamakee,4,17,21,81.0,,2,17,19,89.5,,6,13,19,68.4,,4,27,31,87.1,,5,14,19,73.7,,8,29,37,78.4,,2,32,34,94.1,,,
97,Woodbury,12,1975,River Valley,8,25,33,75.8,,6,20,26,76.9,,5,25,30,83.3,,9,20,29,69.0,,8,30,38,78.9,,7,21,28,75.0,,2,21,23,91.3,,,
28,Delaware,01,1989,Edgewood-Colesburg,10,30,40,75.0,,8,25,33,75.8,,10,21,31,67.7,,10,38,48,79.2,,9,29,38,76.3,,10,24,34,70.6,,11,26,37,70.3,,,
42,Hardin,07,2007,Eldora-New Providence,13,15,28,53.6,,9,33,42,78.6,,12,27,39,69.2,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,24,49,73,67.1,,,
74,Palo Alto,05,2088,Emmetsburg,9,32,41,78.0,,25,37,62,59.7,,14,46,60,76.7,,17,35,52,67.3,,22,36,58,62.1,,20,39,59,66.1,,15,40,55,72.7,,,
48,Iowa,10,2097,English Valleys,2,24,26,92.3,,8,22,30,73.3,,10,23,33,69.7,,2,38,40,95.0,,3,19,22,86.4,,7,24,31,77.4,,5,30,35,85.7,,,
73,Page,13,2113,Essex,3,8,11,72.7,,7,7,14,50.0,,3,10,13,76.9,,4,10,14,71.4,,6,12,18,66.7,,4,7,11,63.6,,4,22,26,84.6,,,
32,Emmet,05,2124,Estherville Lincoln,26,66,92,71.7,,28,65,93,69.9,,34,62,96,64.6,,33,68,101,67.3,,36,47,83,56.6,,28,57,85,67.1,,15,69,84,82.1,,,
83,Shelby,11,2151,Exira-Elk Horn-,3,19,22,86.4,,2,18,20,90.0,,2,24,26,92.3,,8,15,23,65.2,,6,16,22,72.7,,8,25,33,75.8,,4,37,41,90.2,,,
51,Jefferson,15,2169,Fairfield,33,66,99,66.7,,41,79,120,65.8,,37,86,123,69.9,,32,75,107,70.1,,27,93,120,77.5,,28,88,116,75.9,,18,97,115,84.3,,,
36,Fremont,13,2205,Farragut,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,9,11,20,55.0,,0,0,0,,,0,14,14,100.0,,,
95,Winnebago,07,2295,Forest City,10,58,68,85.3,,8,72,80,90.0,,6,59,65,90.8,,13,61,74,82.4,,17,66,83,79.5,,9,77,86,89.5,,17,67,84,79.8,,,
94,Webster,05,2313,Fort Dodge,83,165,248,66.5,,113,120,233,51.5,,95,158,253,62.5,,112,147,259,56.8,,83,149,232,64.2,,89,153,242,63.2,,70,165,235,70.2,,,
56,Lee,15,2322,Fort Madison,25,108,133,81.2,,30,94,124,75.8,,39,92,131,70.2,,45,87,132,65.9,,37,93,130,71.5,,25,106,131,80.9,,31,111,142,78.2,,,
36,Fremont,13,2369,Fremont-Mills,11,24,35,68.6,,8,25,33,75.8,,4,19,23,82.6,,6,22,28,78.6,,3,25,28,89.3,,10,24,34,70.6,,6,24,30,80.0,,,
47,Ida,12,2376,Galva-Holstein,6,25,31,80.6,,5,29,34,85.3,,3,24,27,88.9,,0,0,0,,,0,0,0,,,0,0,0,,,13,25,38,65.8,,,
41,Hancock,07,2403,Garner-Hayfield-Ventura,15,60,75,80.0,,16,52,68,76.5,,30,44,74,59.5,,16,52,68,76.5,,18,48,66,72.7,,17,50,67,74.6,,11,67,78,85.9,,,
60,Lyon,12,2457,George-Little Rock,3,22,25,88.0,,4,33,37,89.2,,10,26,36,72.2,,11,18,29,62.1,,14,19,33,57.6,,6,22,28,78.6,,5,30,35,85.7,,,
85,Story,11,2466,Gilbert,5,85,90,94.4,,14,95,109,87.2,,9,92,101,91.1,,13,82,95,86.3,,8,101,109,92.7,,5,93,98,94.9,,2,100,102,98.0,,,
46,Humboldt,05,2493,Gilmore City-Bradgate,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
38,Grundy,07,2502,Gladbrook-Reinbeck,3,27,30,90.0,,7,22,29,75.9,,4,29,33,87.9,,2,25,27,92.6,,6,24,30,80.0,,7,22,29,75.9,,13,20,33,60.6,,,
65,Mills,13,2511,Glenwood,25,92,117,78.6,,12,113,125,90.4,,28,125,153,81.7,,14,112,126,88.9,,28,117,145,80.7,,26,121,147,82.3,,15,120,135,88.9,,,
14,Carroll,11,2520,Glidden-Ralston,0,22,22,100.0,,3,18,21,85.7,,2,15,17,88.2,,4,18,22,81.8,,3,14,17,82.4,,3,21,24,87.5,,2,26,28,92.9,,,
74,Palo Alto,05,2556,Graettinger-Terril,0,23,23,100.0,,9,16,25,64.0,,5,21,26,80.8,,8,10,18,55.6,,5,20,25,80.0,,4,17,21,81.0,,6,20,26,76.9,,,
01,Adair,13,2673,Nodaway Valley,15,27,42,64.3,,11,41,52,78.8,,6,31,37,83.8,,17,30,47,63.8,,17,42,59,71.2,,12,35,47,74.5,,10,40,50,80.0,,,
86,Tama,07,2682,GMG,8,29,37,78.4,,5,29,34,85.3,,4,29,33,87.9,,8,33,41,80.5,,7,28,35,80.0,,15,24,39,61.5,,13,26,39,66.7,,,
79,Poweshiek,07,2709,Grinnell-Newburg,20,77,97,79.4,,9,98,107,91.6,,23,86,109,78.9,,21,80,101,79.2,,17,83,100,83.0,,21,91,112,81.3,,10,88,98,89.8,,,
15,Cass,13,2718,Griswold,10,33,43,76.7,,8,24,32,75.0,,4,22,26,84.6,,10,27,37,73.0,,6,28,34,82.4,,7,17,24,70.8,,10,29,39,74.4,,,
38,Grundy,07,2727,Grundy Center,3,48,51,94.1,,13,44,57,77.2,,11,33,44,75.0,,15,37,52,71.2,,10,33,43,76.7,,2,40,42,95.2,,5,42,47,89.4,,,
39,Guthrie,11,2754,Guthrie Center,7,31,38,81.6,,3,34,37,91.9,,6,33,39,84.6,,5,34,39,87.2,,7,35,42,83.3,,4,30,34,88.2,,12,27,39,69.2,,,
22,Clayton,01,2763,Clayton Ridge,12,36,48,75.0,,11,28,39,71.8,,10,33,43,76.7,,5,39,44,88.6,,11,35,46,76.1,,13,37,50,74.0,,7,56,63,88.9,,,
48,Iowa,10,2766,H-L-V,8,13,21,61.9,,9,18,27,66.7,,4,20,24,83.3,,3,15,18,83.3,,3,20,23,87.0,,1,24,25,96.0,,3,21,24,87.5,,,
36,Fremont,13,2772,Hamburg,5,11,16,68.8,,1,12,13,92.3,,8,12,20,60.0,,3,14,17,82.4,,0,0,0,,,0,0,0,,,0,0,0,,,,
35,Franklin,07,2781,Hampton-Dumont,20,73,93,78.5,,25,50,75,66.7,,36,41,77,53.2,,17,77,94,81.9,,20,53,73,72.6,,25,56,81,69.1,,17,57,74,77.0,,,
83,Shelby,13,2826,Harlan,18,75,93,80.6,,15,69,84,82.1,,17,81,98,82.7,,20,79,99,79.8,,23,102,125,81.6,,20,85,105,81.0,,16,107,123,87.0,,,
89,Van Buren,15,2834,Harmony,0,18,18,100.0,,6,21,27,77.8,,9,10,19,52.6,,7,8,15,53.3,,3,12,15,80.0,,7,9,16,56.3,,3,9,12,75.0,,,
30,Dickinson,05,2846,Harris-Lake Park,1,29,30,96.7,,3,27,30,90.0,,1,21,22,95.5,,5,19,24,79.2,,4,29,33,87.9,,3,19,22,86.4,,5,22,27,81.5,,,
71,O'Brien,12,2862,Hartley-Melvin-Sanborn,10,36,46,78.3,,13,38,51,74.5,,7,37,44,84.1,,6,28,34,82.4,,17,29,46,63.0,,12,28,40,70.0,,15,32,47,68.1,,,
