,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
42,Hardin,07,0009,AGWSR,10,35,45,77.8,,7,31,38,81.6,,8,33,41,80.5,,9,27,36,75.0,,4,29,33,87.9,,7,21,28,75.0,,2,36,38,94.7,,,
39,Guthrie,11,0018,Adair-Casey,4,12,16,75.0,,5,11,16,68.8,,8,18,26,69.2,,7,21,28,75.0,,4,14,18,77.8,,6,15,21,71.4,,2,11,13,84.6,,,
25,Dallas,11,0027,Adel DeSoto Minburn,28,104,132,78.8,,22,103,125,82.4,,16,100,116,86.2,,10,87,97,89.7,,21,99,120,82.5,,7,105,112,93.8,,8,102,110,92.7,,,
75,Plymouth,12,0063,Akron Westfield,8,45,53,84.9,,6,35,41,85.4,,7,31,38,81.6,,7,29,36,80.6,,9,25,34,73.5,,10,33,43,76.7,,11,36,47,76.6,,,
11,Buena Vista,05,0072,Albert City-Truesdale,0,16,16,100.0,,small N,small N,small N,small N,,5,9,14,64.3,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,,
68,Monroe,15,0081,Albia,16,64,80,80.0,,22,56,78,71.8,,18,63,81,77.8,,21,65,86,75.6,,25,60,85,70.6,,22,55,77,71.4,,11,65,76,85.5,,,
57,Linn,10,0099,Alburnett,8,40,48,83.3,,9,37,46,80.4,,7,32,39,82.1,,14,28,42,66.7,,14,32,46,69.6,,10,33,43,76.7,,5,31,36,86.1,,,
42,Hardin,07,0108,Alden,5,9,14,64.3,,9,19,28,67.9,,6,13,19,68.4,,23,64,87,73.6,,0,0,0,,,0,0,0,,,0,0,0,,,,
55,Kossuth,05,0126,Algona,15,89,104,85.6,,13,85,98,86.7,,24,57,81,70.4,,22,65,87,74.7,,22,71,93,76.3,,19,78,97,80.4,,19,65,84,77.4,,,
03,Allamakee,01,0135,Allamakee,7,69,76,90.8,,13,60,73,82.2,,7,61,68,89.7,,26,40,66,60.6,,25,71,96,74.0,,16,65,81,80.2,,17,84,101,83.2,,,
12,Butler,07,0153,North Butler,5,42,47,89.4,,11,33,44,75.0,,23,30,53,56.6,,10,37,47,78.7,,7,29,36,80.6,,5,29,34,85.3,,4,32,36,88.9,,,
11,Buena Vista,05,0171,Alta,17,29,46,63.0,,12,26,38,68.4,,17,19,36,52.8,,0,0,0,,,0,0,0,,,0,0,0,,,4,35,39,89.7,,,
85,Story,11,0225,Ames,17,258,275,93.8,,30,227,257,88.3,,25,228,253,90.1,,54,239,293,81.6,,38,223,261,85.4,,44,240,284,84.5,,20,250,270,92.6,,,
53,Jones,10,0234,Anamosa,24,51,75,68.0,,16,59,75,78.7,,18,55,73,75.3,,31,51,82,62.2,,23,74,97,76.3,,25,75,100,75.0,,20,58,78,74.4,,,
49,Jackson,09,0243,Andrew,4,7,11,63.6,,5,10,15,66.7,,small N,small N,small N,small N,,6,10,16,62.5,,7,9,16,56.3,,5,12,17,70.6,,0,0,0,,,,
77,Polk,11,0261,Ankeny,91,704,795,88.6,,76,722,798,90.5,,94,690,784,88.0,,109,668,777,86.0,,91,661,752,87.9,,84,667,751,88.8,,70,574,644,89.1,,,
12,Butler,07,0279,Aplington-Parkersburg,11,51,62,82.3,,6,45,51,88.2,,11,49,60,81.7,,8,45,53,84.9,,16,34,50,68.0,,20,44,64,68.8,,17,47,64,73.4,,,
32,Emmet,05,0333,North Union,8,26,34,76.5,,7,24,31,77.4,,4,15,19,78.9,,0,0,0,,,0,0,0,,,0,0,0,,,12,32,44,72.7,,,
24,Crawford,12,0355,Ar-We-Va,4,13,17,76.5,,0,10,10,100.0,,2,12,14,85.7,,2,12,14,85.7,,2,13,15,86.7,,2,12,14,85.7,,3,15,18,83.3,,,
15,Cass,13,0387,Atlantic,27,97,124,78.2,,17,84,101,83.2,,26,82,108,75.9,,23,68,91,74.7,,19,93,112,83.0,,19,83,102,81.4,,14,85,99,85.9,,,
05,Audubon,11,0414,Audubon,6,32,38,84.2,,7,29,36,80.6,,11,20,31,64.5,,8,29,37,78.4,,10,29,39,74.4,,7,28,35,80.0,,2,34,36,94.4,,,
18,Cherokee,12,0423,Aurelia,2,8,10,80.0,,0,10,10,100.0,,2,9,11,81.8,,14,33,47,70.2,,16,34,50,68.0,,19,37,56,66.1,,small N,small N,small N,small N,,,
78,Pottawattamie,13,0441,A-H-S-T,11,27,38,71.1,,7,28,35,80.0,,6,27,33,81.8,,13,22,35,62.9,,12,26,38,68.4,,8,36,44,81.8,,11,44,55,80.0,,,
85,Story,11,0472,Ballard,27,100,127,78.7,,22,79,101,78.2,,23,86,109,78.9,,17,85,102,83.3,,19,109,128,85.2,,18,111,129,86.0,,20,108,128,84.4,,,
47,Ida,12,0504,Battle Creek-Ida Grove,5,48,53,90.6,,8,50,58,86.2,,10,31,41,75.6,,0,0,0,,,0,0,0,,,0,0,0,,,12,35,47,74.5,,,
50,Jasper,11,0513,Baxter,10,25,35,71.4,,6,29,35,82.9,,12,24,36,66.7,,3,18,21,85.7,,2,24,26,92.3,,9,19,28,67.9,,11,19,30,63.3,,,
38,Grundy,07,0540,BCLUW,14,33,47,70.2,,14,28,42,66.7,,15,26,41,63.4,,6,41,47,87.2,,6,29,35,82.9,,6,30,36,83.3,,8,39,47,83.0,,,
87,Taylor,13,0549,Bedford,8,20,28,71.4,,5,38,43,88.4,,4,21,25,84.0,,4,28,32,87.5,,3,22,25,88.0,,5,27,32,84.4,,7,31,38,81.6,,,
06,Benton,10,0576,Belle Plaine,7,25,32,78.1,,2,22,24,91.7,,8,30,38,78.9,,11,34,45,75.6,,10,25,35,71.4,,15,26,41,63.4,,8,24,32,75.0,,,
49,Jackson,09,0585,Bellevue,4,32,36,88.9,,10,39,49,79.6,,8,27,35,77.1,,13,30,43,69.8,,13,29,42,69.0,,16,39,55,70.9,,9,39,48,81.3,,,
99,Wright,07,0594,Belmond-Klemme,17,31,48,64.6,,6,32,38,84.2,,15,38,53,71.7,,10,50,60,83.3,,15,39,54,72.2,,8,32,40,80.0,,12,48,60,80.0,,,
16,Cedar,09,0603,Bennett,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,4,6,10,60.0,,0,0,0,,,0,0,0,,,0,0,0,,,,
06,Benton,10,0609,Benton,5,86,91,94.5,,22,71,93,76.3,,14,79,93,84.9,,26,89,115,77.4,,20,91,111,82.0,,25,66,91,72.5,,13,99,112,88.4,,,
82,Scott,09,0621,Bettendorf,28,220,248,88.7,,47,245,292,83.9,,47,249,296,84.1,,56,249,305,81.6,,63,261,324,80.6,,58,278,336,82.7,,75,287,362,79.3,,,
90,Wapello,15,0657,Eddyville-Blakesburg-,16,40,56,71.4,,20,47,67,70.1,,11,42,53,79.2,,19,45,64,70.3,,35,40,75,53.3,,19,45,64,70.3,,14,36,50,72.0,,,
77,Polk,11,0720,Bondurant-Farrar,12,130,142,91.5,,30,125,155,80.6,,28,117,145,80.7,,18,107,125,85.6,,22,107,129,82.9,,9,114,123,92.7,,15,97,112,86.6,,,
08,Boone,11,0729,Boone,21,96,117,82.1,,30,94,124,75.8,,19,88,107,82.2,,30,89,119,74.8,,34,95,129,73.6,,50,96,146,65.8,,34,121,155,78.1,,,
84,Sioux,12,0747,Boyden-Hull,8,31,39,79.5,,6,39,45,86.7,,5,41,46,89.1,,5,42,47,89.4,,8,42,50,84.0,,7,43,50,86.0,,10,29,39,74.4,,,
41,Hancock,07,0819,West Hancock,6,32,38,84.2,,7,38,45,84.4,,8,34,42,81.0,,15,28,43,65.1,,7,35,42,83.3,,5,36,41,87.8,,9,34,43,79.1,,,
79,Poweshiek,07,0846,Brooklyn-Guernsey-Malcom,8,26,34,76.5,,5,30,35,85.7,,4,41,45,91.1,,7,27,34,79.4,,3,28,31,90.3,,9,30,39,76.9,,7,30,37,81.1,,,
95,Winnebago,07,0873,North Iowa,3,26,29,89.7,,7,23,30,76.7,,6,20,26,76.9,,14,17,31,54.8,,4,14,18,77.8,,12,23,35,65.7,,8,25,33,75.8,,,
29,Des Moines,15,0882,Burlington,66,227,293,77.5,,78,199,277,71.8,,62,186,248,75.0,,99,165,264,62.5,,77,182,259,70.3,,101,173,274,63.1,,60,150,210,71.4,,,
15,Cass,13,0914,CAM,17,31,48,64.6,,9,27,36,75.0,,10,34,44,77.3,,9,34,43,79.1,,7,37,44,84.1,,13,36,49,73.5,,12,45,57,78.9,,,
35,Franklin,07,0916,CAL,4,15,19,78.9,,10,9,19,47.4,,7,13,20,65.0,,3,13,16,81.3,,6,11,17,64.7,,9,7,16,43.8,,1,13,14,92.9,,,
23,Clinton,09,0918,Calamus-Wheatland,3,29,32,90.6,,9,24,33,72.7,,5,26,31,83.9,,8,19,27,70.4,,8,27,35,77.1,,10,23,33,69.7,,2,33,35,94.3,,,
23,Clinton,09,0936,Camanche,10,70,80,87.5,,21,42,63,66.7,,14,65,79,82.3,,8,59,67,88.1,,13,64,77,83.1,,19,55,74,74.3,,20,48,68,70.6,,,
90,Wapello,15,0977,Cardinal,11,30,41,73.2,,14,36,50,72.0,,17,25,42,59.5,,11,28,39,71.8,,9,25,34,73.5,,23,23,46,50.0,,8,33,41,80.5,,,
91,Warren,11,0981,Carlisle,26,121,147,82.3,,31,103,134,76.9,,23,118,141,83.7,,18,109,127,85.8,,26,109,135,80.7,,21,121,142,85.2,,16,110,126,87.3,,,
14,Carroll,11,0999,Carroll,15,106,121,87.6,,29,109,138,79.0,,20,100,120,83.3,,13,103,116,88.8,,15,96,111,86.5,,14,88,102,86.3,,10,98,108,90.7,,,
07,Black Hawk,07,1044,Cedar Falls,57,342,399,85.7,,45,336,381,88.2,,48,306,354,86.4,,72,342,414,82.6,,58,296,354,83.6,,58,294,352,83.5,,42,299,341,87.7,,,
57,Linn,10,1053,Cedar Rapids,331,767,1098,69.9,,311,693,1004,69.0,,274,750,1024,73.2,,354,667,1021,65.3,,344,753,1097,68.6,,305,751,1056,71.1,,214,838,1052,79.7,,,
57,Linn,10,1062,Center Point-Urbana,21,85,106,80.2,,18,92,110,83.6,,22,86,108,79.6,,22,88,110,80.0,,17,95,112,84.8,,32,91,123,74.0,,23,70,93,75.3,,,
04,Appanoose,15,1071,Centerville,22,65,87,74.7,,20,67,87,77.0,,25,58,83,69.9,,15,67,82,81.7,,16,87,103,84.5,,23,81,104,77.9,,24,54,78,69.2,,,
56,Lee,15,1079,Central Lee,17,68,85,80.0,,14,51,65,78.5,,7,75,82,91.5,,22,56,78,71.8,,12,55,67,82.1,,19,51,70,72.9,,10,53,63,84.1,,,
22,Clayton,01,1080,Central,10,24,34,70.6,,14,23,37,62.2,,6,26,32,81.3,,4,25,29,86.2,,5,24,29,82.8,,4,25,29,86.2,,10,18,28,64.3,,,
23,Clinton,09,1082,Central DeWitt,15,69,84,82.1,,19,74,93,79.6,,21,76,97,78.4,,20,80,100,80.0,,9,73,82,89.0,,20,83,103,80.6,,13,105,118,89.0,,,
57,Linn,10,1089,Central City,6,21,27,77.8,,3,23,26,88.5,,10,20,30,66.7,,4,29,33,87.9,,6,24,30,80.0,,7,24,31,77.4,,8,26,34,76.5,,,
27,Decatur,13,1093,Central Decatur,16,42,58,72.4,,18,27,45,60.0,,21,37,58,63.8,,13,43,56,76.8,,20,24,44,54.5,,6,27,33,81.8,,18,36,54,66.7,,,
60,Lyon,12,1095,Central Lyon,5,54,59,91.5,,6,49,55,89.1,,11,49,60,81.7,,5,42,47,89.4,,8,44,52,84.6,,8,41,49,83.7,,2,44,46,95.7,,,
59,Lucas,15,1107,Chariton,27,71,98,72.4,,24,60,84,71.4,,18,53,71,74.6,,27,59,86,68.6,,23,54,77,70.1,,25,62,87,71.3,,24,75,99,75.8,,,
34,Floyd,07,1116,Charles City,37,64,101,63.4,,29,60,89,67.4,,39,61,100,61.0,,20,65,85,76.5,,22,69,91,75.8,,27,87,114,76.3,,18,97,115,84.3,,,
24,Crawford,12,1134,Charter Oak-Ute,0,23,23,100.0,,5,14,19,73.7,,1,12,13,92.3,,12,8,20,40.0,,5,15,20,75.0,,8,12,20,60.0,,5,19,24,79.2,,,
18,Cherokee,12,1152,Cherokee,6,61,67,91.0,,13,59,72,81.9,,16,62,78,79.5,,10,54,64,84.4,,16,50,66,75.8,,16,46,62,74.2,,8,52,60,86.7,,,
73,Page,13,1197,Clarinda,21,44,65,67.7,,27,49,76,64.5,,25,54,79,68.4,,13,50,63,79.4,,19,48,67,71.6,,17,44,61,72.1,,17,48,65,73.8,,,
99,Wright,05,1206,Clarion-Goldfield-Dows,12,53,65,81.5,,17,45,62,72.6,,16,41,57,71.9,,9,51,60,85.0,,15,52,67,77.6,,10,44,54,81.5,,16,56,72,77.8,,,
20,Clarke,13,1211,Clarke,33,60,93,64.5,,38,73,111,65.8,,22,70,92,76.1,,26,61,87,70.1,,28,62,90,68.9,,29,55,84,65.5,,12,57,69,82.6,,,
12,Butler,07,1215,Clarksville,2,24,26,92.3,,2,23,25,92.0,,2,16,18,88.9,,1,20,21,95.2,,6,14,20,70.0,,7,20,27,74.1,,3,16,19,84.2,,,
21,Clay,05,1218,Clay Central-Everly,0,13,13,100.0,,2,15,17,88.2,,3,13,16,81.3,,2,21,23,91.3,,2,20,22,90.9,,1,13,14,92.9,,2,18,20,90.0,,,
52,Johnson,10,1221,Clear Creek Amana,38,127,165,77.0,,27,125,152,82.2,,18,125,143,87.4,,31,113,144,78.5,,39,121,160,75.6,,17,104,121,86.0,,43,103,146,70.5,,,
17,Cerro Gordo,07,1233,Clear Lake,0,0,0,,,5,81,86,94.2,,12,83,95,87.4,,19,68,87,78.2,,13,80,93,86.0,,16,74,90,82.2,,10,48,58,82.8,,,
